Product Category;Product Level 1;Prodcut Group;Product Family;Product Series
Controls;COMPONENTS;CONTROLS COMMUNICATION MODULES;GCM Modbus;GCM Modbus
Controls;COMPONENTS;CONTROLS COMMUNICATION MODULES;GCM Profibus;GCM Profibus
Controls;COMPONENTS;CONTROLS COMMUNICATION MODULES;GCM Profinet;GCM Profinet
Controls;COMPONENTS;CONTROLS COMMUNICATION MODULES;GCM WLAN;GCM WLAN
Others;COMPONENTS;RECEIVER;GBH;AGBH
Others;COMPONENTS;RECEIVER;GBH;AGBV
Others;COMPONENTS;RECEIVER;GBH;GBH
Others;COMPONENTS;RECEIVER;GBH;GBV
Heat Exchanger / Coil;HEAT EXCHANGER;FINOOX GCO;GCO;GCO CONDENSER
Air Cooler;COLD;VARIO DUAL;MDN;MDN
Condenser;WARM;COMPACT FLAT;G*HC;GCHC
Gas Cooler;WARM;COMPACT FLAT;G*HC;GGHC
Dry Cooler;WARM;VARIO FLAT;GVH;GFHE
Dry Cooler;WARM;VARIO FLAT;GVH;GFHG
Subcooler;WARM;VARIO FLAT;GVH;GUH
Subcooler;WARM;VARIO FLAT;GVH;GUV
Condenser;WARM;VARIO FLAT;GVH;GVH
Condenser;WARM;VARIO FLAT;GVH;GVHC
Condenser;WARM;VARIO FLAT;GVH;GVHG
Dry Cooler;WARM;VARIO FLAT;GVH;MFH
Dry Cooler;WARM;VARIO FLAT;GVH;MFHC
Dry Cooler;WARM;VARIO FLAT;GVH;MFV
Air Cooler;WARM;VARIO FLAT;GVH;WAH
Condenser;WARM;VARIO FLAT;GVH;MCH
Condenser;WARM;VARIO VERTICAL;G*VV;GCVV
Dry Cooler;WARM;VARIO VERTICAL;G*VV;GFVV
Gas Cooler;WARM;VARIO VERTICAL;G*VV;GGVV
Oil Cooler;WARM;VARIO VERTICAL;G*VV;GOVV
Condenser;WARM;VARIO VERTICAL;GVV;AGVV
Dry Cooler;WARM;VARIO VERTICAL;GVV;GFV
Condenser;WARM;VARIO VERTICAL;GVV;GVV
Air Cooler;WARM;VARIO VERTICAL;GVV;WAV
Condenser;WARM;VARIO VERTICAL;GVV;MCV
Gas Cooler;WARM;VARIO V-SHAPE;GGD;GGD
Condenser;WARM;VARIO V-SHAPE;GVD;AGVD
Dry Cooler;WARM;VARIO V-SHAPE;GVD;GFD
Dry Cooler;WARM;VARIO V-SHAPE;GVD;GFDX
Condenser;WARM;VARIO V-SHAPE;GVD;GVD
Condenser;WARM;VARIO V-SHAPE;GVD;GVDX
Dry Cooler;WARM;VARIO V-SHAPE;GVD;MFD
Condenser;WARM;VARIO V-SHAPE;GVD;MCD
Dry Cooler;WARM;VARIO FLAT;GVH;GFHC (CONTAINER)
Dry Cooler;WARM;COMPACT FLAT;G*HC;GFHC
Dry Cooler;WARM;VARIO FLAT;GVH;GFH
Condenser;WARM;VARIO FLAT;GVH;BITZER ALT
Oil Cooler;WARM;COMPACT FLAT;G*HC;GOHC
Subcooler;WARM;COMPACT FLAT;G*HC;GSHC
Condenser;WARM;COMPACT FLAT;GVHX;GVHX
Condenser;WARM;COMPACT VERTICAL;G*VC;GCVC
Dry Cooler;WARM;COMPACT VERTICAL;G*VC;GFVC
Gas Cooler;WARM;COMPACT VERTICAL;G*VC;GGVC
Oil Cooler;WARM;COMPACT VERTICAL;G*VC;GOVC
Subcooler;WARM;COMPACT VERTICAL;G*VC;GSVC
Condenser;WARM;COMPACT VERTICAL;GVM;GVM
Condenser;WARM;COMPACT VERTICAL;GVVX;GVVX
Condenser;WARM;COMPACT VERTICAL;GVX;GVXH
Condenser;WARM;COMPACT VERTICAL;GVX;GVXV
Condenser;WARM;COMPACT V-SHAPE;G*DC;GCDC
Dry Cooler;WARM;COMPACT V-SHAPE;G*DC;GFDC
Gas Cooler;WARM;COMPACT V-SHAPE;G*DC;GGDC
Condenser;WARM;COMPACT V-SHAPE;GCDC NLA;GCDC NLA
Adiabatic Dry Cooler;WARM;HYBRID JAEGGI Hybrid Blue;ADC;ADC
Adiabatic Dry Cooler;WARM;HYBRID JAEGGI Hybrid Blue;ADC;GFD ADC
Dry Cooler;WARM;HYBRID JAEGGI Hybrid Blue;ADC;GPR ADC
Adiabatic Condenser;WARM;HYBRID JAEGGI Hybrid Blue;ADV;ADV
Hybrid Dry Cooler;WARM;HYBRID JAEGGI Hybrid High Performance;HTK;HTK
Hybrid Condenser;WARM;HYBRID JAEGGI Hybrid High Performance;HTK;HTV
Condenser;WARM;VARIO FLAT;G*HV;GCHV
Dry Cooler;WARM;VARIO FLAT;G*HV;GFHV
Gas Cooler;WARM;VARIO FLAT;G*HV;GGHV
Oil Cooler;WARM;VARIO FLAT;G*HV;GOHV
Condenser;WARM;VARIO FLAT;GVH;AGVH
Condenser;WARM;VARIO FLAT;GVH;BCH
Condenser;WARM;VARIO FLAT;GVH;BCV
Condenser;WARM;VARIO FLAT;GVH;G
