TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (CO2 SC2);DX Evap (CO2 SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE STREAMER;STREAMER;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GACC CX 040.1/1WN/DJA4A.TNNN;GACC CX;040.1/1WN/DJA4A.TNNN;n/a;finoox;247-1BBW.1H0.3V6.00NN-C26.01.0000.000;GACC CX 040.1D/14-ANW_.E;2367;A;1;1;1734;Axial;5,146;4,084;17,83;3117;1310;12;VT0605;0,204;0,85;D;51,5;73,04;1,9;;230V-1~-1.78kW;BG351035-00003;gacc1;1006;560;565;680;406;26,4;9,52;9,52;n/a;n/a;Inclusive;172;No;No;Yes;400;AC motor;50;W;;;201;;;;;;;;no;no;D;E;Aluminum;4;40;4;yes;piece;1
GACC CX 040.2/2WN/DJA4A.UANN;GACC CX;040.2/2WN/DJA4A.UANN;n/a;finoox;247-2LXU.1H0.3V7.S5PT-C26.00.0000.100;GACC CX 040.2D/24-ANW_.E;3853;A;2;1;1734;Axial;10,367;8,242;35,67;6233;1310;13;VT0605;0,408;0,85;D;54,23;76,05;3,7;;400V-3~N-3.7kW;BG351035-00010;gacc2;1686;560;565;1360;406;45,6;16;22,23;n/a;n/a;201;Inclusive;Yes;No;No;400;AC motor;50;W;;;239;;;;;;;;no;no;D;E;Aluminum;4;20;4;yes;piece;1
GACC CX 040.2/2WN/FJA4E.TANN;GACC CX;040.2/2WN/FJA4E.TANN;n/a;finoox;247-2LY3.1H0.3VA.S5PT-C26.01.0800.100;GACC CX 040.2F/24-ENW_.E;4991;E;2;1;1734;Axial;11,918;9,435;53,5;5772;1310;12;VT0605;0,416;0,85;C;54,23;76,05;5,5;400V-3~N-4.95kW;;;gacc2;1686;560;565;1360;406;57,9;16;22,23;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00011.1;3;100;1580;1;200;1560;no;no;F;E;Aluminum;4;30;6;yes;piece;1
GACC CX 040.2/2WN/FJA4E.UANN;GACC CX;040.2/2WN/FJA4E.UANN;n/a;finoox;247-2LY3.1H0.3VA.S5PT-C26.00.0800.100;GACC CX 040.2F/24-ENW_.E;4790;E;2;1;1734;Axial;11,918;9,435;53,5;5772;1310;12;VT0605;0,416;0,85;C;54,23;76,05;5,5;400V-3~N-4.95kW;;;gacc2;1686;560;565;1360;406;57,9;16;22,23;n/a;n/a;201;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00011.1;3;100;1580;1;200;1560;no;no;F;E;Aluminum;4;30;6;yes;piece;1
GACC CX 040.2/2WN/HJA4A.UANN;GACC CX;040.2/2WN/HJA4A.UANN;n/a;finoox;247-2LYE.1H0.3VJ.S5Q0-C26.00.0000.100;GACC CX 040.2H/24-ANW_.E;4678;A;2;1;1734;Axial;14,173;11,497;71,34;5325;1310;11;VT0605;0,42;0,85;C;54,23;76,05;7,3;;400V-3~N-6.2kW;BG351035-00012;gacc2;1686;560;565;1360;406;62,5;16;22,23;n/a;n/a;201;Inclusive;Yes;No;No;400;AC motor;50;W;;;321;;;;;;;;no;no;H;E;Aluminum;4;20;8;yes;piece;1
GACC CX 040.2/2WN/HJA4A.TNNN;GACC CX;040.2/2WN/HJA4A.TNNN;n/a;finoox;247-2LYE.1H0.3VJ.S5Q0-C26.01.0000.000;GACC CX 040.2H/24-ANW_.E;4535;A;2;1;1734;Axial;14,173;11,497;71,34;5325;1310;11;VT0605;0,42;0,85;C;54,23;76,05;7,3;;400V-3~N-6.2kW;BG351035-00012;gacc2;1686;560;565;1360;406;62,5;16;22,23;n/a;n/a;Inclusive;344;No;No;Yes;400;AC motor;50;W;;;321;;;;;;;;no;no;H;E;Aluminum;4;20;8;yes;piece;1
GACC CX 040.2/2WN/DJA4E.UNNN;GACC CX;040.2/2WN/DJA4E.UNNN;n/a;finoox;247-2LXV.1H0.3V7.S5PT-C26.00.0800.000;GACC CX 040.2D/24-ENW_.E;3831;E;2;1;1734;Axial;10,367;8,242;35,67;6233;1310;13;VT0605;0,408;0,85;D;54,23;76,05;3,7;400V-3~N-3.7kW;;;gacc2;1686;560;565;1360;406;48,7;16;22,23;n/a;n/a;201;344;No;Yes;No;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00010.1;2;100;1580;1;200;1560;no;no;D;E;Aluminum;4;20;4;yes;piece;1
GACC CX 040.2/2WN/HJA7E.TANN;GACC CX;040.2/2WN/HJA7E.TANN;n/a;finoox;247-2LYD.1H0.3VJ.S5Q0-C26.01.0800.100;GACC CX 040.2H/27-ENW_.E;4858;E;2;1;1734;Axial;12,375;10,027;42,18;6176;1310;13;VT0605;0,409;0,85;B;54,23;76,05;7,3;400V-3~N-6.2kW;;;gacc2;1686;560;565;1360;406;66,7;16;22,23;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00012.1;4;100;1580;1;200;1560;no;no;H;E;Aluminum;7;20;8;yes;piece;1
GACC CX 040.2/4WN/FJA7A.TNNN;GACC CX;040.2/4WN/FJA7A.TNNN;n/a;finoox;247-2M04.1H0.3VC.SGQ6-C26.01.0000.000;GACC CX 040.2F/47-ANW_.E;6760;A;4;1;1734;Axial;20,788;16,719;63,27;12910;1310;16;VT0605;0,805;0,85;C;56,74;79,06;10,6;;400V-3~N-9.1kW;BG351035-00019;gacc4a;3046;560;565;680;406;97,5;16;22,23;n/a;n/a;Inclusive;688;No;No;Yes;400;AC motor;50;W;;;458;;;;;;;;no;no;F;E;Aluminum;7;12;6;yes;piece;1
GACC CX 040.2/4WN/FJA7A.UNNN;GACC CX;040.2/4WN/FJA7A.UNNN;n/a;finoox;247-2M04.1H0.3VC.SGQ6-C26.00.0000.000;GACC CX 040.2F/47-ANW_.E;6380;A;4;1;1734;Axial;20,788;16,719;63,27;12910;1310;16;VT0605;0,805;0,85;C;56,74;79,06;10,6;;400V-3~N-9.1kW;BG351035-00019;gacc4a;3046;560;565;680;406;97,5;16;22,23;n/a;n/a;380;688;No;No;No;400;AC motor;50;W;;;458;;;;;;;;no;no;F;E;Aluminum;7;12;6;yes;piece;1
GACC CX 040.2/4WN/HJA7E.UANN;GACC CX;040.2/4WN/HJA7E.UANN;n/a;finoox;247-2M0B.1H0.3VM.SGQ6-C26.00.0800.100;GACC CX 040.2H/47-ENW_.E;8706;E;4;1;1734;Axial;23,858;19,132;84,37;12351;1310;15;VT0605;0,818;0,85;B;56,74;79,06;14,1;400V-3~N-11.4kW;;;gacc4a;3046;560;565;680;406;122,1;16;22,23;n/a;n/a;380;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB29002300230;H01CB29202200230;;BG351035-00020.1;4;100;2900;1;200;2920;no;no;H;E;Aluminum;7;16;8;yes;piece;1
GACC CX 040.2/4WN/HJA7E.UNNN;GACC CX;040.2/4WN/HJA7E.UNNN;n/a;finoox;247-2M0B.1H0.3VM.SGQ6-C26.00.0800.000;GACC CX 040.2H/47-ENW_.E;8018;E;4;1;1734;Axial;23,858;19,132;84,37;12351;1310;15;VT0605;0,818;0,85;B;56,74;79,06;14,1;400V-3~N-11.4kW;;;gacc4a;3046;560;565;680;406;122,1;16;22,23;n/a;n/a;380;688;No;Yes;No;400;AC motor;50;W;H04BB29002300230;H01CB29202200230;;BG351035-00020.1;4;100;2900;1;200;2920;no;no;H;E;Aluminum;7;16;8;yes;piece;1
GACC CX 040.2/3WN/HJA7A.TANN;GACC CX;040.2/3WN/HJA7A.TANN;n/a;finoox;247-2LZY.1H0.3VJ.S5PZ-C26.01.0000.100;GACC CX 040.2H/37-ANW_.E;6364;A;3;1;1734;Axial;18,098;14,548;63,27;9264;1310;14;VT0605;0,613;0,85;B;55,73;77,81;10,7;;400V-3~N-8.1kW;BG351035-00018;gacc3a;2366;560;565;680;406;87,5;16;22,23;n/a;n/a;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;388;;;;;;;;no;no;H;E;Aluminum;7;20;8;yes;piece;1
GACC CX 040.2/1WN/HJA7E.UNNN;GACC CX;040.2/1WN/HJA7E.UNNN;n/a;finoox;247-2LWM.1H0.3VG.SGPU-C26.00.0800.000;GACC CX 040.2H/17-ENW_.E;3039;E;1;1;1734;Axial;6,172;4,997;21,09;3088;1310;12;VT0605;0,204;0,85;B;51,5;73,04;3,8;230V-1~-2.86kW;;;gacc1;1006;560;565;680;406;38,1;16;22,23;n/a;n/a;138;172;No;Yes;No;400;AC motor;50;W;H04BB08800540230;H01CB08800700230;;BG351035-00005.1;4;100;880;1;200;880;no;no;H;E;Aluminum;7;40;8;yes;piece;1
GACC CX 040.2/2WN/HJE4A.UANN;GACC CX;040.2/2WN/HJE4A.UANN;n/a;finoox;247-2LYG.1H0.3VJ.S5Q0-C26.00.0000.100;GACC CX 040.2H/24-ANW_.E_Epoxy;5302;A;2;1;1734;Axial;13,96;11,306;71,34;5325;1310;11;VT0605;0,42;0,85;C;54,23;76,05;7,3;;400V-3~N-6.2kW;BG351035-00012;gacc2;1686;560;565;1360;406;62,5;16;22,23;Inclusive;n/a;201;Inclusive;Yes;No;No;400;AC motor;50;W;;;321;;;;;;;;no;no;H;E;Epoxy coated aluminum;4;20;8;yes;piece;1
GACC CX 040.2/2WN/DJE4E.UANN;GACC CX;040.2/2WN/DJE4E.UANN;n/a;finoox;247-2LXX.1H0.3V7.S5PT-C26.00.0800.100;GACC CX 040.2D/24-ENW_.E_Epoxy;4630;E;2;1;1734;Axial;10,169;8,076;35,67;6233;1310;13;VT0605;0,408;0,85;D;54,23;76,05;3,7;400V-3~N-3.7kW;;;gacc2;1686;560;565;1360;406;48,7;16;22,23;Inclusive;n/a;201;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00010.1;2;100;1580;1;200;1560;no;no;D;E;Epoxy coated aluminum;4;20;4;yes;piece;1
GACC CX 040.2/2WN/FJE7A.UANN;GACC CX;040.2/2WN/FJE7A.UANN;n/a;finoox;247-2LY8.1H0.3VA.S5PT-C26.00.0000.100;GACC CX 040.2F/27-ANW_.E_Epoxy;4231;A;2;1;1734;Axial;9,899;7,892;31,64;6455;1310;14;VT0605;0,402;0,85;C;54,23;76,05;5,5;;400V-3~N-4.95kW;BG351035-00011;gacc2;1686;560;565;1360;406;53,5;16;22,23;Inclusive;n/a;201;Inclusive;Yes;No;No;400;AC motor;50;W;;;280;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;30;6;yes;piece;1
GACC CX 040.2/1WN/FJE7A.TANN;GACC CX;040.2/1WN/FJE7A.TANN;n/a;finoox;247-2LWG.1H0.42A.00NN-C26.01.0000.100;GACC CX 040.2F/17-ANW_.E_Epoxy;2915;A;1;1;1734;Axial;4,903;3,902;15,82;3228;1310;12;VT0605;0,201;0,85;C;51,5;73,04;2,8;;230V-1~-2.32kW;BG351035-00004;gacc1;1006;560;565;680;406;30,5;9,52;9,52;Inclusive;n/a;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;232;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;60;6;yes;piece;1
GACC CX 040.2/1WN/FJE7A.UNNN;GACC CX;040.2/1WN/FJE7A.UNNN;n/a;finoox;247-2LWG.1H0.42A.00NN-C26.00.0000.000;GACC CX 040.2F/17-ANW_.E_Epoxy;2605;A;1;1;1734;Axial;4,903;3,902;15,82;3228;1310;12;VT0605;0,201;0,85;C;51,5;73,04;2,8;;230V-1~-2.32kW;BG351035-00004;gacc1;1006;560;565;680;406;30,5;9,52;9,52;Inclusive;n/a;138;172;No;No;No;400;AC motor;50;W;;;232;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;60;6;yes;piece;1
GACC CX 040.2/3WN/FJE7E.TNNN;GACC CX;040.2/3WN/FJE7E.TNNN;n/a;finoox;247-2LZV.1H0.3VB.S5PY-C26.01.0800.000;GACC CX 040.2F/37-ENW_.E_Epoxy;6027;E;3;1;1734;Axial;14,897;11,885;47,46;9683;1310;15;VT0605;0,603;0,85;C;55,73;77,81;8;400V-3~N-6.5kW;;;gacc3a;2366;560;565;680;406;80,3;16;22,23;Inclusive;n/a;Inclusive;516;No;Yes;Yes;400;AC motor;50;W;H04BB22301600230;H01CB22401700230;;BG351035-00017.1;3;100;2230;1;200;2240;no;no;F;E;Epoxy coated aluminum;7;20;6;yes;piece;1
GACC CX 040.2/1WN/HJE7E.UNNN;GACC CX;040.2/1WN/HJE7E.UNNN;n/a;finoox;247-2LWP.1H0.3VG.SGPU-C26.00.0800.000;GACC CX 040.2H/17-ENW_.E_Epoxy;3244;E;1;1;1734;Axial;6,093;4,93;21,09;3088;1310;12;VT0605;0,204;0,85;B;51,5;73,04;3,8;230V-1~-2.86kW;;;gacc1;1006;560;565;680;406;38,1;16;22,23;Inclusive;n/a;138;172;No;Yes;No;400;AC motor;50;W;H04BB08800540230;H01CB08800700230;;BG351035-00005.1;4;100;880;1;200;880;no;no;H;E;Epoxy coated aluminum;7;40;8;yes;piece;1
GACC CX 040.2/3WN/FJE7A.TNNN;GACC CX;040.2/3WN/FJE7A.TNNN;n/a;finoox;247-2LZU.1H0.3VB.S5PY-C26.01.0000.000;GACC CX 040.2F/37-ANW_.E_Epoxy;5605;A;3;1;1734;Axial;14,897;11,885;47,46;9683;1310;15;VT0605;0,603;0,85;C;55,73;77,81;8;;400V-3~N-6.5kW;BG351035-00017;gacc3a;2366;560;565;680;406;75,3;16;22,23;Inclusive;n/a;Inclusive;516;No;No;Yes;400;AC motor;50;W;;;337;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;20;6;yes;piece;1
GACC CX 040.2/2WN/HJE7A.TNNN;GACC CX;040.2/2WN/HJE7A.TNNN;n/a;finoox;247-2LYL.1H0.3VJ.S5Q0-C26.01.0000.000;GACC CX 040.2H/27-ANW_.E_Epoxy;4421;A;2;1;1734;Axial;12,218;9,891;42,18;6176;1310;13;VT0605;0,409;0,85;B;54,23;76,05;7,3;;400V-3~N-6.2kW;BG351035-00012;gacc2;1686;560;565;1360;406;61,8;16;22,23;Inclusive;n/a;Inclusive;344;No;No;Yes;400;AC motor;50;W;;;321;;;;;;;;no;no;H;E;Epoxy coated aluminum;7;20;8;yes;piece;1
GACC CX 040.2/1WN/HJE7A.UANN;GACC CX;040.2/1WN/HJE7A.UANN;n/a;finoox;247-2LWN.1H0.3VG.SGPU-C26.00.0000.100;GACC CX 040.2H/17-ANW_.E_Epoxy;3036;A;1;1;1734;Axial;6,093;4,93;21,09;3088;1310;12;VT0605;0,204;0,85;B;51,5;73,04;3,8;;230V-1~-2.86kW;BG351035-00005;gacc1;1006;560;565;680;406;35,3;16;22,23;Inclusive;n/a;138;Inclusive;Yes;No;No;400;AC motor;50;W;;;260;;;;;;;;no;no;H;E;Epoxy coated aluminum;7;40;8;yes;piece;1
GACC CX 040.2/3WN/HJE7A.UNNN;GACC CX;040.2/3WN/HJE7A.UNNN;n/a;finoox;247-2M00.1H0.3VJ.S5PZ-C26.00.0000.000;GACC CX 040.2H/37-ANW_.E_Epoxy;6045;A;3;1;1734;Axial;17,918;14,4;63,27;9264;1310;14;VT0605;0,613;0,85;B;55,73;77,81;10,7;;400V-3~N-8.1kW;BG351035-00018;gacc3a;2366;560;565;680;406;87,5;16;22,23;Inclusive;n/a;279;516;No;No;No;400;AC motor;50;W;;;388;;;;;;;;no;no;H;E;Epoxy coated aluminum;7;20;8;yes;piece;1
GACC CX 040.2/3WN/FJC7E.TANN;GACC CX;040.2/3WN/FJC7E.TANN;n/a;finoox;247-2LZX.1H0.3VB.S5PY-C26.01.0800.100;GACC CX 040.2F/37-ENW_.E_PC;6755;E;3;1;1734;Axial;14;11,17;47,46;9683;1310;15;VT0605;0,603;0,85;C;55,73;77,81;8;400V-3~N-6.5kW;;;gacc3a;2366;560;565;680;406;80,3;16;22,23;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB22301600230;H01CB22401700230;;BG351035-00017.1;3;100;2230;1;200;2240;no;no;F;E;Powder coated;7;20;6;yes;piece;1
GACC CX 040.2/3WN/FJC7E.UANN;GACC CX;040.2/3WN/FJC7E.UANN;n/a;finoox;247-2LZX.1H0.3VB.S5PY-C26.00.0800.100;GACC CX 040.2F/37-ENW_.E_PC;6476;E;3;1;1734;Axial;14;11,17;47,46;9683;1310;15;VT0605;0,603;0,85;C;55,73;77,81;8;400V-3~N-6.5kW;;;gacc3a;2366;560;565;680;406;80,3;16;22,23;n/a;Inclusive;279;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB22301600230;H01CB22401700230;;BG351035-00017.1;3;100;2230;1;200;2240;no;no;F;E;Powder coated;7;20;6;yes;piece;1
GACC CX 040.2/4WN/FJC7E.TNNN;GACC CX;040.2/4WN/FJC7E.TNNN;n/a;finoox;247-2M09.1H0.3VC.SGQ6-C26.01.0800.000;GACC CX 040.2F/47-ENW_.E_PC;8071;E;4;1;1734;Axial;19,333;15,549;63,27;12910;1310;16;VT0605;0,805;0,85;C;56,74;79,06;10,6;400V-3~N-9.1kW;;;gacc4a;3046;560;565;680;406;104,4;16;22,23;n/a;Inclusive;Inclusive;688;No;Yes;Yes;400;AC motor;50;W;H04BB29002300230;H01CB29202200230;;BG351035-00019.1;3;100;2900;1;200;2920;no;no;F;E;Powder coated;7;12;6;yes;piece;1
GACC CX 040.2/3WN/HJC7A.TANN;GACC CX;040.2/3WN/HJC7A.TANN;n/a;finoox;247-2M02.1H0.3VJ.S5PZ-C26.01.0000.100;GACC CX 040.2H/37-ANW_.E_PC;7078;A;3;1;1734;Axial;16,831;13,529;63,27;9264;1310;14;VT0605;0,613;0,85;C;55,73;77,81;10,7;;400V-3~N-8.1kW;BG351035-00018;gacc3a;2366;560;565;680;406;87,5;16;22,23;n/a;Inclusive;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;388;;;;;;;;no;no;H;E;Powder coated;7;20;8;yes;piece;1
GACC CX 040.2/1WN/FJC7E.UANN;GACC CX;040.2/1WN/FJC7E.UANN;n/a;finoox;247-2LWK.1H0.42A.00NN-C26.00.0800.100;GACC CX 040.2F/17-ENW_.E_PC;3212;E;1;1;1734;Axial;4,607;3,666;15,82;3228;1310;12;VT0605;0,201;0,85;C;51,5;73,04;2,8;230V-1~-2.32kW;;;gacc1;1006;560;565;680;406;32,8;9,52;9,52;n/a;Inclusive;138;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB08800540230;H01CB08800700230;;BG351035-00004.1;3;100;880;1;200;880;no;no;F;E;Powder coated;7;60;6;yes;piece;1
GACC CX 040.2/2WN/HJC7A.TANN;GACC CX;040.2/2WN/HJC7A.TANN;n/a;finoox;247-2LYN.1H0.3VJ.S5Q0-C26.01.0000.100;GACC CX 040.2H/27-ANW_.E_PC;4936;A;2;1;1734;Axial;11,509;9,326;42,18;6176;1310;13;VT0605;0,409;0,85;B;54,23;76,05;7,3;;400V-3~N-6.2kW;BG351035-00012;gacc2;1686;560;565;1360;406;61,8;16;22,23;n/a;Inclusive;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;321;;;;;;;;no;no;H;E;Powder coated;7;20;8;yes;piece;1
GACC CX 040.1/1WN/DJC4E.TANN;GACC CX;040.1/1WN/DJC4E.TANN;n/a;finoox;247-1BC7.1H0.3V6.00NN-C26.01.0800.100;GACC CX 040.1D/14-ENW_.E_PC;3210;E;1;1;1734;Axial;4,58;3,635;17,83;3117;1310;12;VT0605;0,204;0,85;D;51,5;73,04;1,9;230V-1~-1.78kW;;;gacc1;1006;560;565;680;406;28,3;9,52;9,52;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB08800540230;H01CB08800700230;;BG351035-00003.1;2;100;880;1;200;880;no;no;D;E;Powder coated;4;40;4;yes;piece;1
GACC CX 040.2/2WN/HJC4A.UNNN;GACC CX;040.2/2WN/HJC4A.UNNN;n/a;finoox;247-2LYJ.1H0.3VJ.S5Q0-C26.00.0000.000;GACC CX 040.2H/24-ANW_.E_PC;5263;A;2;1;1734;Axial;12,614;10,232;71,34;5325;1310;11;VT0605;0,42;0,85;C;54,23;76,05;7,3;;400V-3~N-6.2kW;BG351035-00012;gacc2;1686;560;565;1360;406;62,5;16;22,23;n/a;Inclusive;201;344;No;No;No;400;AC motor;50;W;;;321;;;;;;;;no;no;H;E;Powder coated;4;20;8;yes;piece;1
GACC CX 040.2/2WN/FJC4A.UNNN;GACC CX;040.2/2WN/FJC4A.UNNN;n/a;finoox;247-2LY6.1H0.3VA.S5PT-C26.00.0000.000;GACC CX 040.2F/24-ANW_.E_PC;4815;A;2;1;1734;Axial;10,607;8,397;53,5;5772;1310;12;VT0605;0,416;0,85;D;54,23;76,05;5,5;;400V-3~N-4.95kW;BG351035-00011;gacc2;1686;560;565;1360;406;54;16;22,23;n/a;Inclusive;201;344;No;No;No;400;AC motor;50;W;;;280;;;;;;;;no;no;F;E;Powder coated;4;30;6;yes;piece;1
GACC CX 040.2/2WN/HJC4E.UNNN;GACC CX;040.2/2WN/HJC4E.UNNN;n/a;finoox;247-2LYK.1H0.3VJ.S5Q0-C26.00.0800.000;GACC CX 040.2H/24-ENW_.E_PC;5704;E;2;1;1734;Axial;12,614;10,232;71,34;5325;1310;11;VT0605;0,42;0,85;C;54,23;76,05;7,3;400V-3~N-6.2kW;;;gacc2;1686;560;565;1360;406;67,3;16;22,23;n/a;Inclusive;201;344;No;Yes;No;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00012.1;4;100;1580;1;200;1560;no;no;H;E;Powder coated;4;20;8;yes;piece;1
GACC CX 020.1/2XN/DFA4A.TNNN;GACC CX;020.1/2XN/DFA4A.TNNN;n/a;finoox;247-1HBM.0C9.3UN.00NN-C26.01.0000.000;GACC-CX-020.1-D/2-4.0-ANX-CC-E80C-417;1734;A;2;1;417;Axial;2,751;2,212;11,02;1470;2550;6;VT0337U;0,171;0,38;E;45,23;66,52;1,2;;230V-1~-1.1kW;AY7.004786;gacc2;992;393;353;700;299;17,4;9,52;9,52;n/a;n/a;Inclusive;n/a;No;No;Yes;200;AC motor;60;X;;;124;;;;;;;;no;no;D;E;Aluminum;4;24;4;yes;piece;1
GACC CX 020.1/3XN/DFA4A.TNNN;GACC CX;020.1/3XN/DFA4A.TNNN;n/a;finoox;247-1HHZ.0C9.3UN.00NN-C26.01.0000.000;GACC-CX-020.1-D/3-4.0-ANX-CC-E80C-417;2228;A;3;1;417;Axial;4,213;3,363;16,52;2205;2550;6;VT0337U;0,256;0,38;E;46,85;68,28;1,7;;230V-1~-1.7kW;AY7.004787;gacc3;1342;393;353;1050;299;24,1;9,52;9,52;n/a;n/a;Inclusive;n/a;No;No;Yes;200;AC motor;60;X;;;143;;;;;;;;no;no;D;E;Aluminum;4;24;4;yes;piece;1
GACC CX 020.1/2XN/DFA4E.UNNN;GACC CX;020.1/2XN/DFA4E.UNNN;n/a;finoox;247-1HBN.0C9.3UN.00NN-C26.00.0800.000;E-GACC-CX-020.1-D/2-4.0-ANX-CC-E80C-417;1868;E;2;1;417;Axial;2,751;2,212;11,02;1470;2550;6;VT0337U;0,171;0,38;E;45,23;66,52;1,2;230V-1~-1.1kW;;;gacc2;992;393;353;700;299;21,7;9,52;9,52;n/a;n/a;0;n/a;No;Yes;No;200;AC motor;60;X;H04BB08800540230;H04CB08600600230;;AY7.004786.1;1;100;880;1;200;860;no;no;D;E;Aluminum;4;24;4;yes;piece;1
GACC CX 020.1/2XN/FFA4A.UNNN;GACC CX;020.1/2XN/FFA4A.UNNN;n/a;finoox;247-1HCP.0C9.3UM.00NN-C26.00.0000.000;GACC-CX-020.1-F/2-4.0-ANX-CC-E80C-417;1880;A;2;1;417;Axial;3,438;2,771;16,52;1411;2550;6;VT0337U;0,171;0,38;D;45,23;66,52;1,7;;230V-1~-1.7kW;AY7.004792;gacc2;992;393;353;700;299;20;9,52;9,52;n/a;n/a;0;n/a;No;No;No;200;AC motor;60;X;;;149;;;;;;;;no;no;F;E;Aluminum;4;36;6;yes;piece;1
GACC CX 020.1/3XN/FFA4A.UNNN;GACC CX;020.1/3XN/FFA4A.UNNN;n/a;finoox;247-1HK1.0C9.3UM.00NN-C26.00.0000.000;GACC-CX-020.1-F/3-4.0-ANX-CC-E80C-417;2383;A;3;1;417;Axial;4,987;3,992;24,78;2116;2550;6;VT0337U;0,256;0,38;D;46,85;68,28;2,5;;230V-1~-2.7kW;AY7.004793;gacc3;1342;393;353;1050;299;28;9,52;9,52;n/a;n/a;0;n/a;No;No;No;200;AC motor;60;X;;;177;;;;;;;;no;no;F;E;Aluminum;4;36;6;yes;piece;1
GACC CX 020.1/1XN/CFA7A.TNNN;GACC CX;020.1/1XN/CFA7A.TNNN;n/a;finoox;247-1HDK.0C9.3YN.00NN-C26.01.0000.000;GACC-CX-020.1-C/1-7.0-ANX-CC-E80C-417;1118;A;1;1;417;Axial;0,788;0,672;2,44;786;2550;5;VT0337U;0,085;0,38;E;42,38;63,51;0,5;;230V-1~-0.7kW;AY7.004785;gacc1;642;393;353;350;299;10;9,52;9,52;n/a;n/a;Inclusive;n/a;No;No;Yes;200;AC motor;60;X;;;109;;;;;;;;no;no;C;E;Aluminum;7;18;3;yes;piece;1
GACC CX 020.1/1XN/CFA7A.UNNN;GACC CX;020.1/1XN/CFA7A.UNNN;n/a;finoox;247-1HDK.0C9.3YN.00NN-C26.00.0000.000;GACC-CX-020.1-C/1-7.0-ANX-CC-E80C-417;1118;A;1;1;417;Axial;0,788;0,672;2,44;786;2550;5;VT0337U;0,085;0,38;E;42,38;63,51;0,5;;230V-1~-0.7kW;AY7.004785;gacc1;642;393;353;350;299;10;9,52;9,52;n/a;n/a;0;n/a;No;No;No;200;AC motor;60;X;;;109;;;;;;;;no;no;C;E;Aluminum;7;18;3;yes;piece;1
