TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (CO2 SC2);DX Evap (CO2 SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE STREAMER;STREAMER;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GACC CX 031.2/21N/FHE4E.TANN;GACC CX;031.2/21N/FHE4E.TANN;n/a;finoox;247-2LX3.1TZ.3UX.00NN-C26.01.0800.100;GACC CX 031.2F/24-EN1_.E_Epoxy;3786;E;2;1;2107;Axial;5,81;4,591;28,95;2770;1350;8;VT03189;0,173;0,7;C;43,54;65,02;3;230V-1~-2.57kW;;;gacc2;1212;430;455;920;332;30,8;9,52;9,52;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;315;EC motor;5060;1;H04BB11000860230;H01CB11000850230;;BG351035-00007.1;2;100;1100;1;200;1100;no;no;F;E;Epoxy coated aluminum;4;48;6;yes;piece;1
GACC CX 031.2/21N/FHE4E.UNNN;GACC CX;031.2/21N/FHE4E.UNNN;n/a;finoox;247-2LX3.1TZ.3UX.00NN-C26.00.0800.000;GACC CX 031.2F/24-EN1_.E_Epoxy;3280;E;2;1;2107;Axial;5,81;4,591;28,95;2770;1350;8;VT03189;0,173;0,7;C;43,54;65,02;3;230V-1~-2.57kW;;;gacc2;1212;430;455;920;332;30,8;9,52;9,52;Inclusive;n/a;204;302;No;Yes;No;315;EC motor;5060;1;H04BB11000860230;H01CB11000850230;;BG351035-00007.1;2;100;1100;1;200;1100;no;no;F;E;Epoxy coated aluminum;4;48;6;yes;piece;1
GACC CX 031.1/31N/FHE7A.TNNN;GACC CX;031.1/31N/FHE7A.TNNN;n/a;finoox;247-1BHE.1TZ.3UQ.SGPW-C26.01.0000.000;GACC CX 031.1F/37-AN1_.E_Epoxy;4159;A;3;1;2107;Axial;8,073;6,489;25,68;4937;1350;9;VT03189;0,26;0,7;B;45,11;66,78;4,5;;400V-3~N-3.7kW;BG351035-00009;gacc3;1672;430;455;1380;332;40,7;16;22,23;Inclusive;n/a;Inclusive;453;No;No;Yes;315;EC motor;5060;1;;;231;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;24;6;yes;piece;1
GACC CX 031.1/31N/FHE7E.UANN;GACC CX;031.1/31N/FHE7E.UANN;n/a;finoox;247-1BHF.1TZ.3UQ.SGPW-C26.00.0800.100;GACC CX 031.1F/37-EN1_.E_Epoxy;4614;E;3;1;2107;Axial;8,073;6,489;25,68;4937;1350;9;VT03189;0,26;0,7;B;45,11;66,78;4,5;400V-3~N-3.7kW;;;gacc3;1672;430;455;1380;332;43,6;16;22,23;Inclusive;n/a;284;Inclusive;Yes;Yes;No;315;EC motor;5060;1;H04BB15801250230;H01CB15601200230;;BG351035-00009.1;2;100;1580;1;200;1560;no;no;F;E;Epoxy coated aluminum;7;24;6;yes;piece;1
GACC CX 031.1/11N/HHE7A.TANN;GACC CX;031.1/11N/HHE7A.TANN;n/a;finoox;247-1BBS.1TZ.3V2.00NN-C26.01.0000.100;GACC CX 031.1H/17-AN1_.E_Epoxy;2269;A;1;1;2107;Axial;3,125;2,528;11,41;1531;1350;8;VT03189;0,086;0,7;B;40,72;62,01;2,1;;230V-1~-1.44kW;BG351035-00025;gacc1;752;430;455;460;332;19,2;9,52;9,52;Inclusive;n/a;Inclusive;Inclusive;Yes;No;Yes;315;EC motor;5060;1;;;183;;;;;;;;no;no;H;E;Epoxy coated aluminum;7;64;8;yes;piece;1
GACC CX 031.1/11N/HHE7A.UANN;GACC CX;031.1/11N/HHE7A.UANN;n/a;finoox;247-1BBS.1TZ.3V2.00NN-C26.00.0000.100;GACC CX 031.1H/17-AN1_.E_Epoxy;2126;A;1;1;2107;Axial;3,125;2,528;11,41;1531;1350;8;VT03189;0,086;0,7;B;40,72;62,01;2,1;;230V-1~-1.44kW;BG351035-00025;gacc1;752;430;455;460;332;19,2;9,52;9,52;Inclusive;n/a;143;Inclusive;Yes;No;No;315;EC motor;5060;1;;;183;;;;;;;;no;no;H;E;Epoxy coated aluminum;7;64;8;yes;piece;1
GACC CX 031.2/21N/HHE7E.TNNN;GACC CX;031.2/21N/HHE7E.TNNN;n/a;finoox;247-2LXP.1TZ.3V3.S5SR-C26.01.0800.000;GACC CX 031.2H/27-EN1_.E_Epoxy;3298;E;2;1;2107;Axial;6,278;5,082;22,83;3062;1350;9;VT03189;0,173;0,7;B;43,54;65,02;4,1;230V-1~-2.57kW;;;gacc2;1212;430;455;920;332;35,5;16;22,23;Inclusive;n/a;Inclusive;302;No;Yes;Yes;315;EC motor;5060;1;H04BB11000860230;H01CB11000850230;;BG351035-00026.1;2;100;1100;1;200;1100;no;no;H;E;Epoxy coated aluminum;7;32;8;yes;piece;1
GACC CX 031.2/21N/FHE7E.UNNN;GACC CX;031.2/21N/FHE7E.UNNN;n/a;finoox;247-2LXB.1TZ.3UX.00NN-C26.00.0800.000;GACC CX 031.2F/27-EN1_.E_Epoxy;2764;E;2;1;2107;Axial;5,098;4,05;17,12;3291;1350;9;VT03189;0,173;0,7;B;43,54;65,02;3;230V-1~-2.57kW;;;gacc2;1212;430;455;920;332;30,6;9,52;9,52;Inclusive;n/a;204;302;No;Yes;No;315;EC motor;5060;1;H04BB11000860230;H01CB11000850230;;BG351035-00007.1;2;100;1100;1;200;1100;no;no;F;E;Epoxy coated aluminum;7;48;6;yes;piece;1
GACC CX 031.2/31N/HHE7E.TNNN;GACC CX;031.2/31N/HHE7E.TNNN;n/a;finoox;247-2LZF.1TZ.3V3.SGPW-C26.01.0800.000;GACC CX 031.2H/37-EN1_.E_Epoxy;4914;E;3;1;2107;Axial;9,117;7,316;34,24;4593;1350;9;VT03189;0,259;0,7;B;45,11;66,78;5,9;400V-3~N-3.7kW;;;gacc3;1672;430;455;1380;332;50,1;16;22,23;Inclusive;n/a;Inclusive;453;No;Yes;Yes;315;EC motor;5060;1;H04BB15801250230;H01CB15601200230;;BG351035-00027.1;2;100;1580;1;200;1560;no;no;H;E;Epoxy coated aluminum;7;32;8;yes;piece;1
GACC CX 031.1/21N/DHC7E.TNNN;GACC CX;031.1/21N/DHC7E.TNNN;n/a;finoox;247-1BDZ.1TZ.3UU.00NN-C26.01.0800.000;GACC CX 031.1D/27-EN1_.E_PC;2893;E;2;1;2107;Axial;3,869;3,098;11,41;3566;1350;10;VT03189;0,173;0,7;C;43,54;65,02;2;230V-1~-1.71kW;;;gacc2;1212;430;455;920;332;25,6;9,52;9,52;n/a;Inclusive;Inclusive;302;No;Yes;Yes;315;EC motor;5060;1;H04BB11000860230;H01CB11000850230;;BG351035-00006.1;1;100;1100;1;200;1100;no;no;D;E;Powder coated;7;32;4;yes;piece;1
