TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (CO2 SC2);DX Evap (CO2 SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GASC CX 031.2/3XN/DFA4E.TNNN;GASC CX;031.2/3XN/DFA4E.TNNN;n/a;finoox;251-2LUP.245.3UC.SGPU-C26.01.0800.000;GASC CX 031.2C/34-ENX_.E;3423;E;3;1;2453;Axial;8,818;7,043;32,1;4955;1390;19;VT03159U;0,408;0,55;D;47,54;69,42;3,3;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;43,4;16;22,23;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Aluminum;4;12;4;yes;piece;1
GASC CX 031.1/3WN/FFC7E.TNNN;GASC CX;031.1/3WN/FFC7E.TNNN;n/a;finoox;251-1B55.246.3UL.S5PT-C26.01.0800.000;GASC CX 031.1D/37-ENW_.E_PC;4212;E;3;1;2454;Axial;7,871;6,334;28,47;4916;1300;19;VT03159U;0,303;0,42;C;46,61;68,49;4,9;400V 3~N - 4.05kW;;;GASC3;2324;580;337;2040;552;51,7;16;22,23;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;50;W;H04BB22301600230;H02LA22800850230;;AY7.001479.1;2;100;2230;1;75;2280;no;no;F;E;Powder coated;7;18;6;yes;piece;1
GASC CX 031.1/1WM/DDA7A.TNNN;GASC CX;031.1/1WM/DDA7A.TNNN;n/a;finoox;251-1AZY.247.3UF.00NN-C26.01.0000.000;GASC CX 031.1A/17-ALW_.E;1141;A;1;1;2455;Axial;1,183;0,996;4,22;866;900;7;VT03159U;0,09;0,38;D;38,79;60,05;0,8;;230V 1~ - 0.95kW;AY7.001474;GASC1;964;580;234;680;552;13,9;9,52;9,52;n/a;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;137;;;;;;;;no;no;D;E;Aluminum;7;16;4;yes;piece;1
GASC CX 030.1/11N/DFC7E.TNNN;GASC CX;030.1/11N/DFC7E.TNNN;n/a;finoox;251-1HWE.345.3UN.00NN-C26.01.0800.000;GASC CX 030.1C/17-EN1_.E_PC;1902;E;1;1;3609;Axial;1,998;1,626;6,33;1773;1760;12;VT06103;0,096;0,76;C;43,7;65,04;1,1;230V 1~ - 0.95kW;;;GASC1;964;580;337;680;552;17,1;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;300;EC motor;5060;1;H04BA08550600230;H02LA08900350230;;AY7.001474.1;1;100;855;1;75;890;no;no;D;E;Powder coated;7;24;4;yes;piece;1
GASC CX 020.1/31N/FDE7E.TNNN;GASC CX;020.1/31N/FDE7E.TNNN;n/a;finoox;251-1CNM.0YE.3UJ.00NN-C26.01.0800.000;GASC CX 020.1B/37-EN1_.E_Epoxy;2268;E;3;1;1102;Axial;2,953;2,386;11,17;1606;2000;10;VT03033U;0,107;0,26;C;48,64;70,11;1,9;230V 1~ - 1.6kW;;;GASC3;1484;580;234;1200;552;25,2;9,52;9,52;Inclusive;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BB13901000230;H02LA14100560230;;AY7.004217.1;1;100;1390;1;75;1410;no;no;F;E;Epoxy coated aluminum;7;24;6;yes;piece;1
GASC CX 031.2/3WN/DFE7E.TNNN;GASC CX;031.2/3WN/DFE7E.TNNN;n/a;finoox;251-2LV1.246.3UN.00NN-C26.01.0800.000;GASC CX 031.2C/37-ENW_.E_Epoxy;3752;E;3;1;2454;Axial;5,837;4,593;18,98;5183;1300;20;VT03159U;0,3;0,42;D;46,64;68,52;3,2;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;42,6;9,52;9,52;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Epoxy coated aluminum;7;24;4;yes;piece;1
GASC CX 031.2/2XN/DFE4A.TNNN;GASC CX;031.2/2XN/DFE4A.TNNN;n/a;finoox;251-2LTP.245.3UN.00NN-C26.01.0000.000;GASC CX 031.2C/24-ANX_.E_Epoxy;2342;A;2;1;2453;Axial;5,559;4,404;21,4;3304;1390;16;VT03159U;0,272;0,55;D;46,04;67,66;2,1;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;337;1360;552;27,5;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;203;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;24;4;yes;piece;1
GASC CX 031.2/2WN/FFE7A.TNNN;GASC CX;031.2/2WN/FFE7A.TNNN;n/a;finoox;251-2LU9.246.3UM.00NN-C26.01.0000.000;GASC CX 031.2D/27-ANW_.E_Epoxy;2719;A;2;1;2454;Axial;5,235;4,157;18,98;3277;1300;16;VT03159U;0,202;0,42;C;45,11;66,73;3,2;;230V 1~ - 3kW;AY7.001477;GASC2;1644;580;337;1360;552;32,3;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;235;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;36;6;yes;piece;1
GASC CX 031.1/11M/FFA4A.TNNN;GASC CX;031.1/11M/FFA4A.TNNN;n/a;finoox;251-1B1G.24H.3UM.00NN-C26.01.0000.000;GASC CX 031.1D/14-AL1_.E;1523;A;1;1;2465;Axial;2,722;2,218;16,05;1056;1000;7;VT03190;0,036;0,3;A;34,32;55,66;1,7;;230V 1~ - 1.55kW;AY7.001475;GASC1;964;580;337;680;552;17,6;9,52;9,52;n/a;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;171;;;;;;;;no;no;F;E;Aluminum;4;36;6;yes;piece;1
GASC CX 020.1/11N/DDA4A.TNNN;GASC CX;020.1/11N/DDA4A.TNNN;n/a;finoox;251-1AYN.0YE.3UF.00NN-C26.01.0000.000;GASC CX 020.1A/14-AN1_.E;802;A;1;1;1102;Axial;0,949;0,81;4,2;512;2000;6;VT03033U;0,035;0,26;C;44,48;65,61;0,5;;230V 1~ - 0.59kW;AY7.001473;GASC1;684;580;234;400;552;8,6;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;114;;;;;;;;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC CX 031.1/1WN/FFA7A.TNNN;GASC CX;031.1/1WN/FFA7A.TNNN;n/a;finoox;251-1B1C.246.3UM.00NN-C26.01.0000.000;GASC CX 031.1D/17-ANW_.E;1406;A;1;1;2454;Axial;2,829;2,291;9,49;1639;1300;11;VT03159U;0,101;0,42;C;42,38;63,72;1,7;;230V 1~ - 1.55kW;AY7.001475;GASC1;964;580;337;680;552;18;9,52;9,52;n/a;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;171;;;;;;;;no;no;F;E;Aluminum;7;36;6;yes;piece;1
GASC CX 031.1/1WN/DFE4A.TNNN;GASC CX;031.1/1WN/DFE4A.TNNN;n/a;finoox;251-1B0W.246.3UN.00NN-C26.01.0000.000;GASC CX 031.1C/14-ANW_.E_Epoxy;1482;A;1;1;2454;Axial;2,721;2,189;10,7;1566;1300;11;VT03159U;0,101;0,42;C;42,43;63,78;1,1;;230V 1~ - 0.95kW;AY7.001474;GASC1;964;580;337;680;552;15,6;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;137;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;24;4;yes;piece;1
GASC CX 031.1/4WN/FFC4A.TNNN;GASC CX;031.1/4WN/FFC4A.TNNN;n/a;finoox;251-1B5Y.246.3UK.S5PY-C26.01.0000.000;GASC CX 031.1D/44-ANW_.E_PC;4950;A;4;1;2454;Axial;12,056;9,717;64,2;5750;1300;19;VT03159U;0,409;0,42;C;47,89;70,02;6,4;;400V 3~N - 5.7kW;AY7.001481;GASC4;3004;580;337;1360;552;62,2;16;22,23;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;50;W;;;423;;;;;;;;no;no;F;E;Powder coated;4;12;6;yes;piece;1
GASC CX 031.1/31M/FFE7E.TNNN;GASC CX;031.1/31M/FFE7E.TNNN;n/a;finoox;251-1B51.24H.3UL.S5PT-C26.01.0800.000;GASC CX 031.1D/37-EL1_.E_Epoxy;4394;E;3;1;2465;Axial;7,111;5,748;28,47;3728;1000;15;VT03190;0,109;0,3;A+;38,13;60,02;4,9;400V 3~N - 4.05kW;;;GASC3;2324;580;337;2040;552;49,9;16;22,23;Inclusive;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BB22301600230;H02LA22800850230;;AY7.001479.1;2;100;2230;1;75;2280;no;no;F;E;Epoxy coated aluminum;7;18;6;yes;piece;1
GASC CX 031.2/2WN/DFE4A.TNNN;GASC CX;031.2/2WN/DFE4A.TNNN;n/a;finoox;251-2LTP.246.3UN.00NN-C26.01.0000.000;GASC CX 031.2C/24-ANW_.E_Epoxy;2342;A;2;1;2454;Axial;5,424;4,302;21,4;3131;1300;15;VT03159U;0,203;0,42;C;45,17;66,79;2,1;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;337;1360;552;27,5;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;203;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;24;4;yes;piece;1
GASC CX 031.2/3WN/DFC7A.TNNN;GASC CX;031.2/3WN/DFC7A.TNNN;n/a;finoox;251-2LV3.246.3UN.00NN-C26.01.0000.000;GASC CX 031.2C/37-ANW_.E_PC;3581;A;3;1;2454;Axial;5,484;4,314;18,98;5183;1300;20;VT03159U;0,3;0,42;D;46,64;68,52;3,2;;230V 1~ - 2.45kW;AY7.001478;GASC3;2324;580;337;2040;552;39;9,52;9,52;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;50;W;;;302;;;;;;;;no;no;D;E;Powder coated;7;24;4;yes;piece;1
GASC CX 031.2/2XM/FFE7A.TNNN;GASC CX;031.2/2XM/FFE7A.TNNN;n/a;finoox;251-2LU9.248.3UM.00NN-C26.01.0000.000;GASC CX 031.2D/27-ALX_.E_Epoxy;2719;A;2;1;2456;Axial;3,71;3,003;18,98;1780;720;9;VT03159U;0,18;0,39;C;37,59;59,21;3,2;;230V 1~ - 3kW;AY7.001477;GASC2;1644;580;337;1360;552;32,3;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;235;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;36;6;yes;piece;1
GASC CX 031.2/2WN/DFA7A.TNNN;GASC CX;031.2/2WN/DFA7A.TNNN;n/a;finoox;251-2LTF.246.3UN.00NN-C26.01.0000.000;GASC CX 031.2C/27-ANW_.E;2101;A;2;1;2454;Axial;4,319;3,459;12,65;3455;1300;17;VT03159U;0,2;0,42;C;45,14;66,76;2,1;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;337;1360;552;27,3;9,52;9,52;n/a;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;203;;;;;;;;no;no;D;E;Aluminum;7;24;4;yes;piece;1
GASC CX 031.2/2XM/FFC7E.TNNN;GASC CX;031.2/2XM/FFC7E.TNNN;n/a;finoox;251-2LUF.248.3UM.00NN-C26.01.0800.000;GASC CX 031.2D/27-ELX_.E_PC;3100;E;2;1;2456;Axial;3,486;2,823;18,98;1780;720;9;VT03159U;0,18;0,39;D;37,59;59,21;3,2;230V 1~ - 3kW;;;GASC2;1644;580;337;1360;552;35,6;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;60;X;H04BA15351200230;H02LA15700600230;;AY7.001477.1;2;100;1535;1;75;1570;no;no;F;E;Powder coated;7;36;6;yes;piece;1
GASC CX 031.2/3WN/DFE4E.TNNN;GASC CX;031.2/3WN/DFE4E.TNNN;n/a;finoox;251-2LUT.246.3UC.SGPU-C26.01.0800.000;GASC CX 031.2C/34-ENW_.E_Epoxy;3752;E;3;1;2454;Axial;8,384;6,69;32,1;4697;1300;18;VT03159U;0,304;0,42;C;46,67;68,55;3,3;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;43,4;16;22,23;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Epoxy coated aluminum;4;12;4;yes;piece;1
GASC CX 031.1/4XN/FFC7E.TNNN;GASC CX;031.1/4XN/FFC7E.TNNN;n/a;finoox;251-1B67.245.3UK.S5PY-C26.01.0800.000;GASC CX 031.1D/47-ENX_.E_PC;5383;E;4;1;2453;Axial;10,911;8,798;37,96;6925;1390;23;VT03159U;0,543;0,55;C;48,71;70,84;6,4;400V 3~N - 5.7kW;;;GASC4;3004;580;337;1360;552;67,8;16;22,23;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;60;X;H04BB29002300230;H02LA29601100230;;AY7.001481.1;2;100;2900;1;75;2960;no;no;F;E;Powder coated;7;12;6;yes;piece;1
GASC CX 030.1/11N/DFA4E.TNNN;GASC CX;030.1/11N/DFA4E.TNNN;n/a;finoox;251-1HVQ.345.3UN.00NN-C26.01.0800.000;GASC CX 030.1C/14-EN1_.E;1642;E;1;1;3609;Axial;2,887;2,319;10,7;1658;1760;11;VT06103;0,1;0,76;C;43,7;65,04;1,1;230V 1~ - 0.95kW;;;GASC1;964;580;337;680;552;17,2;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;300;EC motor;5060;1;H04BA08550600230;H02LA08900350230;;AY7.001474.1;1;100;855;1;75;890;no;no;D;E;Aluminum;4;24;4;yes;piece;1
GASC CX 020.1/11M/DDE7E.TNNN;GASC CX;020.1/11M/DDE7E.TNNN;n/a;finoox;251-1AZ1.0YF.3UF.00NN-C26.01.0800.000;GASC CX 020.1A/17-EL1_.E_Epoxy;1057;E;1;1;1103;Axial;0,624;0,535;2,48;440;1500;5;VT03033U;0,021;0,16;B;40,19;61,32;0,5;230V 1~ - 0.59kW;;;GASC1;684;580;234;400;552;9,9;9,52;9,52;Inclusive;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BA05750350230;H02LA06100240230;;AY7.001473.1;1;100;575;1;75;610;no;no;D;E;Epoxy coated aluminum;7;16;4;yes;piece;1
GASC CX 031.1/3WM/FFA7A.TNNN;GASC CX;031.1/3WM/FFA7A.TNNN;n/a;finoox;251-1B4J.247.3UL.S5PT-C26.01.0000.000;GASC CX 031.1D/37-ALW_.E;3344;A;3;1;2455;Axial;6,771;5,485;28,47;3395;900;13;VT03159U;0,266;0,38;C;42,59;64,47;4,9;;400V 3~N - 4.05kW;AY7.001479;GASC3;2324;580;337;2040;552;47;16;22,23;n/a;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;338;;;;;;;;no;no;F;E;Aluminum;7;18;6;yes;piece;1
GASC CX 031.2/21N/DFA4A.TNNN;GASC CX;031.2/21N/DFA4A.TNNN;n/a;finoox;251-2LTK.24G.3UN.00NN-C26.01.0000.000;GASC CX 031.2C/24-AN1_.E;2332;A;2;1;2464;Axial;5,512;4,375;21,4;3122;1350;15;VT03190;0,173;0,7;C;45,18;66,8;2,1;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;337;1360;552;26,3;9,52;9,52;n/a;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;203;;;;;;;;no;no;D;E;Aluminum;4;24;4;yes;piece;1
GASC CX 031.2/3XN/DFE4A.TNNN;GASC CX;031.2/3XN/DFE4A.TNNN;n/a;finoox;251-2LUR.245.3UC.SGPU-C26.01.0000.000;GASC CX 031.2C/34-ANX_.E_Epoxy;3419;A;3;1;2453;Axial;8,629;6,882;32,1;4955;1390;19;VT03159U;0,408;0,55;D;47,54;69,42;3,3;;230V 1~ - 2.45kW;AY7.001478;GASC3;2324;580;337;2040;552;39,9;16;22,23;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;302;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;12;4;yes;piece;1
GASC CX 031.1/11M/DFE4A.TNNN;GASC CX;031.1/11M/DFE4A.TNNN;n/a;finoox;251-1B0W.24H.3UN.00NN-C26.01.0000.000;GASC CX 031.1C/14-AL1_.E_Epoxy;1597;A;1;1;2465;Axial;2,275;1,849;10,7;1166;1000;8;VT03190;0,036;0,3;A;34,03;55,37;1,1;;230V 1~ - 0.95kW;AY7.001474;GASC1;964;580;337;680;552;15;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;137;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;24;4;yes;piece;1
GASC CX 020.1/31N/DDA4A.TNNN;GASC CX;020.1/31N/DDA4A.TNNN;n/a;finoox;251-1CM0.0YE.3UF.00NN-C26.01.0000.000;GASC CX 020.1A/34-AN1_.E;1449;A;3;1;1102;Axial;2,975;2,394;12,59;1536;2000;10;VT03033U;0,105;0,26;C;48,91;70,38;1,3;;230V 1~ - 1.6kW;AY7.004217;GASC3;1484;580;234;1200;552;20,7;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;279;;;;;;;;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC CX 031.1/21N/FFA4E.TNNN;GASC CX;031.1/21N/FFA4E.TNNN;n/a;finoox;251-1B39.24G.3UL.SGPU-C26.01.0800.000;GASC CX 031.1D/24-EN1_.E;2967;E;2;1;2464;Axial;6,762;5,462;32,1;2840;1350;14;VT03190;0,173;0,7;B;46,4;68,02;3,3;230V 1~ - 3kW;;;GASC2;1644;580;337;1360;552;35,2;16;22,23;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BA15351200230;H02LA15700600230;;AY7.001477.1;2;100;1535;1;75;1570;no;no;F;E;Aluminum;4;18;6;yes;piece;1
GASC CX 031.2/21M/FFA7E.TNNN;GASC CX;031.2/21M/FFA7E.TNNN;n/a;finoox;251-2LU7.24H.3UM.00NN-C26.01.0800.000;GASC CX 031.2D/27-EL1_.E;2967;E;2;1;2465;Axial;4,618;3,7;18,98;2485;1000;12;VT03190;0,072;0,3;A+;36,63;58,26;3,2;230V 1~ - 3kW;;;GASC2;1644;580;337;1360;552;34,4;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BA15351200230;H02LA15700600230;;AY7.001477.1;2;100;1535;1;75;1570;no;no;F;E;Aluminum;7;36;6;yes;piece;1
GASC CX 031.1/1WN/FFC4A.TNNN;GASC CX;031.1/1WN/FFC4A.TNNN;n/a;finoox;251-1B1Q.246.3UM.00NN-C26.01.0000.000;GASC CX 031.1D/14-ANW_.E_PC;1673;A;1;1;2454;Axial;3,027;2,442;16,05;1438;1300;10;VT03159U;0,102;0,42;C;42,65;64;1,7;;230V 1~ - 1.55kW;AY7.001475;GASC1;964;580;337;680;552;18,2;9,52;9,52;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;50;W;;;171;;;;;;;;no;no;F;E;Powder coated;4;36;6;yes;piece;1
GASC CX 031.1/11M/DDA4A.TNNN;GASC CX;031.1/11M/DDA4A.TNNN;n/a;finoox;251-1B02.24H.3UF.00NN-C26.01.0000.000;GASC CX 031.1A/14-AL1_.E;1258;A;1;1;2465;Axial;1,604;1,331;7,13;848;1000;7;VT03190;0,037;0,3;B;35,01;56,26;0,8;;230V 1~ - 0.95kW;AY7.001474;GASC1;964;580;234;680;552;13,3;9,52;9,52;n/a;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;137;;;;;;;;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC CX 020.1/21N/FDC7A.TNNN;GASC CX;020.1/21N/FDC7A.TNNN;n/a;finoox;251-1CLN.0YE.3UJ.00NN-C26.01.0000.000;GASC CX 020.1B/27-AN1_.E_PC;1574;A;2;1;1102;Axial;1,812;1,487;7,44;1071;2000;8;VT03033U;0,071;0,26;C;47,04;68,34;1,3;;230V 1~ - 1kW;AY7.004216;GASC2;1084;580;234;800;552;16,7;9,52;9,52;n/a;Inclusive;Inclusive;No;Yes;200;EC motor;5060;1;;;180;;;;;;;;no;no;F;E;Powder coated;7;24;6;yes;piece;1
GASC CX 031.1/31N/FFE7A.TNNN;GASC CX;031.1/31N/FFE7A.TNNN;n/a;finoox;251-1B50.24G.3UL.S5PT-C26.01.0000.000;GASC CX 031.1D/37-AN1_.E_Epoxy;4015;A;3;1;2464;Axial;8,383;6,742;28,47;4942;1350;19;VT03190;0,26;0,7;B;46,12;68;4,9;;400V 3~N - 4.05kW;AY7.001479;GASC3;2324;580;337;2040;552;45,2;16;22,23;Inclusive;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;338;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;18;6;yes;piece;1
GASC CX 030.1/11N/FFA7A.TNNN;GASC CX;030.1/11N/FFA7A.TNNN;n/a;finoox;251-1HWK.345.3UM.00NN-C26.01.0000.000;GASC CX 030.1D/17-AN1_.E;1585;A;1;1;3609;Axial;2,898;2,345;9,49;1708;1760;12;VT06103;0,098;0,76;B;43,7;65,04;1,7;;230V 1~ - 1.55kW;AY7.001475;GASC1;964;580;337;680;552;17,8;9,52;9,52;n/a;n/a;Inclusive;No;Yes;300;EC motor;5060;1;;;171;;;;;;;;no;no;F;E;Aluminum;7;36;6;yes;piece;1
GASC CX 020.1/11N/FDA4E.TNNN;GASC CX;020.1/11N/FDA4E.TNNN;n/a;finoox;251-1AZD.0YE.3UJ.00NN-C26.01.0800.000;GASC CX 020.1B/14-EN1_.E;1063;E;1;1;1102;Axial;1,147;0,97;6,29;476;2000;5;VT03033U;0,035;0,26;C;44,99;66,12;0,7;230V 1~ - 0.59kW;;;GASC1;684;580;234;400;552;10,9;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BA05750350230;H02LA06100240230;;AY7.001473.1;1;100;575;1;75;610;no;no;F;E;Aluminum;4;24;6;yes;piece;1
GASC CX 020.1/31N/DDC4A.TNNN;GASC CX;020.1/31N/DDC4A.TNNN;n/a;finoox;251-1CMC.0YE.3UF.00NN-C26.01.0000.000;GASC CX 020.1A/34-AN1_.E_PC;1916;A;3;1;1102;Axial;2,648;2,131;12,59;1536;2000;10;VT03033U;0,105;0,26;D;48,91;70,38;1,3;;230V 1~ - 1.6kW;AY7.004217;GASC3;1484;580;234;1200;552;20,7;9,52;9,52;n/a;Inclusive;Inclusive;No;Yes;200;EC motor;5060;1;;;279;;;;;;;;no;no;D;E;Powder coated;4;16;4;yes;piece;1
GASC CX 031.2/2WM/FFE7A.TNNN;GASC CX;031.2/2WM/FFE7A.TNNN;n/a;finoox;251-2LU9.247.3UM.00NN-C26.01.0000.000;GASC CX 031.2D/27-ALW_.E_Epoxy;2719;A;2;1;2455;Axial;4,326;3,476;18,98;2263;900;11;VT03159U;0,178;0,38;C;41,09;62,71;3,2;;230V 1~ - 3kW;AY7.001477;GASC2;1644;580;337;1360;552;32,3;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;235;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;36;6;yes;piece;1
GASC CX 031.1/11M/FFC4E.TNNN;GASC CX;031.1/11M/FFC4E.TNNN;n/a;finoox;251-1B1R.24H.3UM.00NN-C26.01.0800.000;GASC CX 031.1D/14-EL1_.E_PC;1975;E;1;1;2465;Axial;2,422;1,974;16,05;1056;1000;7;VT03190;0,036;0,3;A;34,32;55,66;1,7;230V 1~ - 1.55kW;;;GASC1;964;580;337;680;552;19,8;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BA08550600230;H02LA08900350230;;AY7.001475.1;2;100;855;1;75;890;no;no;F;E;Powder coated;4;36;6;yes;piece;1
GASC CX 031.2/3WN/FFC4A.TNNN;GASC CX;031.2/3WN/FFC4A.TNNN;n/a;finoox;251-2LVF.246.3UL.S5PT-C26.01.0000.000;GASC CX 031.2D/34-ANW_.E_PC;3868;A;3;1;2454;Axial;8,878;7,124;48,15;4313;1300;17;VT03159U;0,307;0,42;C;46,89;68,77;4,9;;400V 3~N - 4.05kW;AY7.001479;GASC3;2324;580;337;2040;552;47,4;16;22,23;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;50;W;;;338;;;;;;;;no;no;F;E;Powder coated;4;18;6;yes;piece;1
GASC CX 031.2/3XM/DFC7E.TNNN;GASC CX;031.2/3XM/DFC7E.TNNN;n/a;finoox;251-2LV5.248.3UN.00NN-C26.01.0800.000;GASC CX 031.2C/37-ELX_.E_PC;3915;E;3;1;2456;Axial;4,158;3,331;18,98;2838;720;11;VT03159U;0,27;0,39;D;39,05;60,93;3,2;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;42,6;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;60;X;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Powder coated;7;24;4;yes;piece;1
GASC CX 031.2/21N/DFC7E.TNNN;GASC CX;031.2/21N/DFC7E.TNNN;n/a;finoox;251-2LU3.24G.3UN.00NN-C26.01.0800.000;GASC CX 031.2C/27-EN1_.E_PC;2918;E;2;1;2464;Axial;4,046;3,24;12,65;3514;1350;17;VT03190;0,173;0,7;C;44,18;65,8;2,1;230V 1~ - 1.8kW;;;GASC2;1644;580;337;1360;552;28,7;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BA15351200230;H02LA15700600230;;AY7.001476.1;1;100;1535;1;75;1570;no;no;D;E;Powder coated;7;24;4;yes;piece;1
