TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (CO2 SC2);DX Evap (CO2 SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GASC CX 031.1/11N/DDC7E.TNNN;GASC CX;031.1/11N/DDC7E.TNNN;n/a;finoox;251-1B0K.24G.3UF.00NN-C26.01.0800.000;GASC CX 031.1A/17-EN1_.E_PC;1629;E;1;1;2464;Axial;1,36;1,127;4,22;1284;1350;11;VT03190;0,086;0,7;D;45,24;66,49;0,8;230V 1~ - 0.95kW;;;GASC1;964;580;234;680;552;15,1;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BA08550600230;H02LA08900350230;;AY7.001474.1;1;100;855;1;75;890;no;no;D;E;Powder coated;7;16;4;yes;piece;1
GASC CX 020.1/21N/DDC7E.TNNN;GASC CX;020.1/21N/DDC7E.TNNN;n/a;finoox;251-1CKM.0YE.3UF.00NN-C26.01.0800.000;GASC CX 020.1A/27-EN1_.E_PC;1558;E;2;1;1102;Axial;1,378;1,146;4,96;1123;2000;9;VT03033U;0,072;0,26;D;46,81;68,11;0,9;230V 1~ - 1kW;;;GASC2;1084;580;234;800;552;16,3;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BA09750600230;H02LA10000400230;;AY7.004216.1;1;100;975;1;75;1000;no;no;D;E;Powder coated;7;16;4;yes;piece;1
GASC CX 020.1/11M/DDC4E.TNNN;GASC CX;020.1/11M/DDC4E.TNNN;n/a;finoox;251-1AYX.0YF.3UF.00NN-C26.01.0800.000;GASC CX 020.1A/14-EL1_.E_PC;1133;E;1;1;1103;Axial;0,735;0,629;4,2;403;1500;4;VT03033U;0,02;0,16;C;40,68;61,81;0,5;230V 1~ - 0.59kW;;;GASC1;684;580;234;400;552;9,9;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BA05750350230;H02LA06100240230;;AY7.001473.1;1;100;575;1;75;610;no;no;D;E;Powder coated;4;16;4;yes;piece;1
GASC CX 031.2/3XN/DFA7E.TNNN;GASC CX;031.2/3XN/DFA7E.TNNN;n/a;finoox;251-2LUK.245.3UN.00NN-C26.01.0800.000;GASC CX 031.2C/37-ENX_.E;3423;E;3;1;2453;Axial;6,009;4,719;18,98;5498;1390;21;VT03159U;0,406;0,55;D;48,03;69,91;3,2;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;42,6;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Aluminum;7;24;4;yes;piece;1
GASC CX 031.1/21N/DDA7A.TNNN;GASC CX;031.1/21N/DDA7A.TNNN;n/a;finoox;251-1B22.24G.3UF.00NN-C26.01.0000.000;GASC CX 031.1A/27-AN1_.E;2331;A;2;1;2464;Axial;3,031;2,446;8,44;2568;1350;15;VT03190;0,173;0,7;D;47,97;69,5;1,4;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;234;1360;552;22,9;9,52;9,52;n/a;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;203;;;;;;;;no;no;D;E;Aluminum;7;16;4;yes;piece;1
GASC CX 031.2/2XN/FFC7A.TNNN;GASC CX;031.2/2XN/FFC7A.TNNN;n/a;finoox;251-2LUD.245.3UM.00NN-C26.01.0000.000;GASC CX 031.2D/27-ANX_.E_PC;2837;A;2;1;2453;Axial;5,029;3,986;18,98;3462;1390;17;VT03159U;0,271;0,55;D;46,21;67,83;3,2;;230V 1~ - 3kW;AY7.001477;GASC2;1644;580;337;1360;552;32,3;9,52;9,52;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;60;X;;;235;;;;;;;;no;no;F;E;Powder coated;7;36;6;yes;piece;1
GASC CX 031.2/2WN/DFC4A.TNNN;GASC CX;031.2/2WN/DFC4A.TNNN;n/a;finoox;251-2LTT.246.3UN.00NN-C26.01.0000.000;GASC CX 031.2C/24-ANW_.E_PC;2490;A;2;1;2454;Axial;4,913;3,899;21,4;3131;1300;15;VT03159U;0,203;0,42;D;45,17;66,79;2,1;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;337;1360;552;27,5;9,52;9,52;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;50;W;;;203;;;;;;;;no;no;D;E;Powder coated;4;24;4;yes;piece;1
GASC CX 031.2/2XM/DFE4A.TNNN;GASC CX;031.2/2XM/DFE4A.TNNN;n/a;finoox;251-2LTP.248.3UN.00NN-C26.01.0000.000;GASC CX 031.2C/24-ALX_.E_Epoxy;2342;A;2;1;2456;Axial;3,75;3,023;21,4;1653;720;8;VT03159U;0,18;0,39;D;37,78;59,4;2,1;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;337;1360;552;27,5;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;203;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;24;4;yes;piece;1
GASC CX 020.1/21N/FDE4A.TNNN;GASC CX;020.1/21N/FDE4A.TNNN;n/a;finoox;251-1CL4.0YE.3UJ.00NN-C26.01.0000.000;GASC CX 020.1B/24-AN1_.E_Epoxy;1452;A;2;1;1102;Axial;2,298;1,877;12,59;952;2000;7;VT03033U;0,069;0,26;C;47,83;69,13;1,3;;230V 1~ - 1kW;AY7.004216;GASC2;1084;580;234;800;552;16,8;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;180;;;;;;;;no;no;F;E;Epoxy coated aluminum;4;24;6;yes;piece;1
GASC CX 020.1/31N/FDE4A.TNNN;GASC CX;020.1/31N/FDE4A.TNNN;n/a;finoox;251-1CN8.0YE.3UJ.00NN-C26.01.0000.000;GASC CX 020.1B/34-AN1_.E_Epoxy;1959;A;3;1;1102;Axial;3,513;2,842;18,88;1428;2000;9;VT03033U;0,104;0,26;C;49,43;70,9;1,9;;230V 1~ - 1.6kW;AY7.004217;GASC3;1484;580;234;1200;552;23,5;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;279;;;;;;;;no;no;F;E;Epoxy coated aluminum;4;24;6;yes;piece;1
