TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE STREAMER;STREAMER;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GACC RX 030.1/11N/CHC4A.UNNN;GACC RX;030.1/11N/CHC4A.UNNN;n/a;finoox;247-1HLR.341.3US.RVN2-R23.00.0000.000;GACC RX 030.1C/14-AN1_.E_PC;1399;A;1;1;3605;Axial;1,566;1,088;1,676;1,284;1,711;1,264;1,619;1,243;1,552;1,17;1,525;1,066;6,89;1744;1760;9;VT06102;0,097;0,76;D;43,75;65,04;1,4;;230V-1~-0.97kW;BG351035-00001;gacc1;752;430;455;460;332;13,7;12;12;n/a;Inclusive;143;n/a;No;No;No;300;EC motor;5060;1;;;157;;;;;;;;no;no;C;F;Powder coated;4;24;3;yes;piece;1
GACC RX 030.1/11N/CHC4E.UNNN;GACC RX;030.1/11N/CHC4E.UNNN;n/a;finoox;247-1HLS.341.3US.RVN2-R23.00.0800.000;GACC RX 030.1C/14-EN1_.E_PC;1609;E;1;1;3605;Axial;1,566;1,088;1,676;1,284;1,711;1,264;1,619;1,243;1,552;1,17;1,525;1,066;6,89;1744;1760;9;VT06102;0,097;0,76;D;43,75;65,04;1,4;230V-1~-0.97kW;;;gacc1;752;430;455;460;332;14,4;12;12;n/a;Inclusive;143;n/a;No;Yes;No;300;EC motor;5060;1;H04BB06500470230;H01CB06400500230;;BG351035-00001.1;1;100;650;1;200;640;no;no;C;F;Powder coated;4;24;3;yes;piece;1
GACC RX 030.1/11N/DHC7A.UNNN;GACC RX;030.1/11N/DHC7A.UNNN;n/a;finoox;247-1HMP.341.3UU.RVN2-R23.00.0000.000;GACC RX 030.1D/17-AN1_.E_PC;1368;A;1;1;3605;Axial;1,542;1,052;1,677;1,273;1,685;1,236;1,617;1,229;1,564;1,17;1,514;1,039;5,49;1784;1760;9;VT06102;0,096;0,76;D;43,75;65,04;1,9;;230V-1~-0.97kW;BG351035-00001;gacc1;752;430;455;460;332;14,6;12;12;n/a;Inclusive;143;n/a;No;No;No;300;EC motor;5060;1;;;157;;;;;;;;no;no;D;F;Powder coated;7;32;4;yes;piece;1
GACC RX 030.1/31N/HHC7E.TNNN;GACC RX;030.1/31N/HHC7E.TNNN;n/a;finoox;247-1HU4.341.3V5.RZUW-R23.01.0800.000;GACC RX 030.1H/37-EN1_.E_PC;4385;E;3;1;3605;Axial;8,424;6,347;8,48;6,916;8,732;6,759;8,187;6,642;7,889;6,327;8,189;6,362;32,95;4871;1760;9;VT06102;0,306;0,76;B;48,14;69,81;10,7;400V-3~N-3.7kW;;;gacc3;1672;430;455;1380;332;49,3;16;35;n/a;Inclusive;Inclusive;n/a;No;Yes;Yes;300;EC motor;5060;1;H04BB15801250230;H01CB15601200230;;BG351035-00027.1;2;100;1580;1;200;1560;no;no;H;F;Powder coated;7;8;8;yes;piece;1
GACC RX 030.1/21N/DHC7A.TNNN;GACC RX;030.1/21N/DHC7A.TNNN;n/a;finoox;247-1HQV.341.3UV.S5NL-R23.01.0000.000;GACC RX 030.1D/27-AN1_.E_PC;2342;A;2;1;3605;Axial;3,132;2,165;3,381;2,589;3,393;2,508;3,256;2,494;3,154;2,38;3,078;2,138;10,98;3568;1760;10;VT06102;0,192;0,76;D;46,57;68,05;3,6;;230V-1~-1.71kW;BG351035-00006;gacc2;1212;430;455;920;332;24,3;16;18;n/a;Inclusive;Inclusive;n/a;No;No;Yes;300;EC motor;5060;1;;;172;;;;;;;;no;no;D;F;Powder coated;7;16;4;yes;piece;1
GACC RX 030.1/21N/HHC7E.UNNN;GACC RX;030.1/21N/HHC7E.UNNN;n/a;finoox;247-1HSJ.341.3V4.RQV5-R23.00.0800.000;GACC RX 030.1H/27-EN1_.E_PC;2764;E;2;1;3605;Axial;5,365;3,866;5,661;4,466;5,713;4,351;5,459;4,298;5,29;4,11;5,276;3,834;21,97;3247;1760;9;VT06102;0,204;0,76;C;46,57;68,05;7,1;230V-1~-2.57kW;;;gacc2;1212;430;455;920;332;34,5;16;22;n/a;Inclusive;204;n/a;No;Yes;No;300;EC motor;5060;1;H04BB11000860230;H01CB11000850230;;BG351035-00026.1;2;100;1100;1;200;1100;no;no;H;F;Powder coated;7;16;8;yes;piece;1
GACC RX 030.1/31N/FHC7A.UNNN;GACC RX;030.1/31N/FHC7A.UNNN;n/a;finoox;247-1HTK.341.3UZ.S5NR-R23.00.0000.000;GACC RX 030.1F/37-AN1_.E_PC;3420;A;3;1;3605;Axial;6,442;4,408;7,047;5,367;7,031;5,168;6,812;5,175;6,596;4,944;6,353;4,349;24,71;5101;1760;10;VT06102;0,296;0,76;C;48,14;69,81;7,8;;400V-3~N-3.7kW;BG351035-00009;gacc3;1672;430;455;1380;332;39,8;16;22;n/a;Inclusive;284;n/a;No;No;No;300;EC motor;5060;1;;;231;;;;;;;;no;no;F;F;Powder coated;7;12;6;yes;piece;1
GACC RX 040.1/1WN/DJE4A.TNNN;GACC RX;040.1/1WN/DJE4A.TNNN;n/a;finoox;247-1BC2.1H0.3V8.S5NV-R23.01.0000.000;GACC RX 040.1D/14-ANW_.E_Epoxy;2145;A;1;1;1734;Axial;4,431;3,322;4,339;3,552;4,613;3,559;4,223;3,438;3,994;3,223;4,248;3,356;16,36;3165;1310;12;VT0605;0,203;0,85;D;51,5;73,04;3,5;;230V-1~-1.78kW;BG351035-00003;gacc1;1006;560;565;680;406;26,2;16;22;Inclusive;n/a;Inclusive;172;No;No;Yes;400;AC motor;50;W;;;201;;;;;;;;no;no;D;F;Epoxy coated aluminum;4;10;4;yes;piece;1
GACC RX 040.1/2WN/FJE4A.UANN;GACC RX;040.1/2WN/FJE4A.UANN;n/a;finoox;247-1BFQ.1H0.3VE.SJ5Z-R23.00.0000.100;GACC RX 040.1F/24-ANW_.E_Epoxy;3946;A;2;1;1734;Axial;11,457;8,688;11,28;9,24;11,859;9,271;10,968;8,96;10,432;8,423;10,989;8,727;49,07;5817;1310;12;VT0605;0,415;0,85;C;54,23;76,05;10,1;;400V-3~N-4.95kW;BG351035-00011;gacc2;1686;560;565;1360;406;52,6;22;35;Inclusive;n/a;201;Inclusive;Yes;No;No;400;AC motor;50;W;;;280;;;;;;;;no;no;F;F;Epoxy coated aluminum;4;6;6;yes;piece;1
GACC RX 040.1/2WN/HJE4A.TANN;GACC RX;040.1/2WN/HJE4A.TANN;n/a;finoox;247-1BGE.1H0.3VS.SJ61-R23.01.0000.100;GACC RX 040.1H/24-ANW_.E_Epoxy;4438;A;2;1;1734;Axial;12,564;9,405;12,66;10,351;13,064;10,316;12,284;9,983;11,773;9,465;12,066;9,474;65,43;5353;1310;11;VT0605;0,42;0,85;C;54,23;76,05;13,2;;400V-3~N-6.2kW;BG351035-00012;gacc2;1686;560;565;1360;406;60,1;22;35;Inclusive;n/a;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;321;;;;;;;;no;no;H;F;Epoxy coated aluminum;4;8;8;yes;piece;1
