TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE STREAMER;STREAMER;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GACC RX 040.1/2WN/DJE4A.UANN;GACC RX;040.1/2WN/DJE4A.UANN;n/a;finoox;247-1BF8.1H0.3V9.S5NX-R23.00.0000.100;GACC RX 040.1D/24-ANW_.E_Epoxy;3507;A;2;1;1734;Axial;8,345;6,019;8,74;6,864;8,952;6,774;8,444;6,62;8,115;6,28;8,148;5,874;32,72;6331;1310;13;VT0605;0,405;0,85;D;54,23;76,05;6,7;;400V-3~N-3.7kW;BG351035-00010;gacc2;1686;560;565;1360;406;44,4;16;28;Inclusive;n/a;201;Inclusive;Yes;No;No;400;AC motor;50;W;;;239;;;;;;;;no;no;D;F;Epoxy coated aluminum;4;8;4;yes;piece;1
GACC RX 040.1/2WN/DJE4E.UANN;GACC RX;040.1/2WN/DJE4E.UANN;n/a;finoox;247-1BF9.1H0.3V9.S5NX-R23.00.0800.100;GACC RX 040.1D/24-ENW_.E_Epoxy;3829;E;2;1;1734;Axial;8,345;6,019;8,74;6,864;8,952;6,774;8,444;6,62;8,115;6,28;8,148;5,874;32,72;6331;1310;13;VT0605;0,405;0,85;D;54,23;76,05;6,7;400V-3~N-3.7kW;;;gacc2;1686;560;565;1360;406;47,4;16;28;Inclusive;n/a;201;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00010.1;2;100;1580;1;200;1560;no;no;D;F;Epoxy coated aluminum;4;8;4;yes;piece;1
GACC RX 040.1/2WN/FJE4E.TNNN;GACC RX;040.1/2WN/FJE4E.TNNN;n/a;finoox;247-1BFR.1H0.3VE.SJ5Z-R23.01.0800.000;GACC RX 040.1F/24-ENW_.E_Epoxy;4187;E;2;1;1734;Axial;11,457;8,688;11,28;9,24;11,859;9,271;10,968;8,96;10,432;8,423;10,989;8,727;49,07;5817;1310;12;VT0605;0,415;0,85;C;54,23;76,05;10,1;400V-3~N-4.95kW;;;gacc2;1686;560;565;1360;406;56,6;22;35;Inclusive;n/a;Inclusive;344;No;Yes;Yes;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00011.1;3;100;1580;1;200;1560;no;no;F;F;Epoxy coated aluminum;4;6;6;yes;piece;1
GACC RX 040.1/1WN/HJE7A.UNNN;GACC RX;040.1/1WN/HJE7A.UNNN;n/a;finoox;247-1BCQ.1H0.3VM.RZTF-R23.00.0000.000;GACC RX 040.1H/17-ANW_.E_Epoxy;2242;A;1;1;1734;Axial;5,526;4,156;5,577;4,531;5,733;4,426;5,391;4,36;5,188;4,154;5,384;4,158;19,58;3062;1310;12;VT0605;0,205;0,85;C;51,5;73,04;6,9;;230V-1~-2.86kW;BG351035-00005;gacc1;1006;560;565;680;406;33,8;16;28;Inclusive;n/a;138;172;No;No;No;400;AC motor;50;W;;;260;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;16;8;yes;piece;1
GACC RX 040.1/1WN/HJE7E.TANN;GACC RX;040.1/1WN/HJE7E.TANN;n/a;finoox;247-1BCR.1H0.3VM.RZTF-R23.01.0800.100;GACC RX 040.1H/17-ENW_.E_Epoxy;2934;E;1;1;1734;Axial;5,526;4,156;5,577;4,531;5,733;4,426;5,391;4,36;5,188;4,154;5,384;4,158;19,58;3062;1310;12;VT0605;0,205;0,85;C;51,5;73,04;6,9;230V-1~-2.86kW;;;gacc1;1006;560;565;680;406;36,7;16;28;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB08800540230;H01CB08800700230;;BG351035-00005.1;4;100;880;1;200;880;no;no;H;F;Epoxy coated aluminum;7;16;8;yes;piece;1
GACC RX 040.1/1WN/HJE7E.TNNN;GACC RX;040.1/1WN/HJE7E.TNNN;n/a;finoox;247-1BCR.1H0.3VM.RZTF-R23.01.0800.000;GACC RX 040.1H/17-ENW_.E_Epoxy;2762;E;1;1;1734;Axial;5,526;4,156;5,577;4,531;5,733;4,426;5,391;4,36;5,188;4,154;5,384;4,158;19,58;3062;1310;12;VT0605;0,205;0,85;C;51,5;73,04;6,9;230V-1~-2.86kW;;;gacc1;1006;560;565;680;406;36,7;16;28;Inclusive;n/a;Inclusive;172;No;Yes;Yes;400;AC motor;50;W;H04BB08800540230;H01CB08800700230;;BG351035-00005.1;4;100;880;1;200;880;no;no;H;F;Epoxy coated aluminum;7;16;8;yes;piece;1
GACC RX 040.1/4WN/FJE7A.TANN;GACC RX;040.1/4WN/FJE7A.TANN;n/a;finoox;247-1BK2.1H0.3VF.SJ7P-R23.01.0000.100;GACC RX 040.1F/47-ANW_.E_Epoxy;6453;A;4;1;1734;Axial;18,158;13,61;18,414;14,852;18,929;14,604;17,764;14,284;17,082;13,612;17,736;13,697;58,74;12859;1310;16;VT0605;0,806;0,85;C;56,74;79,06;19,5;;400V-3~N-9.1kW;BG351035-00019;gacc4a;3046;560;565;680;406;94,5;22;42;Inclusive;n/a;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;458;;;;;;;;no;no;F;F;Epoxy coated aluminum;7;4;6;yes;piece;1
GACC RX 040.1/4WN/FJE7E.TANN;GACC RX;040.1/4WN/FJE7E.TANN;n/a;finoox;247-1BK3.1H0.3VF.SJ7P-R23.01.0800.100;GACC RX 040.1F/47-ENW_.E_Epoxy;6938;E;4;1;1734;Axial;18,158;13,61;18,414;14,852;18,929;14,604;17,764;14,284;17,082;13,612;17,736;13,697;58,74;12859;1310;16;VT0605;0,806;0,85;C;56,74;79,06;19,5;400V-3~N-9.1kW;;;gacc4a;3046;560;565;680;406;101,5;22;42;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB29002300230;H01CB29202200230;;BG351035-00019.1;3;100;2900;1;200;2920;no;no;F;F;Epoxy coated aluminum;7;4;6;yes;piece;1
GACC RX 040.1/4WN/FJE7E.TNNN;GACC RX;040.1/4WN/FJE7E.TNNN;n/a;finoox;247-1BK3.1H0.3VF.SJ7P-R23.01.0800.000;GACC RX 040.1F/47-ENW_.E_Epoxy;6250;E;4;1;1734;Axial;18,158;13,61;18,414;14,852;18,929;14,604;17,764;14,284;17,082;13,612;17,736;13,697;58,74;12859;1310;16;VT0605;0,806;0,85;C;56,74;79,06;19,5;400V-3~N-9.1kW;;;gacc4a;3046;560;565;680;406;101,5;22;42;Inclusive;n/a;Inclusive;688;No;Yes;Yes;400;AC motor;50;W;H04BB29002300230;H01CB29202200230;;BG351035-00019.1;3;100;2900;1;200;2920;no;no;F;F;Epoxy coated aluminum;7;4;6;yes;piece;1
GACC RX 040.1/4WN/HJE7A.TANN;GACC RX;040.1/4WN/HJE7A.TANN;n/a;finoox;247-1BKE.1H0.3VU.SJ9D-R23.01.0000.100;GACC RX 040.1H/47-ANW_.E_Epoxy;7302;A;4;1;1734;Axial;22,218;16,808;22,36;18,222;22,987;17,802;21,613;17,523;20,819;16,705;21,651;16,863;78,31;12250;1310;15;VT0605;0,82;0,85;C;56,74;79,06;25,7;;400V-3~N-11.4kW;BG351035-00020;gacc4a;3046;560;565;680;406;109,3;22;42;Inclusive;n/a;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;525;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;4;8;yes;piece;1
GACC RX 040.1/4WN/HJE7A.TNNN;GACC RX;040.1/4WN/HJE7A.TNNN;n/a;finoox;247-1BKE.1H0.3VU.SJ9D-R23.01.0000.000;GACC RX 040.1H/47-ANW_.E_Epoxy;6614;A;4;1;1734;Axial;22,218;16,808;22,36;18,222;22,987;17,802;21,613;17,523;20,819;16,705;21,651;16,863;78,31;12250;1310;15;VT0605;0,82;0,85;C;56,74;79,06;25,7;;400V-3~N-11.4kW;BG351035-00020;gacc4a;3046;560;565;680;406;109,3;22;42;Inclusive;n/a;Inclusive;688;No;No;Yes;400;AC motor;50;W;;;525;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;4;8;yes;piece;1
GACC RX 040.1/4WN/HJE7A.UNNN;GACC RX;040.1/4WN/HJE7A.UNNN;n/a;finoox;247-1BKE.1H0.3VU.SJ9D-R23.00.0000.000;GACC RX 040.1H/47-ANW_.E_Epoxy;6234;A;4;1;1734;Axial;22,218;16,808;22,36;18,222;22,987;17,802;21,613;17,523;20,819;16,705;21,651;16,863;78,31;12250;1310;15;VT0605;0,82;0,85;C;56,74;79,06;25,7;;400V-3~N-11.4kW;BG351035-00020;gacc4a;3046;560;565;680;406;109,3;22;42;Inclusive;n/a;380;688;No;No;No;400;AC motor;50;W;;;525;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;4;8;yes;piece;1
GACC RX 040.1/2WN/HJE7A.UNNN;GACC RX;040.1/2WN/HJE7A.UNNN;n/a;finoox;247-1BGG.1H0.3VS.SJ5R-R23.00.0000.000;GACC RX 040.1H/27-ANW_.E_Epoxy;3264;A;2;1;1734;Axial;11,09;8,368;11,172;9,095;11,485;8,885;10,798;8,747;10,393;8,338;10,806;8,393;39,16;6125;1310;13;VT0605;0,41;0,85;C;54,23;76,05;13,2;;400V-3~N-6.2kW;BG351035-00012;gacc2;1686;560;565;1360;406;59,3;22;35;Inclusive;n/a;201;344;No;No;No;400;AC motor;50;W;;;321;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;8;8;yes;piece;1
GACC RX 040.1/2WN/FJA7A.UNNN;GACC RX;040.1/2WN/FJA7A.UNNN;n/a;finoox;247-1BFN.1H0.3VD.S5NY-R23.00.0000.000;GACC RX 040.1F/27-ANW_.E;2732;A;2;1;1734;Axial;8,884;6,403;9,319;7,357;9,427;7,165;9,006;7,064;8,719;6,761;8,726;6,36;29,37;6429;1310;13;VT0605;0,403;0,85;C;54,23;76,05;9,8;;400V-3~N-4.95kW;BG351035-00011;gacc2;1686;560;565;1360;406;51,3;16;28;n/a;n/a;201;344;No;No;No;400;AC motor;50;W;;;280;;;;;;;;no;no;F;F;Aluminum;7;10;6;yes;piece;1
GACC RX 040.1/4WN/FJA7A.UANN;GACC RX;040.1/4WN/FJA7A.UANN;n/a;finoox;247-1BK0.1H0.3VF.SJ7P-R23.00.0000.100;GACC RX 040.1F/47-ANW_.E;5524;A;4;1;1734;Axial;18,3;13,718;18,615;14,981;19,088;14,748;17,934;14,418;17,326;13,755;17,906;13,805;58,74;12859;1310;16;VT0605;0,806;0,85;C;56,74;79,06;19,5;;400V-3~N-9.1kW;BG351035-00019;gacc4a;3046;560;565;680;406;94,5;22;42;n/a;n/a;380;Inclusive;Yes;No;No;400;AC motor;50;W;;;458;;;;;;;;no;no;F;F;Aluminum;7;4;6;yes;piece;1
GACC RX 040.1/4WN/FJA7E.TANN;GACC RX;040.1/4WN/FJA7E.TANN;n/a;finoox;247-1BK1.1H0.3VF.SJ7P-R23.01.0800.100;GACC RX 040.1F/47-ENW_.E;6386;E;4;1;1734;Axial;18,3;13,718;18,615;14,981;19,088;14,748;17,934;14,418;17,326;13,755;17,906;13,805;58,74;12859;1310;16;VT0605;0,806;0,85;C;56,74;79,06;19,5;400V-3~N-9.1kW;;;gacc4a;3046;560;565;680;406;101,5;22;42;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB29002300230;H01CB29202200230;;BG351035-00019.1;3;100;2900;1;200;2920;no;no;F;F;Aluminum;7;4;6;yes;piece;1
GACC RX 040.1/4WN/HJA7E.TNNN;GACC RX;040.1/4WN/HJA7E.TNNN;n/a;finoox;247-1BKD.1H0.3VU.SJ9D-R23.01.0800.000;GACC RX 040.1H/47-ENW_.E;6547;E;4;1;1734;Axial;22,376;16,935;22,576;18,369;23,172;17,943;21,798;17,668;21,016;16,861;21,833;16,991;78,31;12250;1310;15;VT0605;0,82;0,85;C;56,74;79,06;25,7;400V-3~N-11.4kW;;;gacc4a;3046;560;565;680;406;117,8;22;42;n/a;n/a;Inclusive;688;No;Yes;Yes;400;AC motor;50;W;H04BB29002300230;H01CB29202200230;;BG351035-00020.1;4;100;2900;1;200;2920;no;no;H;F;Aluminum;7;4;8;yes;piece;1
GACC RX 040.1/4WN/HJA7E.UNNN;GACC RX;040.1/4WN/HJA7E.UNNN;n/a;finoox;247-1BKD.1H0.3VU.SJ9D-R23.00.0800.000;GACC RX 040.1H/47-ENW_.E;6167;E;4;1;1734;Axial;22,376;16,935;22,576;18,369;23,172;17,943;21,798;17,668;21,016;16,861;21,833;16,991;78,31;12250;1310;15;VT0605;0,82;0,85;C;56,74;79,06;25,7;400V-3~N-11.4kW;;;gacc4a;3046;560;565;680;406;117,8;22;42;n/a;n/a;380;688;No;Yes;No;400;AC motor;50;W;H04BB29002300230;H01CB29202200230;;BG351035-00020.1;4;100;2900;1;200;2920;no;no;H;F;Aluminum;7;4;8;yes;piece;1
GACC RX 040.1/3WN/FJA7E.TANN;GACC RX;040.1/3WN/FJA7E.TANN;n/a;finoox;247-1BJ5.1H0.3VE.SJ5H-R23.01.0800.100;GACC RX 040.1F/37-ENW_.E;4934;E;3;1;1734;Axial;13,535;9,879;13,981;11,17;14,231;10,958;13,498;10,715;13,031;10,237;13,288;9,971;44,05;9644;1310;15;VT0605;0,604;0,85;C;55,73;77,81;14,6;400V-3~N-6.5kW;;;gacc3a;2366;560;565;680;406;77,6;22;35;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB22301600230;H01CB22401700230;;BG351035-00017.1;3;100;2230;1;200;2240;no;no;F;F;Aluminum;7;6;6;yes;piece;1
GACC RX 040.1/3WN/HJA7E.UANN;GACC RX;040.1/3WN/HJA7E.UANN;n/a;finoox;247-1BJP.1H0.3VS.SJ5H-R23.00.0800.100;GACC RX 040.1H/37-ENW_.E;5188;E;3;1;1734;Axial;15,803;11,149;16,989;13,218;16,984;12,753;16,384;12,713;15,92;12,176;15,598;11,025;58,74;9187;1310;14;VT0605;0,615;0,85;C;55,73;77,81;19,2;400V-3~N-8.1kW;;;gacc3a;2366;560;565;680;406;89,5;22;35;n/a;n/a;279;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB22301600230;H01CB22401700230;;BG351035-00018.1;4;100;2230;1;200;2240;no;no;H;F;Aluminum;7;8;8;yes;piece;1
GACC RX 040.1/3WN/HJA7E.UNNN;GACC RX;040.1/3WN/HJA7E.UNNN;n/a;finoox;247-1BJP.1H0.3VS.SJ5H-R23.00.0800.000;GACC RX 040.1H/37-ENW_.E;4672;E;3;1;1734;Axial;15,803;11,149;16,989;13,218;16,984;12,753;16,384;12,713;15,92;12,176;15,598;11,025;58,74;9187;1310;14;VT0605;0,615;0,85;C;55,73;77,81;19,2;400V-3~N-8.1kW;;;gacc3a;2366;560;565;680;406;89,5;22;35;n/a;n/a;279;516;No;Yes;No;400;AC motor;50;W;H04BB22301600230;H01CB22401700230;;BG351035-00018.1;4;100;2230;1;200;2240;no;no;H;F;Aluminum;7;8;8;yes;piece;1
GACC RX 040.1/1WN/DJA4E.UNNN;GACC RX;040.1/1WN/DJA4E.UNNN;n/a;finoox;247-1BC1.1H0.3V8.S5NV-R23.00.0800.000;GACC RX 040.1D/14-ENW_.E;1987;E;1;1;1734;Axial;4,51;3,377;4,422;3,615;4,678;3,623;4,299;3,497;4,074;3,283;4,321;3,416;16,36;3165;1310;12;VT0605;0,203;0,85;D;51,5;73,04;3,5;230V-1~-1.78kW;;;gacc1;1006;560;565;680;406;28,1;16;22;n/a;n/a;138;172;No;Yes;No;400;AC motor;50;W;H04BB08800540230;H01CB08800700230;;BG351035-00003.1;2;100;880;1;200;880;no;no;D;F;Aluminum;4;10;4;yes;piece;1
GACC RX 040.1/2WN/FJA4E.UNNN;GACC RX;040.1/2WN/FJA4E.UNNN;n/a;finoox;247-1BFM.1H0.3VE.SJ5Z-R23.00.0800.000;GACC RX 040.1F/24-ENW_.E;3482;E;2;1;1734;Axial;11,599;8,808;11,466;9,38;12,018;9,407;11,128;9,073;10,608;8,556;11,154;8,846;49,07;5817;1310;12;VT0605;0,415;0,85;C;54,23;76,05;10,1;400V-3~N-4.95kW;;;gacc2;1686;560;565;1360;406;56,6;22;35;n/a;n/a;201;344;No;Yes;No;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00011.1;3;100;1580;1;200;1560;no;no;F;F;Aluminum;4;6;6;yes;piece;1
GACC RX 040.1/3WN/FJA4E.UANN;GACC RX;040.1/3WN/FJA4E.UANN;n/a;finoox;247-1BJ3.1H0.3VE.SJ60-R23.00.0800.100;GACC RX 040.1F/34-ENW_.E;5039;E;3;1;1734;Axial;16,421;11,87;17,304;13,658;17,584;13,368;16,736;13,176;16,109;12,516;16,087;11,673;73,61;8726;1310;13;VT0605;0,623;0,85;C;55,73;77,81;14,6;400V-3~N-6.5kW;;;gacc3a;2366;560;565;680;406;78,4;22;35;n/a;n/a;279;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB22301600230;H01CB22401700230;;BG351035-00017.1;3;100;2230;1;200;2240;no;no;F;F;Aluminum;4;6;6;yes;piece;1
GACC RX 040.1/2WN/FJC4A.UANN;GACC RX;040.1/2WN/FJC4A.UANN;n/a;finoox;247-1BFU.1H0.3VE.SJ5Z-R23.00.0000.100;GACC RX 040.1F/24-ANW_.E_PC;4196;A;2;1;1734;Axial;10,358;7,865;10,21;8,356;10,746;8,412;9,887;8,094;9,442;7,61;9,94;7,898;50,96;5817;1310;12;VT0605;0,415;0,85;D;54,23;76,05;10,1;;400V-3~N-4.95kW;BG351035-00011;gacc2;1686;560;565;1360;406;52,6;22;35;n/a;Inclusive;201;Inclusive;Yes;No;No;400;AC motor;50;W;;;280;;;;;;;;no;no;F;F;Powder coated;4;6;6;yes;piece;1
GACC RX 040.1/2WN/FJC4E.UANN;GACC RX;040.1/2WN/FJC4E.UANN;n/a;finoox;247-1BFV.1H0.3VE.SJ5Z-R23.00.0800.100;GACC RX 040.1F/24-ENW_.E_PC;4581;E;2;1;1734;Axial;10,358;7,865;10,21;8,356;10,746;8,412;9,887;8,094;9,442;7,61;9,94;7,898;50,96;5817;1310;12;VT0605;0,415;0,85;D;54,23;76,05;10,1;400V-3~N-4.95kW;;;gacc2;1686;560;565;1360;406;56,6;22;35;n/a;Inclusive;201;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00011.1;3;100;1580;1;200;1560;no;no;F;F;Powder coated;4;6;6;yes;piece;1
GACC RX 040.1/2WN/HJC4E.TANN;GACC RX;040.1/2WN/HJC4E.TANN;n/a;finoox;247-1BGK.1H0.3VS.SJ61-R23.01.0800.100;GACC RX 040.1H/24-ENW_.E_PC;5184;E;2;1;1734;Axial;11,307;8,571;11,42;9,337;11,853;9,311;11,083;9,001;10,621;8,525;10,961;8,468;67,94;5353;1310;11;VT0605;0,42;0,85;C;54,23;76,05;13,2;400V-3~N-6.2kW;;;gacc2;1686;560;565;1360;406;65;22;35;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00012.1;4;100;1580;1;200;1560;no;no;H;F;Powder coated;4;8;8;yes;piece;1
GACC RX 040.1/1WN/HJC7E.UANN;GACC RX;040.1/1WN/HJC7E.UANN;n/a;finoox;247-1BCT.1H0.3VM.RZTF-R23.00.0800.100;GACC RX 040.1H/17-ENW_.E_PC;2899;E;1;1;1734;Axial;5,227;3,925;5,275;4,288;5,428;4,193;5,091;4,123;4,907;3,927;5,084;3,928;20,3;3062;1310;12;VT0605;0,205;0,85;C;51,5;73,04;6,9;230V-1~-2.86kW;;;gacc1;1006;560;565;680;406;36,7;16;28;n/a;Inclusive;138;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB08800540230;H01CB08800700230;;BG351035-00005.1;4;100;880;1;200;880;no;no;H;F;Powder coated;7;16;8;yes;piece;1
GACC RX 040.1/1WN/FJC7E.UNNN;GACC RX;040.1/1WN/FJC7E.UNNN;n/a;finoox;247-1BCF.1H0.3VC.S5NK-R23.00.0800.000;GACC RX 040.1F/17-ENW_.E_PC;2490;E;1;1;1734;Axial;4,379;3,309;4,367;3,588;4,41;3,466;4,232;3,449;4,059;3,284;4,285;3,346;15,22;3215;1310;12;VT0605;0,201;0,85;C;51,5;73,04;5,3;230V-1~-2.32kW;;;gacc1;1006;560;565;680;406;32,4;16;28;n/a;Inclusive;138;172;No;Yes;No;400;AC motor;50;W;H04BB08800540230;H01CB08800700230;;BG351035-00004.1;3;100;880;1;200;880;no;no;F;F;Powder coated;7;12;6;yes;piece;1
GACC RX 040.1/2WN/FJC7E.TANN;GACC RX;040.1/2WN/FJC7E.TANN;n/a;finoox;247-1BFX.1H0.3VD.S5NY-R23.01.0800.100;GACC RX 040.1F/27-ENW_.E_PC;4118;E;2;1;1734;Axial;8,339;6,006;8,751;6,91;8,86;6,733;8,461;6,635;8,181;6,342;8,184;5,959;30,45;6429;1310;13;VT0605;0,403;0,85;C;54,23;76,05;9,8;400V-3~N-4.95kW;;;gacc2;1686;560;565;1360;406;55,3;16;28;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00011.1;3;100;1580;1;200;1560;no;no;F;F;Powder coated;7;10;6;yes;piece;1
GACC RX 040.1/3WN/HJC7E.TANN;GACC RX;040.1/3WN/HJC7E.TANN;n/a;finoox;247-1BJT.1H0.3VS.SJ5H-R23.01.0800.100;GACC RX 040.1H/37-ENW_.E_PC;6182;E;3;1;1734;Axial;14,814;10,448;15,944;12,394;15,941;11,964;15,371;11,929;14,921;11,424;14,623;10,324;60,89;9187;1310;14;VT0605;0,615;0,85;C;55,73;77,81;19,2;400V-3~N-8.1kW;;;gacc3a;2366;560;565;680;406;89,5;22;35;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB22301600230;H01CB22401700230;;BG351035-00018.1;4;100;2230;1;200;2240;no;no;H;F;Powder coated;7;8;8;yes;piece;1
GACC RX 040.1/3WN/HJC7E.UNNN;GACC RX;040.1/3WN/HJC7E.UNNN;n/a;finoox;247-1BJT.1H0.3VS.SJ5H-R23.00.0800.000;GACC RX 040.1H/37-ENW_.E_PC;5387;E;3;1;1734;Axial;14,814;10,448;15,944;12,394;15,941;11,964;15,371;11,929;14,921;11,424;14,623;10,324;60,89;9187;1310;14;VT0605;0,615;0,85;C;55,73;77,81;19,2;400V-3~N-8.1kW;;;gacc3a;2366;560;565;680;406;89,5;22;35;n/a;Inclusive;279;516;No;Yes;No;400;AC motor;50;W;H04BB22301600230;H01CB22401700230;;BG351035-00018.1;4;100;2230;1;200;2240;no;no;H;F;Powder coated;7;8;8;yes;piece;1
GACC RX 040.1/2WN/HJC7E.UANN;GACC RX;040.1/2WN/HJC7E.UANN;n/a;finoox;247-1BGM.1H0.3VS.SJ5R-R23.00.0800.100;GACC RX 040.1H/27-ENW_.E_PC;4219;E;2;1;1734;Axial;10,487;7,926;10,566;8,607;10,873;8,417;10,203;8,274;9,83;7,883;10,211;7,93;40,59;6125;1310;13;VT0605;0,41;0,85;C;54,23;76,05;13,2;400V-3~N-6.2kW;;;gacc2;1686;560;565;1360;406;64,2;22;35;n/a;Inclusive;201;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00012.1;4;100;1580;1;200;1560;no;no;H;F;Powder coated;7;8;8;yes;piece;1
GACC RX 020.1/1XN/CFA4A.TNNN;GACC RX;020.1/1XN/CFA4A.TNNN;n/a;finoox;247-1HDM.0C9.3YN.00NN-R23.01.0000.000;GACC-RX-020.1-C/1-4.0-ANX-CC-E32C-417;1044;A;1;1;417;Axial;0,939;0,653;0,952;0,769;1,093;0,85;1,003;0,826;0,947;0,762;0,896;0,663;4,13;751;2550;5;VT0337U;0,085;0,38;E;42,38;63,51;0,5;;230V-1~-0.7kW;AY7.004785;gacc1;642;393;353;350;299;9,5;9,52;9,52;n/a;n/a;Inclusive;n/a;No;No;Yes;200;AC motor;60;X;;;109;;;;;;;;no;no;C;E;Aluminum;4;18;3;yes;piece;1
GACC RX 020.1/1XN/CFA4A.UNNN;GACC RX;020.1/1XN/CFA4A.UNNN;n/a;finoox;247-1HDM.0C9.3YN.00NN-R23.00.0000.000;GACC-RX-020.1-C/1-4.0-ANX-CC-E32C-417;1044;A;1;1;417;Axial;0,939;0,653;0,952;0,769;1,093;0,85;1,003;0,826;0,947;0,762;0,896;0,663;4,13;751;2550;5;VT0337U;0,085;0,38;E;42,38;63,51;0,5;;230V-1~-0.7kW;AY7.004785;gacc1;642;393;353;350;299;9,5;9,52;9,52;n/a;n/a;0;n/a;No;No;No;200;AC motor;60;X;;;109;;;;;;;;no;no;C;E;Aluminum;4;18;3;yes;piece;1
GACC RX 020.1/1XN/FFA4E.UNNN;GACC RX;020.1/1XN/FFA4E.UNNN;n/a;finoox;247-1HFS.0C9.3UL.SCWC-R23.00.0800.000;E-GACC-RX-020.1-F/1-4.0-ANX-CC-E32C-417;1394;E;1;1;417;Axial;1,48;1,069;1,491;1,243;1,674;1,309;1,542;1,295;1,456;1,207;1,432;1,088;8,26;705;2550;5;VT0337U;0,085;0,38;D;42,38;63,51;1,1;230V-1~-1.0kW;;;gacc1;642;393;353;350;299;15,5;16;16;n/a;n/a;0;n/a;No;Yes;No;200;AC motor;60;X;H04BB05400330230;H04CB05100350230;;AY7.004791.1;2;100;540;1;200;510;no;no;F;E;Aluminum;4;18;6;yes;piece;1
