TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (CO2 SC2);DX Evap (CO2 SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE CONDENSATE PUMP;HEATING;JUNCTION_BOX;CONDENSATE_PUMP;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GADC CX 035.2/3XN/HDC7A.TNPN;GADC CX;035.2/3XN/HDC7A.TNPN;n/a;finoox;203-1AUS.2PW.1H5.RL2H-C26.01.0000.010;GADC CX 035.2-08_3-07-A0X-CC-E80AR-3124_PC;7853;A;3;1;3124;Axial;12,235;9,922;50,62;6795;1470;16;VT03207;0,63;0,93;D;58,22;80,28;8,6;;400V 3~N+PE - 7,7kW;AY7.002386;DualCompact_3_08_1_o;2456;1026;268;;963;104,6;16;22,23;n/a;Inclusive;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;60;X;;;633;;;;;;;;no;no;C;E;Powder coated;7;16;8;yes;piece;1
GADC CX 035.2/2XL/DEE7E.TNNN;GADC CX;035.2/2XL/DEE7E.TNNN;n/a;finoox;203-1AKP.2PZ.1HA.RJVT-C26.01.0800.000;GADC CX 035.2-04_2-07-E0X-CL-E80AR-3127_Epoxy;4478;E;2;1;3127;Axial;5,197;4,203;21,09;3703;930;10;VT03208;0,166;0,39;B;49,68;71,52;3,6;230/400V+N+PE - 4,0kW;;;DualCompact_2_04_1_o;1776;1026;318;1296;963;71,1;16;16;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;60;X;H16GI16080550230;H01HC16100850230;;AY7.002369;4;0;1608;2;150;1610;no;no;L;E;Epoxy coated aluminum;7;20;4;yes;piece;1
GADC CX 035.2/4WN/DEA7A.TNNN;GADC CX;035.2/4WN/DEA7A.TNNN;n/a;finoox;203-1AEW.2PV.1H4.RL2L-C26.01.0000.000;GADC CX 035.2-04_4-07-A0W-CL-E80AR-3123_Alu;7253;A;4;1;3123;Axial;12,542;10,098;42,18;9718;1340;18;VT03207;0,607;0,73;C;58,19;80,53;7,3;;400V 3~N+PE - 7,5kW;AY7.002383;DualCompact_4_08_1_o;3136;1026;318;;963;123,4;16;22,23;n/a;n/a;Inclusive;241;No;Yes;No;350;AC motor;50;W;;;593;;;;;;;;no;no;L;E;Aluminum;7;10;4;yes;piece;1
GADC CX 035.1/11M/HEE7E.TNPN;GADC CX;035.1/11M/HEE7E.TNPN;n/a;finoox;203-1AHP.2HG.1HT.RJVC-C26.01.0800.010;GADC CX 035.1-08_1-07-EE21-CL-E80AR-2906_Epoxy;4396;E;1;1;2906;Axial;4,591;3,745;21,09;2238;1310;8;VT03192U.1;0,108;0,98;A;41,82;63,39;3,7;230/400V+N+PE - 3,3kW;;;DualCompact_1_04_1_o;1096;1026;318;616;963;53;16;16;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI09280275230;H01HC09300500230;;AY7.002376;8;0;928;2;150;930;no;no;L;E;Epoxy coated aluminum;7;40;8;yes;piece;1
GADC CX 035.2/4XE/HEE7E.TNNN;GADC CX;035.2/4XE/HEE7E.TNNN;n/a;finoox;203-1AQ1.2Q0.1HU.RL2L-C26.01.0800.000;GADC CX 035.2-08_4-07-E0X-CL-E80AR-3128_Epoxy;9587;E;4;1;3128;Axial;10,767;8,843;84,37;4369;515;8;VT03208;0,2;0,23;A;41,19;63,53;14,1;(2x) 400V 3~N+PE - 11,8kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;162,4;16;22,23;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;60;X;H16GI29681100230;H01HC29401500230;;AY7.002379;8;0;2968;2;150;2940;no;no;L;E;Epoxy coated aluminum;7;20;8;yes;piece;1
GADC CX 035.2/4WN/FDA7E.TNNN;GADC CX;035.2/4WN/FDA7E.TNNN;n/a;finoox;203-1ADX.2PV.1HH.RL2G-C26.01.0800.000;GADC CX 035.2-06_4-07-E0W-CC-E80AR-3123_Alu;7920;E;4;1;3123;Axial;14,173;11,439;50,62;8598;1340;18;VT03207;0,634;0,73;C;58,23;80,53;8,6;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;131,5;16;22,23;n/a;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;50;W;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Aluminum;7;12;6;yes;piece;1
GADC CX 035.1/11M/DDC7E.TNNN;GADC CX;035.1/11M/DDC7E.TNNN;n/a;finoox;203-1AQT.2HG.1JL.00NN-C26.01.0800.000;GADC CX 035.1-04_1-07-EE21-CC-E80AR-2906_PC;4125;E;1;1;2906;Axial;2,447;1,974;8,44;2179;1310;9;VT03192U.1;0,109;0,98;C;41,44;62,96;1,5;230V 1~N+PE - 2,2kW;;;DualCompact_1_04_1_o;1096;1026;268;616;963;38,2;9,52;9,52;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI09280275230;H01HC09300500230;;AY7.002368;4;0;928;2;150;930;no;no;C;E;Powder coated;7;32;4;yes;piece;1
GADC CX 035.2/3XL/HEC7A.TNNN;GADC CX;035.2/3XL/HEC7A.TNNN;n/a;finoox;203-1AVU.2PZ.1HU.RL2L-C26.01.0000.000;GADC CX 035.2-08_3-07-A0X-CL-E80AR-3127_PC;8473;A;3;1;3127;Axial;10,976;8,955;63,27;5263;930;11;VT03208;0,25;0,39;A;51,18;73,28;10,7;;(2x) 400V 3~N+PE - 9,3kW;AY7.002390;DualCompact_3_08_1_o;2456;1026;318;;963;115,8;16;22,23;n/a;Inclusive;Inclusive;241;No;Yes;No;350;AC motor;60;X;;;750;;;;;;;;no;no;L;E;Powder coated;7;20;8;yes;piece;1
GADC CX 035.1/41E/FEE4E.TNNN;GADC CX;035.1/41E/FEE4E.TNNN;n/a;finoox;203-1APF.2HK.1HD.RL2J-C26.01.0800.000;GADC CX 035.1-06_4-04-EE51-CL-E80AR-2909_Epoxy;9794;E;4;1;2909;Axial;10,253;8,456;107;3710;535;7;VT03192U.1;0,086;0,18;A+;27,91;50,25;10,7;(2x) 400V 3~N+PE - 9,7kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;139,7;16;22,23;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002375;6;0;2968;2;150;2940;no;no;L;E;Epoxy coated aluminum;4;14;6;yes;piece;1
GADC CX 035.1/41M/DDE4A.TNPN;GADC CX;035.1/41M/DDE4A.TNPN;n/a;finoox;203-1ANA.2HG.1HC.RL2K-C26.01.0000.010;GADC CX 035.1-04_4-04-AE21-CC-E80AR-2906_Epoxy;8166;A;4;1;2906;Axial;13,625;10,852;57,07;7980;1310;17;VT03192U.1;0,446;0,98;C;45,84;68,14;5,8;;400V 3~N+PE - 7,5kW;AY7.002383;DualCompact_4_08_1_o;3136;1026;268;;963;99,8;16;22,23;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;593;;;;;;;;no;no;C;E;Epoxy coated aluminum;4;8;4;yes;piece;1
