TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE CONDENSATE PUMP;HEATING;JUNCTION_BOX;CONDENSATE_PUMP;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GADC RX 035.2/4WE/FDC4A.TNNN;GADC RX;035.2/4WE/FDC4A.TNNN;n/a;finoox;203-1AVY.2PY.1H9.RJWQ-R23.01.0000.000;GADC RX 035.2-06_4-04-A0W-CC-E32AX-3126_PC;7217;A;4;1;3126;Axial;8,466;6,078;8,724;7,135;9,344;7,266;8,846;7,233;8,473;6,834;8,214;6,108;85,6;4109;585;9;VT03208;0,193;0,22;B;41,23;63,53;9,9;;400V 3~N+PE - 7,5kW;AY7.002383;DualCompact_4_08_1_o;3136;1026;268;;963;109,3;22;28;n/a;Inclusive;Inclusive;241;No;Yes;No;350;AC motor;50;W;;;593;;;;;;;;no;no;C;E;Powder coated;4;4;6;yes;piece;1
GADC RX 035.2/4XE/DEA7E.TNPN;GADC RX;035.2/4XE/DEA7E.TNPN;n/a;finoox;203-1AEK.2Q0.1HM.RJPY-R23.01.0800.010;GADC RX 035.2-04_4-07-E0X-CL-E32AX-3128_Alu;6918;E;4;1;3128;Axial;7,083;5,204;7,319;6,062;7,905;6,193;7,526;6,177;7,208;5,86;6,969;5,261;42,18;4652;515;9;VT03208;0,199;0,23;A;41,19;63,53;8,4;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;118,6;22;28;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;AC motor;60;X;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;L;E;Aluminum;7;4;4;yes;piece;1
GADC RX 035.2/3XE/DEA7E.TNPN;GADC RX;035.2/3XE/DEA7E.TNPN;n/a;finoox;203-1ACF.2Q0.1HM.RJTT-R23.01.0800.010;GADC RX 035.2-04_3-07-E0X-CL-E32AX-3128_Alu;6061;E;3;1;3128;Axial;5,332;4,088;5,518;4,662;5,964;4,763;5,685;4,728;5,419;4,531;5,322;4,174;31,64;3489;515;7;VT03208;0,149;0,23;A;40,18;62,28;6,5;400V 3~N+PE - 6,0kW;;;DualCompact_3_08_1_o;2456;1026;318;;963;92,6;22;28;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;AC motor;60;X;H16GI22880825230;H01HC22901300230;;AY7.002370;4;0;2288;2;150;2290;no;no;L;E;Aluminum;7;4;4;yes;piece;1
GADC RX 035.2/2XE/FEE7E.TNNN;GADC RX;035.2/2XE/FEE7E.TNNN;n/a;finoox;203-1AKD.2Q0.1HQ.RJW2-R23.01.0800.000;GADC RX 035.2-06_2-07-E0X-CL-E32AX-3128_Epoxy;4649;E;2;1;3128;Axial;4,348;3,133;4,561;3,71;4,846;3,737;4,632;3,741;4,459;3,558;4,274;3,147;31,64;2253;515;6;VT03208;0,1;0,23;A;38,68;60,52;6,4;400V 3~N+PE - 5,1kW;;;DualCompact_2_04_1_o;1776;1026;318;1296;963;75,1;16;22;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;60;X;H16GI16080550230;H01HC16100850230;;AY7.002373;6;0;1608;2;150;1610;no;no;L;E;Epoxy coated aluminum;7;10;6;yes;piece;1
GADC RX 035.2/2XE/HDE7A.TNPN;GADC RX;035.2/2XE/HDE7A.TNPN;n/a;finoox;203-1AJC.2Q0.1H7.RJW9-R23.01.0000.010;GADC RX 035.2-08_2-07-A0X-CC-E32AX-3128_Epoxy;4234;A;2;1;3128;Axial;4,392;3,383;4,564;3,841;4,823;3,839;4,628;3,834;4,425;3,687;4,382;3,407;33,75;1970;515;6;VT03208;0,101;0,23;A;38,72;60,52;6,8;;400V 3~N+PE - 5,1kW;AY7.002385;DualCompact_2_04_1_o;1776;1026;268;1296;963;65,4;16;28;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;60;X;;;564;;;;;;;;no;no;C;E;Epoxy coated aluminum;7;8;8;yes;piece;1
GADC RX 035.2/4XE/FDE7E.TNPN;GADC RX;035.2/4XE/FDE7E.TNPN;n/a;finoox;203-1ANK.2Q0.1H9.RJWQ-R23.01.0800.010;GADC RX 035.2-06_4-07-E0X-CC-E32AX-3128_Epoxy;7056;E;4;1;3128;Axial;7,766;5,808;8,023;6,704;8,612;6,79;8,206;6,783;7,868;6,46;7,706;5,856;50,62;4100;515;8;VT03208;0,201;0,23;A;41,23;63,53;9,9;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;117;22;28;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;AC motor;60;X;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Epoxy coated aluminum;7;4;6;yes;piece;1
GADC RX 035.2/3XE/HEE7A.TNNN;GADC RX;035.2/3XE/HEE7A.TNNN;n/a;finoox;203-1AMJ.2Q0.1JN.RJWR-R23.01.0000.000;GADC RX 035.2-08_3-07-A0X-CL-E32AX-3128_Epoxy;6130;A;3;1;3128;Axial;7,476;5,695;7,768;6,525;8,188;6,483;7,852;6,484;7,555;6,232;7,454;5,74;63,27;3277;515;7;VT03208;0,15;0,23;A;40,18;62,28;12,4;;(2x) 400V 3~N+PE - 9,3kW;AY7.002390;DualCompact_3_08_1_o;2456;1026;318;;963;104;22;28;Inclusive;n/a;Inclusive;241;No;Yes;No;350;AC motor;60;X;;;750;;;;;;;;no;no;L;E;Epoxy coated aluminum;7;6;8;yes;piece;1
GADC RX 035.2/3XE/FEC7A.TNPN;GADC RX;035.2/3XE/FEC7A.TNPN;n/a;finoox;203-1AVE.2Q0.1HR.RJTR-R23.01.0000.010;GADC RX 035.2-06_3-07-A0X-CL-E32AX-3128_PC;6926;A;3;1;3128;Axial;6,198;4,599;6,439;5,341;6,877;5,378;6,554;5,381;6,299;5,117;6,137;4,63;47,46;3380;515;7;VT03208;0,149;0,23;A;40,18;62,28;9,4;;400V 3~N+PE - 7,7kW;AY7.002386;DualCompact_3_08_1_o;2456;1026;318;;963;94,9;22;28;n/a;Inclusive;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;60;X;;;633;;;;;;;;no;no;L;E;Powder coated;7;6;6;yes;piece;1
GADC RX 035.2/3XE/DDC7A.TNNN;GADC RX;035.2/3XE/DDC7A.TNNN;n/a;finoox;203-1AUA.2Q0.1HE.RJWA-R23.01.0000.000;GADC RX 035.2-04_3-07-A0X-CC-E32AX-3128_PC;5764;A;3;1;3128;Axial;4,356;3,306;4,483;3,797;4,902;3,89;4,633;3,87;4,417;3,693;4,347;3,376;25,31;3206;515;8;VT03208;0,15;0,23;B;40,22;62,28;5,2;;400V 3~N+PE - 6,0kW;AY7.002382;DualCompact_3_08_1_o;2456;1026;268;;963;77,1;16;28;n/a;Inclusive;Inclusive;241;No;Yes;No;350;AC motor;60;X;;;552;;;;;;;;no;no;C;E;Powder coated;7;4;4;yes;piece;1
GADC RX 035.2/4XE/FDC7E.TNPN;GADC RX;035.2/4XE/FDC7E.TNPN;n/a;finoox;203-1AWB.2Q0.1H9.RJWQ-R23.01.0800.010;GADC RX 035.2-06_4-07-E0X-CC-E32AX-3128_PC;8015;E;4;1;3128;Axial;7,295;5,449;7,537;6,295;8,092;6,378;7,709;6,373;7,392;6,066;7,232;5,494;50,62;4100;515;8;VT03208;0,201;0,23;A;41,23;63,53;9,9;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;117;22;28;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;350;AC motor;60;X;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Powder coated;7;4;6;yes;piece;1
