TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE CONDENSATE PUMP;HEATING;JUNCTION_BOX;CONDENSATE_PUMP;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GADC RX 035.1/11E/DDA4A.TNNN;GADC RX;035.1/11E/DDA4A.TNNN;n/a;finoox;203-1A7N.2HK.1HB.RJVQ-R23.01.0000.000;GADC RX 035.1-04_1-04-AE51-CC-E32AX-2909_Alu;2646;A;1;1;2909;Axial;1,724;1,191;1,803;1,441;1,946;1,482;1,844;1,472;1,76;1,384;1,676;1,193;14,27;884;535;4;VT03192U.1;0,022;0,18;A+;21,61;43,14;1,7;;230V 1~N+PE - 2,2kW;AY7.002380;DualCompact_1_04_1_o;1096;1026;268;616;963;33,2;16;16;n/a;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;411;;;;;;;;no;no;C;E;Aluminum;4;16;4;yes;piece;1
GADC RX 035.1/21E/HEA4A.TNNN;GADC RX;035.1/21E/HEA4A.TNNN;n/a;finoox;203-1AAY.2HK.1HW.RJTM-R23.01.0000.000;GADC RX 035.1-08_2-04-AE51-CL-E32AX-2909_Alu;4675;A;2;1;2909;Axial;4,889;3,821;5,087;4,257;5,216;4,173;5,057;4,173;4,862;4,025;4,873;3,834;71,34;1743;535;5;VT03192U.1;0,043;0,18;A+;23,99;45,83;8,4;;400V 3~+N+PE - 6,2kW;AY7.002389;DualCompact_2_04_1_o;1776;1026;318;1296;963;71,8;16;28;n/a;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;630;;;;;;;;no;no;L;E;Aluminum;4;8;8;yes;piece;1
GADC RX 035.1/41E/HEA4E.TNPN;GADC RX;035.1/41E/HEA4E.TNPN;n/a;finoox;203-1AF7.2HK.1JK.SJ4L-R23.01.0800.010;GADC RX 035.1-08_4-04-EE51-CL-E32AX-2909_Alu;9043;E;4;1;2909;Axial;9,791;7,67;10,179;8,528;10,438;8,36;10,119;8,359;9,73;8,065;9,76;7,699;142,67;3486;535;6;VT03192U.1;0,087;0,18;A+;26,5;48,84;16,5;(2x) 400V 3~N+PE - 11,8kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;142,7;22;42;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002379;8;0;2968;2;150;2940;no;no;L;E;Aluminum;4;4;8;yes;piece;1
GADC RX 035.1/21E/FDE4A.TNNN;GADC RX;035.1/21E/FDE4A.TNNN;n/a;finoox;203-1AHS.2HK.1H8.RJT7-R23.01.0000.000;GADC RX 035.1-06_2-04-AE51-CC-E32AX-2909_Epoxy;4231;A;2;1;2909;Axial;4,055;3,131;4,191;3,521;4,406;3,52;4,235;3,504;4,039;3,368;4,042;3,158;42,8;1638;535;5;VT03192U.1;0,044;0,18;A+;22,88;44,68;5,2;;230/400V+N+PE - 4,0kW;AY7.002381;DualCompact_2_04_1_o;1776;1026;268;1296;963;57,9;16;28;Inclusive;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;500;;;;;;;;no;no;C;E;Epoxy coated aluminum;4;6;6;yes;piece;1
GADC RX 035.1/41E/FDE7E.TNNN;GADC RX;035.1/41E/FDE7E.TNNN;n/a;finoox;203-1ANK.2HK.1H9.RJWQ-R23.01.0800.000;GADC RX 035.1-06_4-07-EE51-CC-E32AX-2909_Epoxy;7726;E;4;1;2909;Axial;7,301;5,523;7,551;6,337;8,096;6,389;7,708;6,379;7,391;6,096;7,279;5,581;50,62;3754;535;8;VT03192U.1;0,086;0,18;A+;28,22;50,52;9,9;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;111,1;22;28;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Epoxy coated aluminum;7;4;6;yes;piece;1
GADC RX 035.1/41E/DEC7A.TNNN;GADC RX;035.1/41E/DEC7A.TNNN;n/a;finoox;203-1AXA.2HK.1HM.RJPY-R23.01.0000.000;GADC RX 035.1-04_4-07-AE51-CL-E32AX-2909_PC;8081;A;4;1;2909;Axial;6,212;4,612;6,414;5,34;6,952;5,437;6,583;5,429;6,305;5,156;6,144;4,665;42,18;4252;535;8;VT03192U.1;0,084;0,18;A+;30,52;52,86;8,4;;400V 3~N+PE - 7,5kW;AY7.002383;DualCompact_4_08_1_o;3136;1026;318;;963;104,1;22;28;n/a;Inclusive;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;593;;;;;;;;no;no;L;E;Powder coated;7;4;4;yes;piece;1
GADC RX 035.1/21E/DEC4A.TNNN;GADC RX;035.1/21E/DEC4A.TNNN;n/a;finoox;203-1ASW.2HK.1HL.RJW5-R23.01.0000.000;GADC RX 035.1-04_2-04-AE51-CL-E32AX-2909_PC;5230;A;2;1;2909;Axial;3,621;2,682;3,669;3,068;4,02;3,15;3,706;3,14;3,557;2,954;3,557;2,711;35,67;1968;535;5;VT03192U.1;0,043;0,18;A+;26,75;48,59;4,5;;230/400V+N+PE - 4,0kW;AY7.002381;DualCompact_2_04_1_o;1776;1026;318;1296;963;59,7;16;22;n/a;Inclusive;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;500;;;;;;;;no;no;L;E;Powder coated;4;6;4;yes;piece;1
GADC RX 035.2/1WN/FDA4A.TNPN;GADC RX;035.2/1WN/FDA4A.TNPN;n/a;finoox;203-1A7Q.2PV.1HK.RJW4-R23.01.0000.010;GADC RX 035.2-06_1-04-A0W-CC-E32AX-3123_Alu;2978;A;1;1;3123;Axial;3,727;2,771;3,699;3,186;4,216;3,337;3,891;3,304;3,668;3,057;3,701;2,824;21,4;1942;1340;8;VT03207;0,163;0,73;D;52,98;74,51;2,9;;230V 1~N+PE - 2,2kW;AY7.002380;DualCompact_1_04_1_o;1096;1026;268;616;963;39,5;16;22;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;50;W;;;411;;;;;;;;no;no;C;E;Aluminum;4;8;6;yes;piece;1
GADC RX 035.2/1WN/HEA4A.TNNN;GADC RX;035.2/1WN/HEA4A.TNNN;n/a;finoox;203-1A8U.2PV.1HV.RJWB-R23.01.0000.000;GADC RX 035.2-08_1-04-A0W-CL-E32AX-3123_Alu;3045;A;1;1;3123;Axial;4,829;3,638;4,917;4,161;5,34;4,229;5,015;4,21;4,751;3,998;4,802;3,678;35,67;2065;1340;8;VT03207;0,16;0,73;C;52,94;74,51;4,6;;230/400V+N+PE - 3,3kW;AY7.002388;DualCompact_1_04_1_o;1096;1026;318;616;963;47,5;16;28;n/a;n/a;Inclusive;241;No;Yes;No;350;AC motor;50;W;;;611;;;;;;;;no;no;L;E;Aluminum;4;10;8;yes;piece;1
GADC RX 035.2/1WN/HDA7A.TNNN;GADC RX;035.2/1WN/HDA7A.TNNN;n/a;finoox;203-1A78.2PV.1H6.RJW3-R23.01.0000.000;GADC RX 035.2-08_1-07-A0W-CC-E32AX-3123_Alu;2865;A;1;1;3123;Axial;3,737;2,825;3,834;3,242;4,186;3,31;3,965;3,298;3,794;3,144;3,723;2,885;16,87;2068;1340;9;VT03207;0,16;0,73;C;52,98;74,51;3,7;;230/400V+N+PE - 2,8kW;AY7.002384;DualCompact_1_04_1_o;1096;1026;268;616;963;41,6;16;22;n/a;n/a;Inclusive;241;No;Yes;No;350;AC motor;50;W;;;545;;;;;;;;no;no;C;E;Aluminum;7;10;8;yes;piece;1
GADC RX 035.2/3WN/HDA7E.TNPN;GADC RX;035.2/3WN/HDA7E.TNPN;n/a;finoox;203-1ABH.2PV.1H3.RJWU-R23.01.0800.010;GADC RX 035.2-08_3-07-E0W-CC-E32AX-3123_Alu;6207;E;3;1;3123;Axial;11,417;8,488;11,687;9,77;12,694;9,968;12,049;9,933;11,532;9,453;11,142;8,573;50,62;6205;1340;15;VT03207;0,481;0,73;C;57,22;79,28;10,2;400V 3~N+PE - 7,7kW;;;DualCompact_3_08_1_o;2456;1026;268;;963;104,1;22;35;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;AC motor;50;W;H16GI22880825230;H01HC22901300230;;AY7.002374;6;0;2288;2;150;2290;no;no;C;E;Aluminum;7;4;8;yes;piece;1
GADC RX 035.2/3WN/HDA7E.TNNN;GADC RX;035.2/3WN/HDA7E.TNNN;n/a;finoox;203-1ABH.2PV.1H3.RJWU-R23.01.0800.000;GADC RX 035.2-08_3-07-E0W-CC-E32AX-3123_Alu;5966;E;3;1;3123;Axial;11,417;8,488;11,687;9,77;12,694;9,968;12,049;9,933;11,532;9,453;11,142;8,573;50,62;6205;1340;15;VT03207;0,481;0,73;C;57,22;79,28;10,2;400V 3~N+PE - 7,7kW;;;DualCompact_3_08_1_o;2456;1026;268;;963;104,1;22;35;n/a;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;50;W;H16GI22880825230;H01HC22901300230;;AY7.002374;6;0;2288;2;150;2290;no;no;C;E;Aluminum;7;4;8;yes;piece;1
GADC RX 035.2/3WN/DDE4A.TNPN;GADC RX;035.2/3WN/DDE4A.TNPN;n/a;finoox;203-1AKU.2PV.1HE.RJP3-R23.01.0000.010;GADC RX 035.2-04_3-04-A0W-CC-E32AX-3123_Epoxy;4990;A;3;1;3123;Axial;8,288;5,734;8,75;6,949;9,599;7,424;9,209;7,309;8,726;6,819;8,023;5,778;42,8;6227;1340;15;VT03207;0,48;0,73;D;57,22;79,28;5,2;;400V 3~N+PE - 6,0kW;AY7.002382;DualCompact_3_08_1_o;2456;1026;268;;963;81,2;16;28;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;50;W;;;552;;;;;;;;no;no;C;E;Epoxy coated aluminum;4;4;4;yes;piece;1
GADC RX 035.2/3WN/DDE4E.TNNN;GADC RX;035.2/3WN/DDE4E.TNNN;n/a;finoox;203-1AKV.2PV.1HE.RJP3-R23.01.0800.000;GADC RX 035.2-04_3-04-E0W-CC-E32AX-3123_Epoxy;5299;E;3;1;3123;Axial;8,288;5,734;8,75;6,949;9,599;7,424;9,209;7,309;8,726;6,819;8,023;5,778;42,8;6227;1340;15;VT03207;0,48;0,73;D;57,22;79,28;5,2;400V 3~N+PE - 6,0kW;;;DualCompact_3_08_1_o;2456;1026;268;;963;88;16;28;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;50;W;H16GI22880825230;H01HC22901300230;;AY7.002370;4;0;2288;2;150;2290;no;no;C;E;Epoxy coated aluminum;4;4;4;yes;piece;1
GADC RX 035.2/3WN/DDE7A.TNPN;GADC RX;035.2/3WN/DDE7A.TNPN;n/a;finoox;203-1ALC.2PV.1HE.RJP3-R23.01.0000.010;GADC RX 035.2-04_3-07-A0W-CC-E32AX-3123_Epoxy;4949;A;3;1;3123;Axial;7,084;5,077;7,379;5,994;8,051;6,184;7,672;6,136;7,325;5,822;6,882;5,13;25,31;6714;1340;16;VT03207;0,47;0,73;D;57,22;79,28;5,2;;400V 3~N+PE - 6,0kW;AY7.002382;DualCompact_3_08_1_o;2456;1026;268;;963;80,8;16;28;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;50;W;;;552;;;;;;;;no;no;C;E;Epoxy coated aluminum;7;4;4;yes;piece;1
GADC RX 035.2/4WN/DDE7E.TNNN;GADC RX;035.2/4WN/DDE7E.TNNN;n/a;finoox;203-1ANH.2PV.1HF.RJWV-R23.01.0800.000;GADC RX 035.2-04_4-07-E0W-CC-E32AX-3123_Epoxy;6471;E;4;1;3123;Axial;9,533;7,25;9,778;8,309;10,8;8,619;10,215;8,543;9,741;8,108;9,556;7,486;33,75;8953;1340;19;VT03207;0,626;0,73;D;58,23;80,53;7;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;114,2;22;35;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;50;W;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Epoxy coated aluminum;7;2;4;yes;piece;1
GADC RX 035.2/3WN/DEC7E.TNPN;GADC RX;035.2/3WN/DEC7E.TNPN;n/a;finoox;203-1AVD.2PV.1HM.RJPY-R23.01.0800.010;GADC RX 035.2-04_3-07-E0W-CL-E32AX-3123_PC;7092;E;3;1;3123;Axial;7,828;5,654;8,084;6,632;8,868;6,865;8,267;6,809;8,04;6,456;7,604;5,731;31,64;7288;1340;16;VT03207;0,455;0,73;D;57,18;79,28;6,5;400V 3~N+PE - 6,0kW;;;DualCompact_3_08_1_o;2456;1026;318;;963;96,4;22;28;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;350;AC motor;50;W;H16GI22880825230;H01HC22901300230;;AY7.002370;4;0;2288;2;150;2290;no;no;L;E;Powder coated;7;4;4;yes;piece;1
GADC RX 035.2/2WN/DEC7E.TNPN;GADC RX;035.2/2WN/DEC7E.TNPN;n/a;finoox;203-1ATF.2PV.1HM.RJTT-R23.01.0800.010;GADC RX 035.2-04_2-07-E0W-CL-E32AX-3123_PC;5484;E;2;1;3123;Axial;5,224;3,971;5,369;4,578;5,94;4,744;5,619;4,7;5,356;4,488;5,21;4,109;21,09;4859;1340;13;VT03207;0,303;0,73;D;55,68;77,52;4,5;230/400V+N+PE - 4,0kW;;;DualCompact_2_04_1_o;1776;1026;318;1296;963;71,2;22;28;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;350;AC motor;50;W;H16GI16080550230;H01HC16100850230;;AY7.002369;4;0;1608;2;150;1610;no;no;L;E;Powder coated;7;4;4;yes;piece;1
GADC RX 035.1/31N/FEA4A.TNPN;GADC RX;035.1/31N/FEA4A.TNPN;n/a;finoox;203-1AD0.2HF.1HS.RJTP-R23.01.0000.010;GADC RX 035.1-06_3-04-AE11-CL-E32AX-2905_Alu;6674;A;3;1;2905;Axial;13,673;9,725;14,069;11,445;15,468;12,147;14,635;11,925;13,886;11,161;13,082;9,792;80,25;7388;1475;16;VT03192U.1;0,488;1,35;C;49,59;71,69;9,7;;400V 3~N+PE - 7,7kW;AY7.002386;DualCompact_3_08_1_o;2456;1026;318;;963;91,7;22;35;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;633;;;;;;;;no;no;L;E;Aluminum;4;4;6;yes;piece;1
GADC RX 035.1/21N/HDA4A.TNPN;GADC RX;035.1/21N/HDA4A.TNPN;n/a;finoox;203-1A9W.2HF.1H3.RJWV-R23.01.0000.010;GADC RX 035.1-08_2-04-AE11-CC-E32AX-2905_Alu;4724;A;2;1;2905;Axial;8,791;6,68;8,969;7,625;9,738;7,803;9,197;7,736;8,51;7,391;8,739;6,782;57,07;3971;1475;12;VT03192U.1;0,319;1,35;C;51;72,8;7,1;;400V 3~N+PE - 5,1kW;AY7.002385;DualCompact_2_04_1_o;1776;1026;268;1296;963;64,4;22;35;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;564;;;;;;;;no;no;C;E;Aluminum;4;4;8;yes;piece;1
GADC RX 035.1/31N/FDE7E.TNNN;GADC RX;035.1/31N/FDE7E.TNNN;n/a;finoox;203-1ALF.2HF.1H9.RJRV-R23.01.0800.000;GADC RX 035.1-06_3-07-EE11-CC-E32AX-2905_Epoxy;6335;E;3;1;2905;Axial;10,078;7,292;10,432;8,534;11,317;8,749;10,776;8,693;10,318;8,264;9,804;7,365;37,96;7234;1475;17;VT03192U.1;0,487;1,35;C;49,62;71,68;7,7;400V 3~N+PE - 6,0kW;;;DualCompact_3_08_1_o;2456;1026;268;;963;86,4;22;28;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI22880825230;H01HC22901300230;;AY7.002370;4;0;2288;2;150;2290;no;no;C;E;Epoxy coated aluminum;7;4;6;yes;piece;1
GADC RX 035.1/31N/FDC4A.TNPN;GADC RX;035.1/31N/FDC4A.TNPN;n/a;finoox;203-1AU0.2HF.1H9.RJRV-R23.01.0000.010;GADC RX 035.1-06_3-04-AE11-CC-E32AX-2905_PC;7037;A;3;1;2905;Axial;10,14;7,166;10,524;8,506;11,671;9,037;10,977;8,878;10,411;8,306;9,818;7,209;64,2;6418;1475;15;VT03192U.1;0,481;1,35;D;50,76;72,82;7,7;;400V 3~N+PE - 6,0kW;AY7.002382;DualCompact_3_08_1_o;2456;1026;268;;963;80,3;22;28;n/a;Inclusive;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;552;;;;;;;;no;no;C;E;Powder coated;4;4;6;yes;piece;1
GADC RX 035.1/21S/HEA4E.TNPN;GADC RX;035.1/21S/HEA4E.TNPN;n/a;finoox;203-1AAZ.2HJ.1HW.RJTQ-R23.01.0800.010;GADC RX 035.1-08_2-04-EE41-CL-E32AX-2908_Alu;5558;E;2;1;2908;Axial;5,877;4,469;6,07;5,098;6,356;5,032;6,077;5,033;5,828;4,832;5,849;4,488;71,34;2188;695;6;VT03192U.1;0,063;0,25;A+;29,14;50,98;8,4;400V 3~+N+PE - 6,2kW;;;DualCompact_2_04_1_o;1776;1026;318;1296;963;80,3;22;28;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI16080550230;H01HC16100850230;;AY7.002377;8;0;1608;2;150;1610;no;no;L;E;Aluminum;4;8;8;yes;piece;1
GADC RX 035.1/11S/FDA7A.TNPN;GADC RX;035.1/11S/FDA7A.TNPN;n/a;finoox;203-1A76.2HJ.1HH.RJVX-R23.01.0000.010;GADC RX 035.1-06_1-07-AE41-CC-E32AX-2908_Alu;3200;A;1;1;2908;Axial;2,153;1,647;2,231;1,884;2,402;1,915;2,286;1,905;2,186;1,82;2,147;1,675;12,65;1169;695;5;VT03192U.1;0,031;0,25;A+;27,66;49,19;2,8;;230V 1~N+PE - 2,2kW;AY7.002380;DualCompact_1_04_1_o;1096;1026;268;616;963;36,2;16;22;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;411;;;;;;;;no;no;C;E;Aluminum;7;12;6;yes;piece;1
GADC RX 035.1/31S/HEA7A.TNPN;GADC RX;035.1/31S/HEA7A.TNPN;n/a;finoox;203-1ACJ.2HJ.1JN.RJWP-R23.01.0000.010;GADC RX 035.1-08_3-07-AE41-CL-E32AX-2908_Alu;6907;A;3;1;2908;Axial;8,3;6,222;8,646;7,192;9,163;7,196;8,751;7,2;8,425;6,882;8,252;6,265;63,27;3738;695;8;VT03192U.1;0,091;0,25;A+;33,31;55,41;12,4;;(2x) 400V 3~N+PE - 9,3kW;AY7.002390;DualCompact_3_08_1_o;2456;1026;318;;963;99,3;22;28;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;750;;;;;;;;no;no;L;E;Aluminum;7;6;8;yes;piece;1
GADC RX 035.1/11S/FDE4A.TNPN;GADC RX;035.1/11S/FDE4A.TNPN;n/a;finoox;203-1AFN.2HJ.1HH.RJVX-R23.01.0000.010;GADC RX 035.1-06_1-04-AE41-CC-E32AX-2908_Epoxy;3243;A;1;1;2908;Axial;2,391;1,796;2,443;2,061;2,631;2,08;2,482;2,069;2,364;1,971;2,375;1,811;21,4;1026;695;4;VT03192U.1;0,032;0,25;A;25,7;47,23;2,8;;230V 1~N+PE - 2,2kW;AY7.002380;DualCompact_1_04_1_o;1096;1026;268;616;963;36,3;16;22;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;411;;;;;;;;no;no;C;E;Epoxy coated aluminum;4;12;6;yes;piece;1
GADC RX 035.1/11S/DEE4E.TNPN;GADC RX;035.1/11S/DEE4E.TNPN;n/a;finoox;203-1AGP.2HJ.1H4.RJW1-R23.01.0800.010;GADC RX 035.1-04_1-04-EE41-CL-E32AX-2908_Epoxy;3655;E;1;1;2908;Axial;2,38;1,774;2,42;2,045;2,653;2,097;2,485;2,084;2,342;1,973;2,366;1,803;17,83;1232;695;5;VT03192U.1;0,03;0,25;A+;28,8;50,37;2,5;230V 1~N+PE - 2,2kW;;;DualCompact_1_04_1_o;1096;1026;318;616;963;41,9;16;22;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI09280275230;H01HC09300500230;;AY7.002368;4;0;928;2;150;930;no;no;L;E;Epoxy coated aluminum;4;10;4;yes;piece;1
GADC RX 035.1/21S/HEE7E.TNNN;GADC RX;035.1/21S/HEE7E.TNNN;n/a;finoox;203-1AKF.2HJ.1HW.RJTQ-R23.01.0800.000;GADC RX 035.1-08_2-07-EE41-CL-E32AX-2908_Epoxy;5402;E;2;1;2908;Axial;5,541;4,243;5,761;4,842;6,087;4,842;5,838;4,835;5,574;4,651;5,525;4,291;42,18;2492;695;7;VT03192U.1;0,061;0,25;A+;31,81;53,65;8,4;400V 3~+N+PE - 6,2kW;;;DualCompact_2_04_1_o;1776;1026;318;1296;963;79,7;22;28;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI16080550230;H01HC16100850230;;AY7.002377;8;0;1608;2;150;1610;no;no;L;E;Epoxy coated aluminum;7;8;8;yes;piece;1
GADC RX 035.1/31S/DDE7A.TNPN;GADC RX;035.1/31S/DDE7A.TNPN;n/a;finoox;203-1ALC.2HJ.1HE.RJWA-R23.01.0000.010;GADC RX 035.1-04_3-07-AE41-CC-E32AX-2908_Epoxy;5685;A;3;1;2908;Axial;5,033;3,783;5,161;4,357;5,677;4,493;5,288;4,473;5,109;4,239;5,006;3,864;25,31;3656;695;9;VT03192U.1;0,092;0,25;A;32,84;54,9;5,2;;400V 3~N+PE - 6,0kW;AY7.002382;DualCompact_3_08_1_o;2456;1026;268;;963;72,6;16;28;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;552;;;;;;;;no;no;C;E;Epoxy coated aluminum;7;4;4;yes;piece;1
GADC RX 035.1/31S/DDC7A.TNNN;GADC RX;035.1/31S/DDC7A.TNNN;n/a;finoox;203-1AUA.2HJ.1HE.RJWA-R23.01.0000.000;GADC RX 035.1-04_3-07-AE41-CC-E32AX-2908_PC;6459;A;3;1;2908;Axial;4,749;3,565;4,867;4,107;5,365;4,239;4,988;4,222;4,812;3,998;4,715;3,64;25,31;3656;695;9;VT03192U.1;0,092;0,25;A;32,84;54,9;5,2;;400V 3~N+PE - 6,0kW;AY7.002382;DualCompact_3_08_1_o;2456;1026;268;;963;72,6;16;28;n/a;Inclusive;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;552;;;;;;;;no;no;C;E;Powder coated;7;4;4;yes;piece;1
GADC RX 035.1/11S/HEC4E.TNPN;GADC RX;035.1/11S/HEC4E.TNPN;n/a;finoox;203-1AR3.2HJ.1H2.RJPP-R23.01.0800.010;GADC RX 035.1-08_1-04-EE41-CL-E32AX-2908_PC;5192;E;1;1;2908;Axial;2,599;2,023;2,699;2,259;2,796;2,238;2,703;2,232;2,587;2,151;2,588;2,037;35,67;1094;695;4;VT03192U.1;0,031;0,25;A+;26,4;47,97;4,5;230/400V+N+PE - 3,3kW;;;DualCompact_1_04_1_o;1096;1026;318;616;963;49,9;16;22;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI09280275230;H01HC09300500230;;AY7.002376;8;0;928;2;150;930;no;no;L;E;Powder coated;4;12;8;yes;piece;1
GADC RX 035.1/21S/DEC4A.TNPN;GADC RX;035.1/21S/DEC4A.TNPN;n/a;finoox;203-1ASW.2HJ.1HL.RJW5-R23.01.0000.010;GADC RX 035.1-04_2-04-AE41-CL-E32AX-2908_PC;5471;A;2;1;2908;Axial;4,176;3,015;4,218;3,484;4,645;3,633;4,339;3,589;4,125;3,371;4,032;3,045;35,67;2463;695;6;VT03192U.1;0,061;0,25;A;31,54;53,38;4,5;;230/400V+N+PE - 4,0kW;AY7.002381;DualCompact_2_04_1_o;1776;1026;318;1296;963;59,7;16;22;n/a;Inclusive;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;500;;;;;;;;no;no;L;E;Powder coated;4;6;4;yes;piece;1
GADC RX 035.1/41S/FDC4A.TNNN;GADC RX;035.1/41S/FDC4A.TNNN;n/a;finoox;203-1AVY.2HJ.1H9.RJWQ-R23.01.0000.000;GADC RX 035.1-06_4-04-AE41-CC-E32AX-2908_PC;8128;A;4;1;2908;Axial;8,46;6,075;8,718;7,13;9,337;7,261;8,84;7,229;8,467;6,829;8,214;6,105;85,6;4105;695;9;VT03192U.1;0,126;0,25;A;30,95;53,25;9,9;;400V 3~N+PE - 7,5kW;AY7.002383;DualCompact_4_08_1_o;3136;1026;268;;963;103,4;22;28;n/a;Inclusive;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;593;;;;;;;;no;no;C;E;Powder coated;4;4;6;yes;piece;1
GADC RX 035.1/31M/DDA4A.TNPN;GADC RX;035.1/31M/DDA4A.TNPN;n/a;finoox;203-1ABW.2HG.1HE.RJP3-R23.01.0000.010;GADC RX 035.1-04_3-04-AE21-CC-E32AX-2906_Alu;5630;A;3;1;2906;Axial;8,306;5,752;8,775;6,971;9,62;7,432;9,232;7,324;8,734;6,838;8,042;5,792;42,8;5985;1310;14;VT03192U.1;0,335;0,98;D;44,83;66,89;5,2;;400V 3~N+PE - 6,0kW;AY7.002382;DualCompact_3_08_1_o;2456;1026;268;;963;72,8;16;28;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;552;;;;;;;;no;no;C;E;Aluminum;4;4;4;yes;piece;1
