TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R454C SC2);DX Evap (R454C SC3);DX Evap (R455A SC2);DX Evap (R455A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE STREAMER;STREAMER;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GACC PX 040.1/2XN/HJC4A.UANN;GACC PX;040.1/2XN/HJC4A.UANN;n/a;finoox;247-1BGJ.1H1.3XZ.SJ61-P13.00.0000.100;GACC PX 040.1H/24-ANX_.E_PC;4544;A;2;1;1735;Axial;11,639;9,381;12,78;10,529;67,94;5886;1450;12;VT0605;0,567;1,1;;54,23;76,05;13,2;;;;gacc2;1686;560;565;1360;406;60,1;22;35;n/a;Inclusive;201;Inclusive;Yes;No;No;400;AC motor;60;X;;;;;;;;;;;no;no;H;F;Powder coated;4;8;8;yes;piece;1
GACC PX 040.1/1XN/FJC7A.TANN;GACC PX;040.1/1XN/FJC7A.TANN;n/a;finoox;247-1BCE.1H1.3XU.S5NK-P13.01.0000.100;GACC PX 040.1F/17-ANX_.E_PC;2466;A;1;1;1735;Axial;4,3;3,504;4,746;3,954;15,22;3544;1450;14;VT0605;0,272;1,1;;51,5;73,04;5,3;;;;gacc1;1006;560;565;680;406;30;16;28;n/a;Inclusive;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;60;X;;;;;;;;;;;no;no;F;F;Powder coated;7;12;6;yes;piece;1
GACC PX 040.1/1XN/FJC7A.UNNN;GACC PX;040.1/1XN/FJC7A.UNNN;n/a;finoox;247-1BCE.1H1.3XU.S5NK-P13.00.0000.000;GACC PX 040.1F/17-ANX_.E_PC;2156;A;1;1;1735;Axial;4,3;3,504;4,746;3,954;15,22;3544;1450;14;VT0605;0,272;1,1;;51,5;73,04;5,3;;;;gacc1;1006;560;565;680;406;30;16;28;n/a;Inclusive;138;172;No;No;No;400;AC motor;60;X;;;;;;;;;;;no;no;F;F;Powder coated;7;12;6;yes;piece;1
GACC PX 040.1/2XN/FJC7A.TANN;GACC PX;040.1/2XN/FJC7A.TANN;n/a;finoox;247-1BFW.1H1.3XT.S5NY-P13.01.0000.100;GACC PX 040.1F/27-ANX_.E_PC;3735;A;2;1;1735;Axial;8,775;6,774;9,423;7,42;30,45;7088;1450;15;VT0605;0,544;1,1;;54,23;76,05;9,8;;;;gacc2;1686;560;565;1360;406;51,3;16;28;n/a;Inclusive;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;60;X;;;;;;;;;;;no;no;F;F;Powder coated;7;10;6;yes;piece;1
GACC PX 040.1/4XN/FJC7E.TANN;GACC PX;040.1/4XN/FJC7E.TANN;n/a;finoox;247-1BK5.1H1.3XR.SJ7P-P13.01.0800.100;GACC PX 040.1F/47-ENX_.E_PC;9261;E;4;1;1735;Axial;17,396;13,877;18,958;15,487;60,89;14176;1450;17;VT0605;1,087;1,1;;56,74;79,06;19,5;400V 3Ph+N 50/60Hz - 7,0kW;;;gacc4a;3046;560;565;680;406;102,8;22;42;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;60;X;H04BC29200690230;H01AB29200709230;;AY7.004833.1;7;100;2920;3;50;2920;no;no;F;F;Powder coated;7;4;6;yes;piece;1
GACC PX 040.1/3XN/HJC7A.TANN;GACC PX;040.1/3XN/HJC7A.TANN;n/a;finoox;247-1BJS.1H1.3XZ.SJ5H-P13.01.0000.100;GACC PX 040.1H/37-ANX_.E_PC;5693;A;3;1;1735;Axial;16,028;12,128;17,097;13,294;60,89;10107;1450;15;VT0605;0,83;1,1;;55,73;77,81;19,2;;;;gacc3a;2366;560;565;680;406;83,4;22;35;n/a;Inclusive;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;60;X;;;;;;;;;;;no;no;H;F;Powder coated;7;8;8;yes;piece;1
GACC PX 040.1/3XN/HJC7A.UANN;GACC PX;040.1/3XN/HJC7A.UANN;n/a;finoox;247-1BJS.1H1.3XZ.SJ5H-P13.00.0000.100;GACC PX 040.1H/37-ANX_.E_PC;5414;A;3;1;1735;Axial;16,028;12,128;17,097;13,294;60,89;10107;1450;15;VT0605;0,83;1,1;;55,73;77,81;19,2;;;;gacc3a;2366;560;565;680;406;83,4;22;35;n/a;Inclusive;279;Inclusive;Yes;No;No;400;AC motor;60;X;;;;;;;;;;;no;no;H;F;Powder coated;7;8;8;yes;piece;1
GACC PX 050.1/31N/HNE7A.UNNN;GACC PX;050.1/31N/HNE7A.UNNN;n/a;finoox;247-1B8L.243.3YJ.S5P1-P13.00.0000.000;GACC PX 050.1H/37-AN1_.E_Epoxy;10072;A;3;1;2451;Axial;33,601;26,997;36,667;30,08;120,93;19738;1260;22;VT03158U.1;1,439;2,2;;58,27;80,87;40;;;;gacc3a;3377;623;755;1000;486;163,4;28;54;Inclusive;n/a;314;606;No;No;No;500;EC motor;5060;1;;;;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;4;8;yes;piece;1
GACC PX 050.1/41N/HNE7E.TNNN;GACC PX;050.1/41N/HNE7E.TNNN;n/a;finoox;247-1B9C.243.3YJ.S5P0-P13.01.0800.000;GACC PX 050.1H/47-EN1_.E_Epoxy;17799;E;4;1;2451;Axial;45,374;34,842;48,495;38,208;161,24;26318;1260;23;VT03158U.1;1,918;2,2;;59,19;82,12;52,4;2x400V 3PH+N 50/60Hz - 15,7kW;;;gacc4a;4387;623;755;1000;486;228,8;28;54;Inclusive;n/a;Inclusive;808;No;Yes;Yes;500;EC motor;5060;1;H07EC42500970230;H08FD42601032230;;AY7.004835.1;13;150;4250;3;150;4260;no;no;H;F;Epoxy coated aluminum;7;4;8;yes;piece;1
GACC PX 050.1/21N/JNE7A.UNNN;GACC PX;050.1/21N/JNE7A.UNNN;n/a;finoox;247-1B7W.243.3YG.SJAE-P13.00.0000.000;GACC PX 050.1J/27-AN1_.E_Epoxy;7089;A;2;1;2451;Axial;25,517;20,652;27,869;23,041;100,77;12756;1260;21;VT03158U.1;0,977;2,2;;56,93;79,19;33,9;;;;gacc2a;2377;623;755;1000;486;130,6;22;54;Inclusive;n/a;222;404;No;No;No;500;EC motor;5060;1;;;;;;;;;;;no;no;J;F;Epoxy coated aluminum;7;6;10;yes;piece;1
