TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GASC RX 031.1/31N/DFE7E.TNNN;GASC RX;031.1/31N/DFE7E.TNNN;n/a;finoox;251-1B49.24G.3U9.S5QZ-R23.01.0800.000;GASC RX 031.1C/37-EN1_.E_Epoxy;3434;E;3;1;2464;Axial;5,752;4,109;6,022;4,871;6,55;5,015;6,241;4,978;5,97;4,724;5,614;4,155;18,98;5271;1350;21;VT03190;0,26;0,7;C;45,67;67,56;3,8;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;37,7;16;22;Inclusive;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Epoxy coated aluminum;7;4;4;yes;piece;1
GASC RX 031.1/11N/DFC4A.;GASC RX;031.1/11N/DFC4A.;n/a;finoox;251-1B0Y.24G.3UC.S5QV-R23.;GASC RX 031.1C/14-AN1_.E_PC;1371;A;1;1;2464;Axial;1,975;1,345;2,108;1,654;2,308;1,759;2,219;1,737;2,1;1,619;1,911;1,35;10,7;1561;1350;11;VT03190;0,086;0,7;D;42,45;63,79;1,3;;;;GASC1;964;580;337;680;552;13,9;16;18;n/a;n/a;;;;315;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;4;12;4;yes;piece;1
GASC RX 031.1/11M/DDA4A.TNNN;GASC RX;031.1/11M/DDA4A.TNNN;n/a;finoox;251-1B00.24H.3UF.00NN-R23.01.0000.000;GASC RX 031.1A/14-AL1_.E;987;A;1;1;2465;Axial;1,234;0,793;1,414;1,041;1,511;1,066;1,459;1,07;1,374;0,998;1,199;0,785;7,13;848;1000;7;VT03190;0,037;0,3;B;35,01;56,26;0,8;;230V 1~ - 0.95kW;AY7.001474;GASC1;964;580;234;680;552;12,4;9,52;9,52;n/a;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;137;;;;;;;;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC RX 031.1/11M/DDA4E.TNNN;GASC RX;031.1/11M/DDA4E.TNNN;n/a;finoox;251-1B01.24H.3UF.00NN-R23.01.0800.000;GASC RX 031.1A/14-EL1_.E;1132;E;1;1;2465;Axial;1,234;0,793;1,414;1,041;1,511;1,066;1,459;1,07;1,374;0,998;1,199;0,785;7,13;848;1000;7;VT03190;0,037;0,3;B;35,01;56,26;0,8;230V 1~ - 0.95kW;;;GASC1;964;580;234;680;552;14,2;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BA08550600230;H02LA08900350230;;AY7.001474.1;1;100;855;1;75;890;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC RX 031.1/11M/DFA4E.TNNN;GASC RX;031.1/11M/DFA4E.TNNN;n/a;finoox;251-1B0R.24H.3UC.S5QV-R23.01.0800.000;GASC RX 031.1C/14-EL1_.E;1252;E;1;1;2465;Axial;1,951;1,362;2,021;1,626;2,223;1,735;2,11;1,701;1,997;1,587;1,882;1,371;10,7;1166;1000;8;VT03190;0,036;0,3;A;34,03;55,37;1,3;230V 1~ - 0.95kW;;;GASC1;964;580;337;680;552;15,7;16;18;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BA08550600230;H02LA08900350230;;AY7.001474.1;1;100;855;1;75;890;no;no;D;E;Aluminum;4;12;4;yes;piece;1
GASC RX 031.1/21M/DDA7E.TNNN;GASC RX;031.1/21M/DDA7E.TNNN;n/a;finoox;251-1B21.24H.3UH.S5QS-R23.01.0800.000;GASC RX 031.1A/27-EL1_.E;2210;E;2;1;2465;Axial;2,376;1,807;2,443;2,083;2,702;2,159;2,557;2,139;2,437;2,043;2,372;1,87;8,44;1928;1000;11;VT03190;0,073;0,3;B;37,42;58,95;1,7;230V 1~ - 1.8kW;;;GASC2;1644;580;234;1360;552;24,1;16;18;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BA15351200230;H02LA15700600230;;AY7.001476.1;1;100;1535;1;75;1570;no;no;D;E;Aluminum;7;4;4;yes;piece;1
GASC RX 031.1/21M/DFE7E.TNNN;GASC RX;031.1/21M/DFE7E.TNNN;n/a;finoox;251-1B2V.24H.3UD.S5QX-R23.01.0800.000;GASC RX 031.1C/27-EL1_.E_Epoxy;2482;E;2;1;2465;Axial;3,345;2,421;3,415;2,827;3,775;2,944;3,51;2,919;3,401;2,762;3,241;2,441;12,65;2637;1000;13;VT03190;0,072;0,3;A;36,61;58,23;2,5;230V 1~ - 1.8kW;;;GASC2;1644;580;337;1360;552;26,6;16;18;Inclusive;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BA15351200230;H02LA15700600230;;AY7.001476.1;1;100;1535;1;75;1570;no;no;D;E;Epoxy coated aluminum;7;6;4;yes;piece;1
GASC RX 031.1/11M/DDC7E.;GASC RX;031.1/11M/DDC7E.;n/a;finoox;251-1B0H.24H.3UG.S5QQ-R23.;GASC RX 031.1A/17-EL1_.E_PC;1356;E;1;1;2465;Axial;1,096;0,836;1,135;0,965;1,255;1,001;1,187;0,992;1,131;0,947;1,101;0,864;4,22;964;1000;8;VT03190;0,036;0,3;B;34,69;55,94;0,9;;;;GASC1;964;580;234;680;552;14,4;16;18;n/a;n/a;;;;315;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;7;8;4;yes;piece;1
GASC RX 031.1/21M/DFC7E.;GASC RX;031.1/21M/DFC7E.;n/a;finoox;251-1B2Z.24H.3UD.S5QX-R23.;GASC RX 031.1C/27-EL1_.E_PC;2580;E;2;1;2465;Axial;3,161;2,285;3,234;2,673;3,568;2,777;3,32;2,754;3,22;2,608;3,063;2,302;12,65;2637;1000;13;VT03190;0,072;0,3;A;36,61;58,23;2,5;;;;GASC2;1644;580;337;1360;552;26,6;16;18;n/a;n/a;;;;315;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;7;6;4;yes;piece;1
GASC RX 030.1/21N/DFA4A.;GASC RX;030.1/21N/DFA4A.;n/a;finoox;251-1HY7.345.3UD.S5QX-R23.;GASC RX 030.1C/24-AN1_.E;2134;A;2;1;3609;Axial;4,594;3,139;4,915;3,861;5,471;4,095;5,183;4,051;4,909;3,786;4,453;3,15;21,4;3315;1760;16;VT06103;0,201;0,76;D;46,43;68,05;2,5;;;;GASC2;1644;580;337;1360;552;24,9;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Aluminum;4;6;4;yes;piece;1
