TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GASC RX 020.1/11N/DDA4A.TNNN;GASC RX;020.1/11N/DDA4A.TNNN;n/a;finoox;251-1AYL.0YE.3UF.00NN-R23.01.0000.000;GASC RX 020.1A/14-AN1_.E;608;A;1;1;1102;Axial;0,845;0,597;0,843;0,695;0,939;0,752;0,883;0,734;0,831;0,681;0,807;0,606;4,2;512;2000;6;VT03033U;0,035;0,26;D;44,48;65,61;0,5;;230V 1~ - 0.59kW;AY7.001473;GASC1;684;580;234;400;552;8;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;114;;;;;;;;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC RX 020.1/31N/DDA4A.TNNN;GASC RX;020.1/31N/DDA4A.TNNN;n/a;finoox;251-1CLW.0YE.3UF.00NN-R23.01.0000.000;GASC RX 020.1A/34-AN1_.E;1350;A;3;1;1102;Axial;1,542;0,843;2,064;1,262;2,105;1,239;2,067;1,267;1,919;1,167;1,487;1,087;12,59;1536;2000;10;VT03033U;0,105;0,26;D;48,91;70,38;1,4;;230V 1~ - 1.6kW;AY7.004217;GASC3;1484;580;234;1200;552;19,1;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;279;;;;;;;;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC RX 020.1/31N/FDA7A.TNNN;GASC RX;020.1/31N/FDA7A.TNNN;n/a;finoox;251-1CMS.0YE.3W3.S5QQ-R23.01.0000.000;GASC RX 020.1B/37-AN1_.E;1560;A;3;1;1102;Axial;2,37;1,51;2,746;2,004;2,851;1,986;2,771;2,004;2,651;1,889;2,326;1,496;11,17;1606;2000;10;VT03033U;0,107;0,26;C;48,64;70,11;2,2;;230V 1~ - 1.6kW;AY7.004217;GASC3;1484;580;234;1200;552;21,3;16;18;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;279;;;;;;;;no;no;F;E;Aluminum;7;12;6;yes;piece;1
GASC RX 020.1/11N/FDE7A.TNNN;GASC RX;020.1/11N/FDE7A.TNNN;n/a;finoox;251-1AZN.0YE.3UJ.00NN-R23.01.0000.000;GASC RX 020.1B/17-AN1_.E_Epoxy;852;A;1;1;1102;Axial;0,868;0,609;0,909;0,735;0,989;0,753;0,943;0,751;0,901;0,711;0,844;0,613;3,72;535;2000;6;VT03033U;0,036;0,26;C;44,2;65,33;0,8;;230V 1~ - 0.59kW;AY7.001473;GASC1;684;580;234;400;552;8,6;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;114;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;24;6;yes;piece;1
GASC RX 020.1/21N/FDC4A.;GASC RX;020.1/21N/FDC4A.;n/a;finoox;251-1CL6.0YE.3UJ.00NN-R23.;GASC RX 020.1B/24-AN1_.E_PC;1467;A;2;1;1102;Axial;1,237;0,7;1,596;1,021;1,627;1,002;1,595;1,022;1,493;0,947;1,198;0,686;12,59;952;2000;7;VT03033U;0,069;0,26;D;47,83;69,13;1,5;;;;GASC2;1084;580;234;800;552;15,2;9,52;9,52;n/a;n/a;;;;200;EC motor;5060;1;;;;;;;;;;;no;no;F;E;Powder coated;4;24;6;yes;piece;1
GASC RX 030.1/11M/DFA7A.;GASC RX;030.1/11M/DFA7A.;n/a;finoox;251-1HVD.0YG.3UC.S5QV-R23.;GASC RX 030.1C/17-AL1_.E;1107;A;1;1;1104;Axial;1,52;1,11;1,556;1,296;1,724;1,348;1,598;1,339;1,544;1,265;1,489;1,13;6,33;1101;1250;7;VT03034U;0,027;0,27;A;43,45;64,79;1,4;;;;GASC1;964;580;337;680;552;12,5;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Aluminum;7;12;4;yes;piece;1
GASC RX 030.1/21M/DDA7E.;GASC RX;030.1/21M/DDA7E.;n/a;finoox;251-1HXJ.0YG.3UH.S5QS-R23.;GASC RX 030.1A/27-EL1_.E;2210;E;2;1;1104;Axial;2,289;1,755;2,371;2,02;2,621;2,099;2,483;2,078;2,361;1,989;2,3;1,815;8,44;1829;1250;11;VT03034U;0,064;0,27;A;45,48;67,01;1,7;;;;GASC2;1644;580;234;1360;552;21,3;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Aluminum;7;4;4;yes;piece;1
GASC RX 030.1/21M/DDE7E.;GASC RX;030.1/21M/DDE7E.;n/a;finoox;251-1HXQ.0YG.3UH.S5QS-R23.;GASC RX 030.1A/27-EL1_.E_Epoxy;2454;E;2;1;1104;Axial;2,244;1,722;2,329;1,983;2,58;2,065;2,441;2,043;2,319;1,954;2,255;1,779;8,44;1829;1250;11;VT03034U;0,064;0,27;A;45,48;67,01;1,7;;;;GASC2;1644;580;234;1360;552;21,3;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Epoxy coated aluminum;7;4;4;yes;piece;1
GASC RX 020.1/11M/DDA4E.TNNN;GASC RX;020.1/11M/DDA4E.TNNN;n/a;finoox;251-1AYM.0YF.3UF.00NN-R23.01.0800.000;GASC RX 020.1A/14-EL1_.E;729;E;1;1;1103;Axial;0,738;0,533;0,741;0,619;0,836;0,654;0,77;0,648;0,726;0,602;0,719;0,543;4,2;403;1500;4;VT03033U;0,02;0,16;B;40,68;61,81;0,5;230V 1~ - 0.59kW;;;GASC1;684;580;234;400;552;9,3;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BA05750350230;H02LA06100240230;;AY7.001473.1;1;100;575;1;75;610;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC RX 020.1/31M/DDE4E.TNNN;GASC RX;020.1/31M/DDE4E.TNNN;n/a;finoox;251-1CM3.0YF.3UF.00NN-R23.01.0800.000;GASC RX 020.1A/34-EL1_.E_Epoxy;1960;E;3;1;1103;Axial;1,45;0,813;1,888;1,194;1,926;1,173;1,89;1,197;1,766;1,106;1,403;0,796;12,59;1210;1500;8;VT03033U;0,061;0,16;C;45,11;66,58;1,4;230V 1~ - 1.6kW;;;GASC3;1484;580;234;1200;552;20,9;9,52;9,52;Inclusive;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BB13901000230;H02LA14100560230;;AY7.004217.1;1;100;1390;1;75;1410;no;no;D;E;Epoxy coated aluminum;4;16;4;yes;piece;1
GASC RX 031.1/3XN/DFA4E.TNNN;GASC RX;031.1/3XN/DFA4E.TNNN;n/a;finoox;251-1B3X.245.3U9.S5QZ-R23.01.0800.000;GASC RX 031.1C/34-ENX_.E;2762;E;3;1;2453;Axial;6,904;4,732;7,372;5,806;8,209;6,16;7,775;6,094;7,365;5,696;6,695;4,751;32,1;4955;1390;19;VT03159U;0,408;0,55;D;47,54;69,42;3,8;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;39,8;16;22;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Aluminum;4;4;4;yes;piece;1
GASC RX 031.1/4XN/DFA4A.TNNN;GASC RX;031.1/4XN/DFA4A.TNNN;n/a;finoox;251-1B56.245.3UE.SJ3X-R23.01.0000.000;GASC RX 031.1C/44-ANX_.E;3167;A;4;1;2453;Axial;9,9;7,132;9,76;8,182;11,265;8,964;10,316;8,728;9,665;8,064;9,493;7,347;42,8;6607;1390;22;VT03159U;0,544;0,55;D;48,54;70,67;5,1;;400V 3~N - 3.4kW;AY7.001480;GASC4;3004;580;337;1360;552;47,6;22;28;n/a;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;387;;;;;;;;no;no;D;E;Aluminum;4;2;4;yes;piece;1
GASC RX 031.1/3XN/FFA7A.TNNN;GASC RX;031.1/3XN/FFA7A.TNNN;n/a;finoox;251-1B4G.245.3UB.SJ5F-R23.01.0000.000;GASC RX 031.1D/37-ANX_.E;2559;A;3;1;2453;Axial;7,973;5,781;8,248;6,755;8,935;6,916;8,51;6,873;8,152;6,537;7,757;5,837;28,47;5193;1390;20;VT03159U;0,407;0,55;C;47,71;69,59;5,7;;400V 3~N - 4.05kW;AY7.001479;GASC3;2324;580;337;2040;552;41,7;22;22;n/a;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;338;;;;;;;;no;no;F;E;Aluminum;7;4;6;yes;piece;1
GASC RX 031.1/1XN/DFE7E.TNNN;GASC RX;031.1/1XN/DFE7E.TNNN;n/a;finoox;251-1B13.245.3UC.S5QV-R23.01.0800.000;GASC RX 031.1C/17-ENX_.E_Epoxy;1300;E;1;1;2453;Axial;1,928;1,361;2,041;1,612;2,213;1,678;2,111;1,667;2,019;1,581;1,89;1,373;6,33;1833;1390;12;VT03159U;0,135;0,55;D;43,8;65,14;1,4;230V 1~ - 0.95kW;;;GASC1;964;580;337;680;552;16,3;16;18;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BA08550600230;H02LA08900350230;;AY7.001474.1;1;100;855;1;75;890;no;no;D;E;Epoxy coated aluminum;7;12;4;yes;piece;1
GASC RX 031.1/1XN/FFE7A.TNNN;GASC RX;031.1/1XN/FFE7A.TNNN;n/a;finoox;251-1B1S.245.3UK.S5QW-R23.01.0000.000;GASC RX 031.1D/17-ANX_.E_Epoxy;1201;A;1;1;2453;Axial;2,602;1,868;2,694;2,201;2,929;2,258;2,786;2,244;2,665;2,131;2,529;1,889;9,49;1731;1390;12;VT03159U;0,136;0,55;C;43,48;64,82;2;;230V 1~ - 1.55kW;AY7.001475;GASC1;964;580;337;680;552;16,4;16;18;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;171;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;12;6;yes;piece;1
GASC RX 031.1/3XN/FFC7A.;GASC RX;031.1/3XN/FFC7A.;n/a;finoox;251-1B52.245.3UB.SJ5F-R23.;GASC RX 031.1D/37-ANX_.E_PC;3050;A;3;1;2453;Axial;7,415;5,377;7,671;6,282;8,31;6,431;7,915;6,392;7,581;6,079;7,214;5,428;28,47;5193;1390;20;VT03159U;0,407;0,55;D;47,71;69,59;5,7;;;;GASC3;2324;580;337;2040;552;41,7;22;22;n/a;n/a;;;;315;AC motor;60;X;;;;;;;;;;;no;no;F;E;Powder coated;7;4;6;yes;piece;1
GASC RX 031.1/4XN/DFC4A.;GASC RX;031.1/4XN/DFC4A.;n/a;finoox;251-1B5E.245.3UE.SJ3X-R23.;GASC RX 031.1C/44-ANX_.E_PC;3777;A;4;1;2453;Axial;8,811;6,347;8,687;7,282;10,026;7,978;9,181;7,768;8,602;7,177;8,449;6,539;42,8;6607;1390;22;VT03159U;0,544;0,55;E;48,54;70,67;5,1;;;;GASC4;3004;580;337;1360;552;47,6;22;28;n/a;n/a;;;;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Powder coated;4;2;4;yes;piece;1
GASC RX 031.1/4XN/FFC4A.;GASC RX;031.1/4XN/FFC4A.;n/a;finoox;251-1B5W.245.3UB.SJ5E-R23.;GASC RX 031.1D/44-ANX_.E_PC;3949;A;4;1;2453;Axial;9,692;6,42;10,844;8,225;11,565;8,397;11,155;8,415;10,583;7,879;9,485;6,375;64,2;6034;1390;20;VT03159U;0,546;0,55;D;48,4;70,53;7,4;;;;GASC4;3004;580;337;1360;552;55,1;22;22;n/a;n/a;;;;315;AC motor;60;X;;;;;;;;;;;no;no;F;E;Powder coated;4;4;6;yes;piece;1
GASC RX 031.1/3WN/FFA7A.TNNN;GASC RX;031.1/3WN/FFA7A.TNNN;n/a;finoox;251-1B4G.246.3UB.SJ5F-R23.01.0000.000;GASC RX 031.1D/37-ANW_.E;2559;A;3;1;2454;Axial;7,758;5,644;7,989;6,574;8,683;6,743;8,135;6,701;7,905;6,371;7,548;5,715;28,47;4916;1300;19;VT03159U;0,303;0,42;C;46,61;68,49;5,7;;400V 3~N - 4.05kW;AY7.001479;GASC3;2324;580;337;2040;552;41,7;22;22;n/a;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;338;;;;;;;;no;no;F;E;Aluminum;7;4;6;yes;piece;1
GASC RX 031.1/4WN/FFA7E.TNNN;GASC RX;031.1/4WN/FFA7E.TNNN;n/a;finoox;251-1B5K.246.3UB.SJ5F-R23.01.0800.000;GASC RX 031.1D/47-ENW_.E;3805;E;4;1;2454;Axial;9,741;6,672;10,683;8,31;11,289;8,348;10,878;8,353;10,468;7,926;9,578;6,671;37,96;6555;1300;22;VT03159U;0,404;0,42;C;47,61;69,74;7,4;400V 3~N - 5.7kW;;;GASC4;3004;580;337;1360;552;60,6;22;22;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BB29002300230;H02LA29601100230;;AY7.001481.1;2;100;2900;1;75;2960;no;no;F;E;Aluminum;7;4;6;yes;piece;1
GASC RX 031.1/2WN/FFE4A.TNNN;GASC RX;031.1/2WN/FFE4A.TNNN;n/a;finoox;251-1B3A.246.3UA.S2SD-R23.01.0000.000;GASC RX 031.1D/24-ANW_.E_Epoxy;2153;A;2;1;2454;Axial;5,632;4,007;5,772;4,701;6,335;4,987;5,992;4,894;5,684;4,578;5,407;4,034;32,1;2875;1300;14;VT03159U;0,205;0,42;C;45,39;67,01;3,8;;230V 1~ - 3kW;AY7.001477;GASC2;1644;580;337;1360;552;29,5;16;22;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;235;;;;;;;;no;no;F;E;Epoxy coated aluminum;4;6;6;yes;piece;1
GASC RX 031.1/4WN/DFE4A.TNNN;GASC RX;031.1/4WN/DFE4A.TNNN;n/a;finoox;251-1B5A.246.3UE.SJ3X-R23.01.0000.000;GASC RX 031.1C/44-ANW_.E_Epoxy;3553;A;4;1;2454;Axial;9,379;6,802;9,287;7,81;10,739;8,516;9,785;8,301;9,17;7,69;9,071;7,012;42,8;6263;1300;21;VT03159U;0,406;0,42;D;47,67;69,8;5,1;;400V 3~N - 3.4kW;AY7.001480;GASC4;3004;580;337;1360;552;47,6;22;28;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;387;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;2;4;yes;piece;1
GASC RX 031.1/2WN/DFC7E.;GASC RX;031.1/2WN/DFC7E.;n/a;finoox;251-1B2Z.246.3UD.S5QX-R23.;GASC RX 031.1C/27-ENW_.E_PC;2352;E;2;1;2454;Axial;3,576;2,547;3,767;2,994;4,085;3,118;3,895;3,097;3,728;2,94;3,507;2,576;12,65;3455;1300;17;VT03159U;0,2;0,42;D;45,14;66,76;2,5;;;;GASC2;1644;580;337;1360;552;27,8;16;18;n/a;n/a;;;;315;AC motor;50;W;;;;;;;;;;;no;no;D;E;Powder coated;7;6;4;yes;piece;1
GASC RX 031.1/3WN/DFC7E.;GASC RX;031.1/3WN/DFC7E.;n/a;finoox;251-1B4D.246.3U9.S5QZ-R23.;GASC RX 031.1C/37-ENW_.E_PC;3255;E;3;1;2454;Axial;5,378;3,838;5,657;4,503;6,134;4,691;5,85;4,658;5,6;4,424;5,274;3,886;18,98;5183;1300;20;VT03159U;0,3;0,42;D;46,64;68,52;3,8;;;;GASC3;2324;580;337;2040;552;39,5;16;22;n/a;n/a;;;;315;AC motor;50;W;;;;;;;;;;;no;no;D;E;Powder coated;7;4;4;yes;piece;1
GASC RX 031.1/1WN/DFC4A.;GASC RX;031.1/1WN/DFC4A.;n/a;finoox;251-1B0Y.246.3UC.S5QV-R23.;GASC RX 031.1C/14-ANW_.E_PC;1256;A;1;1;2454;Axial;1,978;1,346;2,112;1,657;2,312;1,761;2,223;1,739;2,104;1,622;1,913;1,352;10,7;1566;1300;11;VT03159U;0,101;0,42;D;42,43;63,78;1,3;;;;GASC1;964;580;337;680;552;14,5;16;18;n/a;n/a;;;;315;AC motor;50;W;;;;;;;;;;;no;no;D;E;Powder coated;4;12;4;yes;piece;1
GASC RX 031.1/1WN/FFC4A.;GASC RX;031.1/1WN/FFC4A.;n/a;finoox;251-1B1N.246.3UK.S5QR-R23.;GASC RX 031.1D/14-ANW_.E_PC;1300;A;1;1;2454;Axial;2,529;1,782;2,608;2,114;2,861;2,235;2,708;2,197;2,568;2,053;2,436;1,79;16,05;1438;1300;10;VT03159U;0,102;0,42;D;42,65;64;2;;;;GASC1;964;580;337;680;552;16,4;16;18;n/a;n/a;;;;315;AC motor;50;W;;;;;;;;;;;no;no;F;E;Powder coated;4;12;6;yes;piece;1
GASC RX 031.1/1WN/FFC4E.;GASC RX;031.1/1WN/FFC4E.;n/a;finoox;251-1B1P.246.3UK.S5QR-R23.;GASC RX 031.1D/14-ENW_.E_PC;1490;E;1;1;2454;Axial;2,529;1,782;2,608;2,114;2,861;2,235;2,708;2,197;2,568;2,053;2,436;1,79;16,05;1438;1300;10;VT03159U;0,102;0,42;D;42,65;64;2;;;;GASC1;964;580;337;680;552;18,6;16;18;n/a;n/a;;;;315;AC motor;50;W;;;;;;;;;;;no;no;F;E;Powder coated;4;12;6;yes;piece;1
GASC RX 031.1/1WM/DFA7A.TNNN;GASC RX;031.1/1WM/DFA7A.TNNN;n/a;finoox;251-1B0L.247.3UC.S5QV-R23.01.0000.000;GASC RX 031.1C/17-ALW_.E;991;A;1;1;2455;Axial;1,607;1,164;1,646;1,363;1,818;1,418;1,692;1,408;1,636;1,331;1,564;1,181;6,33;1208;900;8;VT03159U;0,088;0,38;D;38,32;59,66;1,4;;230V 1~ - 0.95kW;AY7.001474;GASC1;964;580;337;680;552;14,5;16;18;n/a;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;137;;;;;;;;no;no;D;E;Aluminum;7;12;4;yes;piece;1
GASC RX 031.1/2WM/DDE7A.TNNN;GASC RX;031.1/2WM/DDE7A.TNNN;n/a;finoox;251-1B24.247.3UH.S5QS-R23.01.0000.000;GASC RX 031.1A/27-ALW_.E_Epoxy;1998;A;2;1;2455;Axial;2,17;1,67;2,259;1,92;2,495;2,002;2,366;1,979;2,245;1,847;2,18;1,725;8,44;1732;900;10;VT03159U;0,18;0,38;D;41,53;63,06;1,7;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;234;1360;552;22,7;16;18;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;203;;;;;;;;no;no;D;E;Epoxy coated aluminum;7;4;4;yes;piece;1
GASC RX 031.1/1WM/DFE7E.TNNN;GASC RX;031.1/1WM/DFE7E.TNNN;n/a;finoox;251-1B13.247.3UC.S5QV-R23.01.0800.000;GASC RX 031.1C/17-ELW_.E_Epoxy;1300;E;1;1;2455;Axial;1,58;1,148;1,618;1,342;1,794;1,398;1,691;1,388;1,608;1,311;1,54;1,167;6,33;1208;900;8;VT03159U;0,088;0,38;D;38,32;59,66;1,4;230V 1~ - 0.95kW;;;GASC1;964;580;337;680;552;16,3;16;18;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BA08550600230;H02LA08900350230;;AY7.001474.1;1;100;855;1;75;890;no;no;D;E;Epoxy coated aluminum;7;12;4;yes;piece;1
GASC RX 031.1/1WM/FFE7E.TNNN;GASC RX;031.1/1WM/FFE7E.TNNN;n/a;finoox;251-1B1T.247.3UK.S5QW-R23.01.0800.000;GASC RX 031.1D/17-ELW_.E_Epoxy;1390;E;1;1;2455;Axial;2,016;1,508;2,074;1,747;2,25;1,793;2,146;1,786;2,046;1,695;2,004;1,535;9,49;1132;900;8;VT03159U;0,089;0,38;C;38,35;59,7;2;230V 1~ - 1.55kW;;;GASC1;964;580;337;680;552;18,6;16;18;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BA08550600230;H02LA08900350230;;AY7.001475.1;2;100;855;1;75;890;no;no;F;E;Epoxy coated aluminum;7;12;6;yes;piece;1
GASC RX 031.1/1WM/FFC7E.;GASC RX;031.1/1WM/FFC7E.;n/a;finoox;251-1B1X.247.3UK.S5QW-R23.;GASC RX 031.1D/17-ELW_.E_PC;1475;E;1;1;2455;Axial;1,901;1,42;1,955;1,644;2,147;1,69;2,024;1,684;1,929;1,598;1,887;1,446;9,49;1132;900;8;VT03159U;0,089;0,38;C;38,35;59,7;2;;;;GASC1;964;580;337;680;552;18,6;16;18;n/a;n/a;;;;315;AC motor;50;W;;;;;;;;;;;no;no;F;E;Powder coated;7;12;6;yes;piece;1
GASC RX 031.1/2WM/FFC7E.;GASC RX;031.1/2WM/FFC7E.;n/a;finoox;251-1B3P.247.3UA.S5QZ-R23.;GASC RX 031.1D/27-ELW_.E_PC;2535;E;2;1;2455;Axial;3,817;2,867;3,915;3,301;4,301;3,394;4,054;3,382;3,865;3,209;3,788;2,92;18,98;2263;900;11;VT03159U;0,178;0,38;C;41,09;62,71;3,8;;;;GASC2;1644;580;337;1360;552;32,5;16;22;n/a;n/a;;;;315;AC motor;50;W;;;;;;;;;;;no;no;F;E;Powder coated;7;6;6;yes;piece;1
GASC RX 031.1/3XM/DFA7E.TNNN;GASC RX;031.1/3XM/DFA7E.TNNN;n/a;finoox;251-1B3T.248.3U9.S5QZ-R23.01.0800.000;GASC RX 031.1C/37-ELX_.E;2762;E;3;1;2456;Axial;4,161;3,114;4,26;3,592;4,709;3,713;4,368;3,699;4,216;3,498;4,122;3,178;18,98;2838;720;11;VT03159U;0,27;0,39;D;39,05;60,93;3,8;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;39,5;16;22;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Aluminum;7;4;4;yes;piece;1
GASC RX 031.1/2XM/FFC7A.;GASC RX;031.1/2XM/FFC7A.;n/a;finoox;251-1B3N.248.3UA.S5QZ-R23.;GASC RX 031.1D/27-ALX_.E_PC;2274;A;2;1;2456;Axial;3,232;2,483;3,343;2,832;3,608;2,879;3,434;2,864;3,279;2,75;3,226;2,526;18,98;1780;720;9;VT03159U;0,18;0,39;D;37,59;59,21;3,8;;;;GASC2;1644;580;337;1360;552;29,2;16;22;n/a;n/a;;;;315;AC motor;60;X;;;;;;;;;;;no;no;F;E;Powder coated;7;6;6;yes;piece;1
GASC RX 031.1/31N/DFA7A.TNNN;GASC RX;031.1/31N/DFA7A.TNNN;n/a;finoox;251-1B3S.24G.3U9.S5QZ-R23.01.0000.000;GASC RX 031.1C/37-AN1_.E;2773;A;3;1;2464;Axial;5,827;4,154;6,136;4,876;6,645;5,075;6,34;5,041;6,07;4,787;5,714;4,202;18,98;5271;1350;21;VT03190;0,26;0,7;C;45,67;67,56;3,8;;230V 1~ - 2.45kW;AY7.001478;GASC3;2324;580;337;2040;552;34,2;16;22;n/a;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;302;;;;;;;;no;no;D;E;Aluminum;7;4;4;yes;piece;1
GASC RX 031.1/31N/FFA7E.TNNN;GASC RX;031.1/31N/FFA7E.TNNN;n/a;finoox;251-1B4H.24G.3UB.SJ5F-R23.01.0800.000;GASC RX 031.1D/37-EN1_.E;3279;E;3;1;2464;Axial;7,779;5,657;8,014;6,592;8,707;6,76;8,159;6,718;7,928;6,387;7,569;5,728;28,47;4942;1350;19;VT03190;0,26;0,7;B;46,12;68;5,7;400V 3~N - 4.05kW;;;GASC3;2324;580;337;2040;552;44,7;22;22;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BB22301600230;H02LA22800850230;;AY7.001479.1;2;100;2230;1;75;2280;no;no;F;E;Aluminum;7;4;6;yes;piece;1
GASC RX 031.1/31N/FFE7A.TNNN;GASC RX;031.1/31N/FFE7A.TNNN;n/a;finoox;251-1B4Y.24G.3UB.SJ5F-R23.01.0000.000;GASC RX 031.1D/37-AN1_.E_Epoxy;3230;A;3;1;2464;Axial;7,677;5,582;7,878;6,497;8,593;6,682;8,038;6,638;7,807;6,306;7,459;5,657;28,47;4942;1350;19;VT03190;0,26;0,7;B;46,12;68;5,7;;400V 3~N - 4.05kW;AY7.001479;GASC3;2324;580;337;2040;552;39,9;22;22;Inclusive;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;338;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;4;6;yes;piece;1
GASC RX 031.1/31N/DFC7E.;GASC RX;031.1/31N/DFC7E.;n/a;finoox;251-1B4D.24G.3U9.S5QZ-R23.;GASC RX 031.1C/37-EN1_.E_PC;3599;E;3;1;2464;Axial;5,419;3,863;5,706;4,535;6,18;4,72;5,896;4,688;5,645;4,452;5,314;3,908;18,98;5271;1350;21;VT03190;0,26;0,7;C;45,67;67,56;3,8;;;;GASC3;2324;580;337;2040;552;37,7;16;22;n/a;n/a;;;;315;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;7;4;4;yes;piece;1
GASC RX 031.1/31N/FFC7E.;GASC RX;031.1/31N/FFC7E.;n/a;finoox;251-1B53.24G.3UB.SJ5F-R23.;GASC RX 031.1D/37-EN1_.E_PC;3771;E;3;1;2464;Axial;7,234;5,261;7,453;6,13;8,098;6,287;7,588;6,248;7,373;5,94;7,039;5,327;28,47;4942;1350;19;VT03190;0,26;0,7;B;46,12;68;5,7;;;;GASC3;2324;580;337;2040;552;44,7;22;22;n/a;n/a;;;;315;EC motor;5060;1;;;;;;;;;;;no;no;F;E;Powder coated;7;4;6;yes;piece;1
