TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R454C SC2);DX Evap (R454C SC3);DX Evap (R455A SC2);DX Evap (R455A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GASC PX 031.1/2WM/FFC7A.TNNN;GASC PX;031.1/2WM/FFC7A.TNNN;n/a;finoox;251-1B3N.247.3X8.S5QZ-P13.01.0000.000;GASC PX 031.1D/27-ALW_.E_PC;2274;A;2;1;2455;Axial;4,101;3,385;4,532;3,783;18,98;2263;900;11;VT03159U;0,178;0,38;;41,09;62,71;3,8;;;;GASC2;1644;580;337;1360;552;29,4;16;22;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;50;W;;;;;;;;;;;no;no;F;E;Powder coated;7;6;6;yes;piece;1
GASC PX 031.1/2XM/FFA7A.TNNN;GASC PX;031.1/2XM/FFA7A.TNNN;n/a;finoox;251-1B32.248.3X8.S5QZ-P13.01.0000.000;GASC PX 031.1D/27-ALX_.E;1912;A;2;1;2456;Axial;3,699;3,121;4,121;3,483;18,98;1780;720;9;VT03159U;0,18;0,39;;37,59;59,21;3,8;;;;GASC2;1644;580;337;1360;552;29,4;16;22;n/a;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;F;E;Aluminum;7;6;6;yes;piece;1
GASC PX 031.1/3XM/FFA7E.TNNN;GASC PX;031.1/3XM/FFA7E.TNNN;n/a;finoox;251-1B4H.248.3X7.SJ5F-P13.01.0800.000;GASC PX 031.1D/37-ELX_.E;3745;E;3;1;2456;Axial;5,553;4,689;6,187;5,235;28,47;2671;720;10;VT03159U;0,27;0,39;;39,09;60,97;5,7;230V 1~ - 2.9kW;;;GASC3;2324;580;337;2040;552;44,1;22;22;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BC22400526230;H03GA22800275230;;AY7.004708.1;4;100;2240;3;0;2280;no;no;F;E;Aluminum;7;4;6;yes;piece;1
GASC PX 031.1/2XM/DFE4A.TNNN;GASC PX;031.1/2XM/DFE4A.TNNN;n/a;finoox;251-1B2L.248.3WW.S5QX-P13.01.0000.000;GASC PX 031.1C/24-ALX_.E_Epoxy;2026;A;2;1;2456;Axial;3,419;2,801;3,839;3,182;21,4;1653;720;8;VT03159U;0,18;0,39;;37,78;59,4;2,5;;;;GASC2;1644;580;337;1360;552;25,5;16;18;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;6;4;yes;piece;1
GASC PX 031.1/1XM/DFE7A.TNNN;GASC PX;031.1/1XM/DFE7A.TNNN;n/a;finoox;251-1B12.248.3X4.S5QV-P13.01.0000.000;GASC PX 031.1C/17-ALX_.E_Epoxy;1157;A;1;1;2456;Axial;1,468;1,207;1,625;1,354;6,33;946;720;6;VT03159U;0,09;0,39;;34,82;56,16;1,4;;;;GASC1;964;580;337;680;552;14,5;16;18;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Epoxy coated aluminum;7;12;4;yes;piece;1
GASC PX 031.1/1XM/DFE7E.TNNN;GASC PX;031.1/1XM/DFE7E.TNNN;n/a;finoox;251-1B13.248.3X4.S5QV-P13.01.0800.000;GASC PX 031.1C/17-ELX_.E_Epoxy;1704;E;1;1;2456;Axial;1,468;1,207;1,625;1,354;6,33;946;720;6;VT03159U;0,09;0,39;;34,82;56,16;1,4;230V 1~ - 0.9kW;;;GASC1;964;580;337;680;552;16,4;16;18;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BC08800200230;H03GA08900107230;;AY7.004702.1;3;100;880;3;0;890;no;no;D;E;Epoxy coated aluminum;7;12;4;yes;piece;1
GASC PX 031.1/2XM/FFE7A.TNNN;GASC PX;031.1/2XM/FFE7A.TNNN;n/a;finoox;251-1B3J.248.3X8.S5QZ-P13.01.0000.000;GASC PX 031.1D/27-ALX_.E_Epoxy;2153;A;2;1;2456;Axial;3,65;3,085;4,074;3,444;18,98;1780;720;9;VT03159U;0,18;0,39;;37,59;59,21;3,8;;;;GASC2;1644;580;337;1360;552;29,4;16;22;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;6;6;yes;piece;1
GASC PX 031.1/2XM/DFC4A.TNNN;GASC PX;031.1/2XM/DFC4A.TNNN;n/a;finoox;251-1B2Q.248.3WW.S5QX-P13.01.0000.000;GASC PX 031.1C/24-ALX_.E_PC;2148;A;2;1;2456;Axial;3,091;2,528;3,464;2,87;21,4;1653;720;8;VT03159U;0,18;0,39;;37,78;59,4;2,5;;;;GASC2;1644;580;337;1360;552;25,5;16;18;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Powder coated;4;6;4;yes;piece;1
GASC PX 031.1/1XM/DFC4E.TNNN;GASC PX;031.1/1XM/DFC4E.TNNN;n/a;finoox;251-1B0Z.248.3X4.S5QV-P13.01.0800.000;GASC PX 031.1C/14-ELX_.E_PC;1832;E;1;1;2456;Axial;1,54;1,253;1,727;1,422;10,7;826;720;6;VT03159U;0,09;0,39;;35,05;56,39;1,3;230V 1~ - 0.9kW;;;GASC1;964;580;337;680;552;16,4;16;18;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;60;X;H04BC08800200230;H03GA08900107230;;AY7.004702.1;3;100;880;3;0;890;no;no;D;E;Powder coated;4;12;4;yes;piece;1
GASC PX 031.1/31N/DFA7E.TNNN;GASC PX;031.1/31N/DFA7E.TNNN;n/a;finoox;251-1B3T.24G.3X2.S5QZ-P13.01.0800.000;GASC PX 031.1C/37-EN1_.E;3738;E;3;1;2464;Axial;6,398;4,963;6,978;5,503;18,98;5271;1350;21;VT03190;0,26;0,7;;45,67;67,56;3,8;230V 1~ - 2.4kW;;;GASC3;2324;580;337;2040;552;36;16;22;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BC22400526230;H03GA22800275230;;AY7.004709.1;3;100;2240;3;0;2280;no;no;D;E;Aluminum;7;4;4;yes;piece;1
GASC PX 031.1/11N/DFC7A.TNNN;GASC PX;031.1/11N/DFC7A.TNNN;n/a;finoox;251-1B16.24G.3X4.S5QV-P13.01.0000.000;GASC PX 031.1C/17-AN1_.E_PC;1356;A;1;1;2464;Axial;1,97;1,517;2,15;1,682;6,33;1757;1350;12;VT03190;0,087;0,7;;41,44;62,79;1,4;;;;GASC1;964;580;337;680;552;13,9;16;18;n/a;Inclusive;Inclusive;No;Yes;315;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;7;12;4;yes;piece;1
GASC PX 031.1/21N/FFC4E.TNNN;GASC PX;031.1/21N/FFC4E.TNNN;n/a;finoox;251-1B3F.24G.3X8.S2SD-P13.01.0800.000;GASC PX 031.1D/24-EN1_.E_PC;3426;E;2;1;2464;Axial;5,483;4,373;6,107;4,929;32,1;2840;1350;14;VT03190;0,173;0,7;;46,4;68,02;3,8;230V 1~ - 2.0kW;;;GASC2;1644;580;337;1360;552;30,5;16;22;n/a;Inclusive;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BC15600363230;H03GA15700190230;;AY7.004707.1;4;100;1560;3;0;1570;no;no;F;E;Powder coated;4;6;6;yes;piece;1
GASC PX 031.1/11M/DFE4A.TNNN;GASC PX;031.1/11M/DFE4A.TNNN;n/a;finoox;251-1B0U.24H.3X4.S5QV-P13.01.0000.000;GASC PX 031.1C/14-AL1_.E_Epoxy;1271;A;1;1;2465;Axial;2,105;1,657;2,349;1,876;10,7;1166;1000;8;VT03190;0,036;0,3;;34,03;55,37;1,3;;;;GASC1;964;580;337;680;552;14;16;18;Inclusive;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;12;4;yes;piece;1
GASC PX 031.1/21M/DFE7E.TNNN;GASC PX;031.1/21M/DFE7E.TNNN;n/a;finoox;251-1B2V.24H.3WW.S5QX-P13.01.0800.000;GASC PX 031.1C/27-EL1_.E_Epoxy;2960;E;2;1;2465;Axial;3,622;2,901;3,988;3,237;12,65;2637;1000;13;VT03190;0,072;0,3;;36,61;58,23;2,5;230V 1~ - 1.7kW;;;GASC2;1644;580;337;1360;552;25,9;16;18;Inclusive;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BC15600363230;H03GA15700190230;;AY7.004705.1;3;100;1560;3;0;1570;no;no;D;E;Epoxy coated aluminum;7;6;4;yes;piece;1
GASC PX 031.1/11M/DDC7A.TNNN;GASC PX;031.1/11M/DDC7A.TNNN;n/a;finoox;251-1B0G.24H.3WZ.S5QQ-P13.01.0000.000;GASC PX 031.1A/17-AL1_.E_PC;1213;A;1;1;2465;Axial;1,202;1,008;1,294;1,126;4,22;964;1000;8;VT03190;0,036;0,3;;34,69;55,94;0,9;;;;GASC1;964;580;234;680;552;12,6;16;18;n/a;Inclusive;Inclusive;No;Yes;315;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;7;8;4;yes;piece;1
GASC PX 020.1/21N/FDA7E.TNNN;GASC PX;020.1/21N/FDA7E.TNNN;n/a;finoox;251-1CKP.0YE.3X6.00NN-P13.01.0800.000;GASC PX 020.1B/27-EN1_.E;1821;E;2;1;1102;Axial;1,552;0,992;1,677;1,089;7,44;1071;2000;8;VT03033U;0,071;0,26;;47,04;68,34;1,5;230V 1~ - 1.1kW;;;GASC2;1084;580;234;800;552;16,3;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BC10000230230;H03GA10100120230;;AY7.004698.1;3;100;1000;3;0;1010;no;no;F;E;Aluminum;7;24;6;yes;piece;1
