TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R454C SC2);DX Evap (R454C SC3);DX Evap (R455A SC2);DX Evap (R455A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GASC PX 020.1/31N/DDA4A.TNNN;GASC PX;020.1/31N/DDA4A.TNNN;n/a;finoox;251-1CLW.0YE.3X0.00NN-P13.01.0000.000;GASC PX 020.1A/34-AN1_.E;1350;A;3;1;1102;Axial;1,894;1,135;2,053;1,736;12,59;1536;2000;10;VT03033U;0,105;0,26;;48,91;70,38;1,4;;;;GASC3;1484;580;234;1200;552;19,2;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC PX 020.1/11N/FDA4A.TNNN;GASC PX;020.1/11N/FDA4A.TNNN;n/a;finoox;251-1AZA.0YE.3X6.00NN-P13.01.0000.000;GASC PX 020.1B/14-AN1_.E;710;A;1;1;1102;Axial;1,068;0,818;1,178;0,916;6,29;476;2000;5;VT03033U;0,035;0,26;;44,99;66,12;0,8;;;;GASC1;684;580;234;400;552;8,8;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;;;;;;;;;no;no;F;E;Aluminum;4;24;6;yes;piece;1
GASC PX 020.1/21N/DDA7A.TNNN;GASC PX;020.1/21N/DDA7A.TNNN;n/a;finoox;251-1CJL.0YE.3X0.00NN-P13.01.0000.000;GASC PX 020.1A/27-AN1_.E;1009;A;2;1;1102;Axial;1,395;0,971;1,509;1,069;4,96;1123;2000;9;VT03033U;0,072;0,26;;46,81;68,11;1;;;;GASC2;1084;580;234;800;552;13,7;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Aluminum;7;16;4;yes;piece;1
GASC PX 020.1/11M/DDC7E.TNNN;GASC PX;020.1/11M/DDC7E.TNNN;n/a;finoox;251-1AZ3.0YF.3X0.00NN-P13.01.0800.000;GASC PX 020.1A/17-EL1_.E_PC;1288;E;1;1;1103;Axial;0,607;0,507;0,677;0,569;2,48;440;1500;5;VT03033U;0,021;0,16;;40,19;61,32;0,5;230V 1~ - 0.5kW;;;GASC1;684;580;234;400;552;9;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BC06000133230;H03GA06100073230;;AY7.004696.1;2;100;600;3;0;610;no;no;D;E;Powder coated;7;16;4;yes;piece;1
GASC PX 020.1/21M/DDC7E.TNNN;GASC PX;020.1/21M/DDC7E.TNNN;n/a;finoox;251-1CKH.0YF.3X0.00NN-P13.01.0800.000;GASC PX 020.1A/27-EL1_.E_PC;1886;E;2;1;1103;Axial;1,158;0,834;1,255;0,921;4,96;879;1500;7;VT03033U;0,041;0,16;;43,03;64,33;1;230V 1~ - 0.8kW;;;GASC2;1084;580;234;800;552;14,8;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BC10000230230;H03GA10100120230;;AY7.004697.1;2;100;1000;3;0;1010;no;no;D;E;Powder coated;7;16;4;yes;piece;1
GASC PX 031.1/1XN/FFA7E.TNNN;GASC PX;031.1/1XN/FFA7E.TNNN;n/a;finoox;251-1B1B.245.3X9.S5QW-P13.01.0800.000;GASC PX 031.1D/17-ENX_.E;1758;E;1;1;2453;Axial;2,85;2,24;3,113;2,487;9,49;1731;1390;12;VT03159U;0,136;0,55;;43,48;64,82;2;230V 1~ - 1.1kW;;;GASC1;964;580;337;680;552;18,3;16;18;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BC08800200230;H03GA08900107230;;AY7.004704.1;4;100;880;3;0;890;no;no;F;E;Aluminum;7;12;6;yes;piece;1
GASC PX 031.1/3XN/DFA7A.TNNN;GASC PX;031.1/3XN/DFA7A.TNNN;n/a;finoox;251-1B3S.245.3X2.S5QZ-P13.01.0000.000;GASC PX 031.1C/37-ANX_.E;2429;A;3;1;2453;Axial;6,516;5,034;7,099;5,579;18,98;5498;1390;21;VT03159U;0,406;0,55;;48,03;69,91;3,8;;;;GASC3;2324;580;337;2040;552;36,3;16;22;n/a;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Aluminum;7;4;4;yes;piece;1
GASC PX 031.1/2XN/DFE4E.TNNN;GASC PX;031.1/2XN/DFE4E.TNNN;n/a;finoox;251-1B2M.245.3WW.S5QX-P13.01.0800.000;GASC PX 031.1C/24-ENX_.E_Epoxy;2730;E;2;1;2453;Axial;5,144;3,897;5,699;4,378;21,4;3304;1390;16;VT03159U;0,272;0,55;;46,04;67,66;2,5;230V 1~ - 1.7kW;;;GASC2;1644;580;337;1360;552;27,3;16;18;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BC15600363230;H03GA15700190230;;AY7.004705.1;3;100;1560;3;0;1570;no;no;D;E;Epoxy coated aluminum;4;6;4;yes;piece;1
GASC PX 031.1/2XN/FFE7A.TNNN;GASC PX;031.1/2XN/FFE7A.TNNN;n/a;finoox;251-1B3J.245.3X8.S5QZ-P13.01.0000.000;GASC PX 031.1D/27-ANX_.E_Epoxy;2153;A;2;1;2453;Axial;5,647;4,474;6,176;4,969;18,98;3462;1390;17;VT03159U;0,271;0,55;;46,21;67,83;3,8;;;;GASC2;1644;580;337;1360;552;29,4;16;22;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;6;6;yes;piece;1
GASC PX 031.1/2XN/DFC7A.TNNN;GASC PX;031.1/2XN/DFC7A.TNNN;n/a;finoox;251-1B2Y.245.3WW.S5QX-P13.01.0000.000;GASC PX 031.1C/27-ANX_.E_PC;2127;A;2;1;2453;Axial;4,033;3,11;4,394;3,446;12,65;3666;1390;18;VT03159U;0,27;0,55;;46,53;68,15;2,5;;;;GASC2;1644;580;337;1360;552;25,3;16;18;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Powder coated;7;6;4;yes;piece;1
GASC PX 031.1/4XN/FFC7A.TNNN;GASC PX;031.1/4XN/FFC7A.TNNN;n/a;finoox;251-1B64.245.3X7.SJ5F-P13.01.0000.000;GASC PX 031.1D/47-ANX_.E_PC;3911;A;4;1;2453;Axial;10,35;7,655;11,205;8,438;37,96;6925;1390;23;VT03159U;0,543;0,55;;48,71;70,84;7,4;;;;GASC4;3004;580;337;1360;552;55;22;22;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;F;E;Powder coated;7;4;6;yes;piece;1
GASC PX 031.1/1XN/DFC4E.TNNN;GASC PX;031.1/1XN/DFC4E.TNNN;n/a;finoox;251-1B0Z.245.3X4.S5QV-P13.01.0800.000;GASC PX 031.1C/14-ENX_.E_PC;1832;E;1;1;2453;Axial;2,323;1,735;2,568;1,946;10,7;1652;1390;11;VT03159U;0,136;0,55;;43,31;64,65;1,3;230V 1~ - 0.9kW;;;GASC1;964;580;337;680;552;16,4;16;18;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;60;X;H04BC08800200230;H03GA08900107230;;AY7.004702.1;3;100;880;3;0;890;no;no;D;E;Powder coated;4;12;4;yes;piece;1
GASC PX 031.1/3XN/FFC4A.TNNN;GASC PX;031.1/3XN/FFC4A.TNNN;n/a;finoox;251-1B4U.245.3X7.S5QU-P13.01.0000.000;GASC PX 031.1D/34-ANX_.E_PC;3083;A;3;1;2453;Axial;8,57;6,796;9,531;7,658;48,15;4526;1390;18;VT03159U;0,409;0,55;;47,4;69,28;5,6;;;;GASC3;2324;580;337;2040;552;42,2;16;22;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;F;E;Powder coated;4;4;6;yes;piece;1
GASC PX 031.1/3WN/DFA7E.TNNN;GASC PX;031.1/3WN/DFA7E.TNNN;n/a;finoox;251-1B3T.246.3X2.S5QZ-P13.01.0800.000;GASC PX 031.1C/37-ENW_.E;3394;E;3;1;2454;Axial;6,351;4,935;6,929;5,472;18,98;5183;1300;20;VT03159U;0,3;0,42;;46,64;68,52;3,8;230V 1~ - 2.4kW;;;GASC3;2324;580;337;2040;552;37,8;16;22;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BC22400526230;H03GA22800275230;;AY7.004709.1;3;100;2240;3;0;2280;no;no;D;E;Aluminum;7;4;4;yes;piece;1
GASC PX 031.1/2WN/DFC7A.TNNN;GASC PX;031.1/2WN/DFC7A.TNNN;n/a;finoox;251-1B2Y.246.3WW.S5QX-P13.01.0000.000;GASC PX 031.1C/27-ANW_.E_PC;2127;A;2;1;2454;Axial;3,931;3,048;4,289;3,38;12,65;3455;1300;17;VT03159U;0,2;0,42;;45,14;66,76;2,5;;;;GASC2;1644;580;337;1360;552;25,3;16;18;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;50;W;;;;;;;;;;;no;no;D;E;Powder coated;7;6;4;yes;piece;1
GASC PX 031.1/1WM/DDA7A.TNNN;GASC PX;031.1/1WM/DDA7A.TNNN;n/a;finoox;251-1AZW.247.3WZ.S5QQ-P13.01.0000.000;GASC PX 031.1A/17-ALW_.E;873;A;1;1;2455;Axial;1,181;1,026;1,36;1,151;4,22;866;900;7;VT03159U;0,09;0,38;;38,79;60,05;0,9;;;;GASC1;964;580;234;680;552;13,2;16;18;n/a;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;;;;;;;;;no;no;D;E;Aluminum;7;8;4;yes;piece;1
GASC PX 031.1/1WM/DFE7A.TNNN;GASC PX;031.1/1WM/DFE7A.TNNN;n/a;finoox;251-1B12.247.3X4.S5QV-P13.01.0000.000;GASC PX 031.1C/17-ALW_.E_Epoxy;1157;A;1;1;2455;Axial;1,713;1,379;1,892;1,542;6,33;1208;900;8;VT03159U;0,088;0,38;;38,32;59,66;1,4;;;;GASC1;964;580;337;680;552;14,5;16;18;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;;;;;;;;;no;no;D;E;Epoxy coated aluminum;7;12;4;yes;piece;1
GASC PX 031.1/2WM/FFE7A.TNNN;GASC PX;031.1/2WM/FFE7A.TNNN;n/a;finoox;251-1B3J.247.3X8.S5QZ-P13.01.0000.000;GASC PX 031.1D/27-ALW_.E_Epoxy;2153;A;2;1;2455;Axial;4,348;3,595;4,809;4,02;18,98;2263;900;11;VT03159U;0,178;0,38;;41,09;62,71;3,8;;;;GASC2;1644;580;337;1360;552;29,4;16;22;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;6;6;yes;piece;1
GASC PX 031.1/2XM/DFC7A.TNNN;GASC PX;031.1/2XM/DFC7A.TNNN;n/a;finoox;251-1B2Y.248.3WW.S5QX-P13.01.0000.000;GASC PX 031.1C/27-ALX_.E_PC;2127;A;2;1;2456;Axial;2,742;2,291;3,076;2,57;12,65;1892;720;9;VT03159U;0,18;0,39;;37,55;59,17;2,5;;;;GASC2;1644;580;337;1360;552;25,3;16;18;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Powder coated;7;6;4;yes;piece;1
GASC PX 031.1/2XM/DFC4E.TNNN;GASC PX;031.1/2XM/DFC4E.TNNN;n/a;finoox;251-1B2R.248.3WW.S5QX-P13.01.0800.000;GASC PX 031.1C/24-ELX_.E_PC;2853;E;2;1;2456;Axial;3,091;2,528;3,464;2,87;21,4;1653;720;8;VT03159U;0,18;0,39;;37,78;59,4;2,5;230V 1~ - 1.7kW;;;GASC2;1644;580;337;1360;552;27,3;16;18;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;60;X;H04BC15600363230;H03GA15700190230;;AY7.004705.1;3;100;1560;3;0;1570;no;no;D;E;Powder coated;4;6;4;yes;piece;1
GASC PX 031.1/11N/FFA7E.TNNN;GASC PX;031.1/11N/FFA7E.TNNN;n/a;finoox;251-1B1B.24G.3X9.S5QW-P13.01.0800.000;GASC PX 031.1D/17-EN1_.E;1873;E;1;1;2464;Axial;2,776;2,194;3,037;2,437;9,49;1647;1350;11;VT03190;0,087;0,7;;41,89;63,23;2;230V 1~ - 1.1kW;;;GASC1;964;580;337;680;552;17,7;16;18;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BC08800200230;H03GA08900107230;;AY7.004704.1;4;100;880;3;0;890;no;no;F;E;Aluminum;7;12;6;yes;piece;1
GASC PX 031.1/11N/DFE4E.TNNN;GASC PX;031.1/11N/DFE4E.TNNN;n/a;finoox;251-1B0V.24G.3X4.S5QV-P13.01.0800.000;GASC PX 031.1C/14-EN1_.E_Epoxy;1847;E;1;1;2464;Axial;2,478;1,879;2,751;2,114;10,7;1561;1350;11;VT03190;0,086;0,7;;42,45;63,79;1,3;230V 1~ - 0.9kW;;;GASC1;964;580;337;680;552;15,8;16;18;Inclusive;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BC08800200230;H03GA08900107230;;AY7.004702.1;3;100;880;3;0;890;no;no;D;E;Epoxy coated aluminum;4;12;4;yes;piece;1
GASC PX 031.1/21N/DFE4E.TNNN;GASC PX;031.1/21N/DFE4E.TNNN;n/a;finoox;251-1B2M.24G.3WW.S5QX-P13.01.0800.000;GASC PX 031.1C/24-EN1_.E_Epoxy;2960;E;2;1;2464;Axial;4,993;3,814;5,542;4,291;21,4;3122;1350;15;VT03190;0,173;0,7;;45,18;66,8;2,5;230V 1~ - 1.7kW;;;GASC2;1644;580;337;1360;552;26,1;16;18;Inclusive;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BC15600363230;H03GA15700190230;;AY7.004705.1;3;100;1560;3;0;1570;no;no;D;E;Epoxy coated aluminum;4;6;4;yes;piece;1
GASC PX 031.1/21N/DFC4E.TNNN;GASC PX;031.1/21N/DFC4E.TNNN;n/a;finoox;251-1B2R.24G.3WW.S5QX-P13.01.0800.000;GASC PX 031.1C/24-EN1_.E_PC;3082;E;2;1;2464;Axial;4,549;3,451;5,035;3,875;21,4;3122;1350;15;VT03190;0,173;0,7;;45,18;66,8;2,5;230V 1~ - 1.7kW;;;GASC2;1644;580;337;1360;552;26,1;16;18;n/a;Inclusive;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BC15600363230;H03GA15700190230;;AY7.004705.1;3;100;1560;3;0;1570;no;no;D;E;Powder coated;4;6;4;yes;piece;1
GASC PX 020.1/21N/DDE4A.TNNN;GASC PX;020.1/21N/DDE4A.TNNN;n/a;finoox;251-1CJY.0YE.3X0.00NN-P13.01.0000.000;GASC PX 020.1A/24-AN1_.E_Epoxy;1220;A;2;1;1102;Axial;1,607;1,074;1,748;1,189;8,39;1024;2000;8;VT03033U;0,07;0,26;;47,32;68,62;1;;;;GASC2;1084;580;234;800;552;13,8;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;16;4;yes;piece;1
GASC PX 020.1/11N/FDE7E.TNNN;GASC PX;020.1/11N/FDE7E.TNNN;n/a;finoox;251-1AZP.0YE.3X6.00NN-P13.01.0800.000;GASC PX 020.1B/17-EN1_.E_Epoxy;1419;E;1;1;1102;Axial;0,949;0,736;1,037;0,817;3,72;535;2000;6;VT03033U;0,036;0,26;;44,2;65,33;0,8;230V 1~ - 0.6kW;;;GASC1;684;580;234;400;552;9,8;9,52;9,52;Inclusive;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BC06000133230;H03GA06100073230;;AY7.004695.1;3;100;600;3;0;610;no;no;F;E;Epoxy coated aluminum;7;24;6;yes;piece;1
GASC PX 020.1/31N/FDE7E.TNNN;GASC PX;020.1/31N/FDE7E.TNNN;n/a;finoox;251-1CNH.0YE.3YL.S5QQ-P13.01.0800.000;GASC PX 020.1B/37-EN1_.E_Epoxy;2670;E;3;1;1102;Axial;2,676;1,876;2,891;2,065;11,17;1606;2000;10;VT03033U;0,107;0,26;;48,64;70,11;2,2;230V 1~ - 1.5kW;;;GASC3;1484;580;234;1200;552;23;16;18;Inclusive;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BC14000325230;H03GA14100170230;;AY7.004701.1;3;100;1400;3;0;1410;no;no;F;E;Epoxy coated aluminum;7;12;6;yes;piece;1
GASC PX 020.1/31M/DDE4A.TNNN;GASC PX;020.1/31M/DDE4A.TNNN;n/a;finoox;251-1CM2.0YF.3X0.00NN-P13.01.0000.000;GASC PX 020.1A/34-AL1_.E_Epoxy;1649;A;3;1;1103;Axial;1,756;1,083;1,903;1,192;12,59;1210;1500;8;VT03033U;0,061;0,16;;45,11;66,58;1,4;;;;GASC3;1484;580;234;1200;552;19,2;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;16;4;yes;piece;1
GASC PX 020.1/21M/DDC7A.TNNN;GASC PX;020.1/21M/DDC7A.TNNN;n/a;finoox;251-1CKG.0YF.3X0.00NN-P13.01.0000.000;GASC PX 020.1A/27-AL1_.E_PC;1281;A;2;1;1103;Axial;1,158;0,834;1,255;0,921;4,96;879;1500;7;VT03033U;0,041;0,16;;43,03;64,33;1;;;;GASC2;1084;580;234;800;552;13,7;9,52;9,52;n/a;Inclusive;Inclusive;No;Yes;200;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;7;16;4;yes;piece;1
GASC PX 031.1/1XN/FFA4E.TNNN;GASC PX;031.1/1XN/FFA4E.TNNN;n/a;finoox;251-1B1F.245.3X9.S5QR-P13.01.0800.000;GASC PX 031.1D/14-ENX_.E;1758;E;1;1;2453;Axial;3,187;2,505;3,545;2,82;16,05;1509;1390;10;VT03159U;0,136;0,55;;43,17;64,51;2;230V 1~ - 1.1kW;;;GASC1;964;580;337;680;552;18,4;16;18;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BC08800200230;H03GA08900107230;;AY7.004704.1;4;100;880;3;0;890;no;no;F;E;Aluminum;4;12;6;yes;piece;1
GASC PX 031.1/1XN/FFC7E.TNNN;GASC PX;031.1/1XN/FFC7E.TNNN;n/a;finoox;251-1B1X.245.3X9.S5QW-P13.01.0800.000;GASC PX 031.1D/17-ENX_.E_PC;2008;E;1;1;2453;Axial;2,651;2,084;2,895;2,313;9,49;1731;1390;12;VT03159U;0,136;0,55;;43,48;64,82;2;230V 1~ - 1.1kW;;;GASC1;964;580;337;680;552;18,3;16;18;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;60;X;H04BC08800200230;H03GA08900107230;;AY7.004704.1;4;100;880;3;0;890;no;no;F;E;Powder coated;7;12;6;yes;piece;1
GASC PX 031.1/2XN/FFC7E.TNNN;GASC PX;031.1/2XN/FFC7E.TNNN;n/a;finoox;251-1B3P.245.3X8.S5QZ-P13.01.0800.000;GASC PX 031.1D/27-ENX_.E_PC;3128;E;2;1;2453;Axial;5,323;4,205;5,813;4,667;18,98;3462;1390;17;VT03159U;0,271;0,55;;46,21;67,83;3,8;230V 1~ - 2.0kW;;;GASC2;1644;580;337;1360;552;31,4;16;22;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;60;X;H04BC15600363230;H03GA15700190230;;AY7.004707.1;4;100;1560;3;0;1570;no;no;F;E;Powder coated;7;6;6;yes;piece;1
GASC PX 031.1/3WN/DFA7A.TNNN;GASC PX;031.1/3WN/DFA7A.TNNN;n/a;finoox;251-1B3S.246.3X2.S5QZ-P13.01.0000.000;GASC PX 031.1C/37-ANW_.E;2429;A;3;1;2454;Axial;6,351;4,935;6,929;5,472;18,98;5183;1300;20;VT03159U;0,3;0,42;;46,64;68,52;3,8;;;;GASC3;2324;580;337;2040;552;36,3;16;22;n/a;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;;;;;;;;;no;no;D;E;Aluminum;7;4;4;yes;piece;1
GASC PX 031.1/3WN/FFE7E.TNNN;GASC PX;031.1/3WN/FFE7E.TNNN;n/a;finoox;251-1B4Z.246.3X7.SJ5F-P13.01.0800.000;GASC PX 031.1D/37-ENW_.E_Epoxy;4073;E;3;1;2454;Axial;8,233;6,571;9,018;7,306;28,47;4916;1300;19;VT03159U;0,303;0,42;;46,61;68,49;5,7;230V 1~ - 2.9kW;;;GASC3;2324;580;337;2040;552;44,1;22;22;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BC22400526230;H03GA22800275230;;AY7.004708.1;4;100;2240;3;0;2280;no;no;F;E;Epoxy coated aluminum;7;4;6;yes;piece;1
GASC PX 031.1/3WN/DFC7E.TNNN;GASC PX;031.1/3WN/DFC7E.TNNN;n/a;finoox;251-1B4D.246.3X2.S5QZ-P13.01.0800.000;GASC PX 031.1C/37-ENW_.E_PC;3884;E;3;1;2454;Axial;5,906;4,589;6,444;5,089;18,98;5183;1300;20;VT03159U;0,3;0,42;;46,64;68,52;3,8;230V 1~ - 2.4kW;;;GASC3;2324;580;337;2040;552;37,8;16;22;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;50;W;H04BC22400526230;H03GA22800275230;;AY7.004709.1;3;100;2240;3;0;2280;no;no;D;E;Powder coated;7;4;4;yes;piece;1
GASC PX 031.1/2WN/FFC4E.TNNN;GASC PX;031.1/2WN/FFC4E.TNNN;n/a;finoox;251-1B3F.246.3X8.S2SD-P13.01.0800.000;GASC PX 031.1D/24-ENW_.E_PC;3196;E;2;1;2454;Axial;5,527;4,401;6,154;4,959;32,1;2875;1300;14;VT03159U;0,205;0,42;;45,39;67,01;3,8;230V 1~ - 2.0kW;;;GASC2;1644;580;337;1360;552;31,7;16;22;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;50;W;H04BC15600363230;H03GA15700190230;;AY7.004707.1;4;100;1560;3;0;1570;no;no;F;E;Powder coated;4;6;6;yes;piece;1
GASC PX 031.1/2WM/DDE7E.TNNN;GASC PX;031.1/2WM/DDE7E.TNNN;n/a;finoox;251-1B25.247.3WY.S5QS-P13.01.0800.000;GASC PX 031.1A/27-ELW_.E_Epoxy;2604;E;2;1;2455;Axial;2,397;2,027;2,672;2,275;8,44;1732;900;10;VT03159U;0,18;0,38;;41,53;63,06;1,7;230V 1~ - 1.3kW;;;GASC2;1644;580;234;1360;552;24,3;16;18;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BC15600363230;H03GA15700190230;;AY7.004706.1;2;100;1560;3;0;1570;no;no;D;E;Epoxy coated aluminum;7;4;4;yes;piece;1
GASC PX 031.1/3WM/FFE7A.TNNN;GASC PX;031.1/3WM/FFE7A.TNNN;n/a;finoox;251-1B4Y.247.3X7.SJ5F-P13.01.0000.000;GASC PX 031.1D/37-ALW_.E_Epoxy;2886;A;3;1;2455;Axial;6,527;5,403;7,22;6,043;28,47;3395;900;13;VT03159U;0,266;0,38;;42,59;64,47;5,7;;;;GASC3;2324;580;337;2040;552;42,1;22;22;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;4;6;yes;piece;1
GASC PX 031.1/2WM/DDC7A.TNNN;GASC PX;031.1/2WM/DDC7A.TNNN;n/a;finoox;251-1B28.247.3WY.S5QS-P13.01.0000.000;GASC PX 031.1A/27-ALW_.E_PC;2120;A;2;1;2455;Axial;2,267;1,915;2,529;2,141;8,44;1732;900;10;VT03159U;0,18;0,38;;41,53;63,06;1,7;;;;GASC2;1644;580;234;1360;552;22,8;16;18;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;50;W;;;;;;;;;;;no;no;D;E;Powder coated;7;4;4;yes;piece;1
GASC PX 031.1/3WM/DFC7E.TNNN;GASC PX;031.1/3WM/DFC7E.TNNN;n/a;finoox;251-1B4D.247.3X2.S5QZ-P13.01.0800.000;GASC PX 031.1C/37-ELW_.E_PC;3884;E;3;1;2455;Axial;4,883;3,943;5,383;4,403;18,98;3624;900;14;VT03159U;0,265;0,38;;42,55;64,43;3,8;230V 1~ - 2.4kW;;;GASC3;2324;580;337;2040;552;37,8;16;22;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;50;W;H04BC22400526230;H03GA22800275230;;AY7.004709.1;3;100;2240;3;0;2280;no;no;D;E;Powder coated;7;4;4;yes;piece;1
GASC PX 031.1/21N/FFA4E.TNNN;GASC PX;031.1/21N/FFA4E.TNNN;n/a;finoox;251-1B37.24G.3X8.S2SD-P13.01.0800.000;GASC PX 031.1D/24-EN1_.E;3036;E;2;1;2464;Axial;6,16;4,913;6,861;5,539;32,1;2840;1350;14;VT03190;0,173;0,7;;46,4;68,02;3,8;230V 1~ - 2.0kW;;;GASC2;1644;580;337;1360;552;30,5;16;22;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BC15600363230;H03GA15700190230;;AY7.004707.1;4;100;1560;3;0;1570;no;no;F;E;Aluminum;4;6;6;yes;piece;1
GASC PX 031.1/11N/FFE4A.TNNN;GASC PX;031.1/11N/FFE4A.TNNN;n/a;finoox;251-1B1J.24G.3X9.S5QR-P13.01.0000.000;GASC PX 031.1D/14-AN1_.E_Epoxy;1317;A;1;1;2464;Axial;3,009;2,393;3,318;2,705;16,05;1420;1350;10;VT03190;0,086;0,7;;43,67;65,01;2;;;;GASC1;964;580;337;680;552;16;16;18;Inclusive;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;;;;;;;;;no;no;F;E;Epoxy coated aluminum;4;12;6;yes;piece;1
